CRX,CRY
840.2185,426.8922
803.7264,439.7365
807.954,431.4968
812.3556,448.8788
784.9025,473.3005
809.0565,442.0125
793.6533,467.3153
804.7386,468.1285
769.4783,466.676
810.4443,472.2293
783.9102,470.3965
801.0983,453.7549
791.3077,454.2925
795.6647,460.6337
796.4192,463.478
800.3674,423.7064
789.6078,474.2306
795.8738,456.4444
772.7485,458.0602
808.4818,498.0842
843.0057,479.0211
832.765,468.942
826.2738,473.2728
832.0714,475.5156
823.7703,512.5315
824.7472,489.6182
835.228,503.9631
828.8734,502.6732
812.9306,509.9055
691.6334,272.8636
694.3688,290.0623
674.7534,282.6567
694.4194,274.6611
679.809,294.3203
678.4434,311.316
694.0255,277.2652
675.6495,300.9119
676.6622,282.5871
681.5651,297.0026
693.5013,287.3205
596.7554,243.8213
577.4077,233.2731
592.991,262.9541
575.4077,259.7588
585.8186,262.8701
598.0251,230.6173
575.3114,222.6328
571.1485,251.0873
579.0992,236.985
569.3694,245.4539
587.5326,247.8463
589.2205,277.1663
616.6545,242.0947
598.3306,242.0417
677.0534,273.6755
687.4352,272.1996
698.366,284.7926
704.9291,281.1479
695.6581,291.0105
681.5756,307.7583
694.4263,280.0919
712.9357,277.0096
693.9717,289.4684
