CRX,CRY
749.0596,517.8008
758.5013,524.0963
755.3103,514.493
750.7468,510.9773
752.1509,523.2849
748.9153,524.1797
757.6892,524.417
755.41,531.6638
803.3945,520.3695
894.0155,566.3916
885.5522,531.2108
900.0264,571.3563
882.1282,533.5046
888.0337,524.7556
887.9615,542.7063
892.8881,541.0745
892.735,538.5331
898.1101,572.8746
888.3883,532.6821
890.77,537.8859
891.7926,534.8748
897.9763,538.3713
893.2048,537.5289
891.8525,543.7726
885.9435,542.4062
896.8275,524.2164
901.8571,532.6747
878.2162,559.5937
898.066,540.9926
889.4884,540.5624
893.5023,546.2138
891.2543,544.8055
889.8535,546.8597
892.1063,536.6615
895.8739,544.7986
890.3003,533.6179
893.2346,537.2695
891.8649,536.1173
898.8416,546.8558
894.7169,544.0881
894.977,533.6364
889.7068,539.7012
904.9813,533.506
891.1802,541.8506
882.7084,527.385
890.1355,528.7239
878.0582,537.0011
857.3735,555.501
859.4646,564.4324
869.4763,551.7076
867.0001,553.1313
862.1117,544.1585
863.2132,544.7214
850.9892,562.0613
868.3953,552.2023
851.967,546.9016
867.7511,543.5779
851.4417,546.4854
862.6346,546.2961
865.6564,547.5994
865.5952,576.0337
865.0629,584.8535
855.0181,539.6257
871.8561,541.9918
857.6888,555.9142
863.5354,588.0707
853.852,553.5608
860.5608,552.0763
860.1925,544.5807
856.9382,553.4635
855.5301,556.2925
851.9586,556.9871
857.7039,564.7539
817.8393,488.0163
789.1857,324.8252
770.4633,272.9222
759.1848,268.6123
766.4762,271.8596
777.2857,290.2197
765.9774,265.5416
764.1073,274.5432
766.4267,248.8479
768.8915,261.1116
777.0721,242.352
792.3961,170.7739
796.5933,182.7138
792.8463,155.2255
799.5961,167.4075
790.4093,162.0546
794.522,154.6465
798.3847,144.8999
783.9205,162.5364
790.9431,141.6633
794.2831,170.265
792.6357,177.4375
806.9855,162.6993
795.6526,151.6511
796.9246,146.8969
797.5676,157.65
791.3856,150.7171
784.827,147.4118
699.4609,233.1458
607.133,233.8927
611.9949,227.5386
606.0639,262.4574
613.08,238.9388
613.0485,239.4966
615.8608,234.6938
621.0307,271.9232
613.5352,243.092
621.5717,230.4785
619.8545,243.6691
619.4626,265.71
628.9522,245.5969
802.6099,368.426
1057.0648,463.8305
1212.645,560.1652
1213.1855,563.4435
1208.573,563.051
1200.3674,551.1399
1197.5182,548.6884
1196.1333,570.1206
1210.933,541.3604
1207.0178,561.6289
1202.4307,550.9307
1218.1689,555.6704
1215.5089,551.7956
1196.0115,568.2081
1212.1191,543.7877
1204.5935,545.5386
1203.9751,547.051
1692.9612,320.1059
596.2338,343.935
762.7655,347.9881
770.2162,374.3075
759.6215,364.0718
758.563,359.6917
771.036,368.5942
762.342,367.782
763.0164,378.3734
774.1251,376.3391
757.6926,380.2761
761.6431,377.3956
765.1771,369.2434
772.023,362.7216
766.7766,359.1143
755.9971,367.5545
776.4799,381.5289
765.4254,376.969
756.1417,385.7184
779.9592,378.5662
773.6884,370.3624
760.3804,373.489
736.1024,440.9939
663.0204,652.3049
648.7638,770.6644
652.1938,755.9952
645.8781,753.3127
645.5744,743.9742
653.7507,745.8632
645.2848,752.3413
661.5171,751.7916
656.1069,754.0337
652.7709,742.2988
647.1837,751.2621
659.2556,749.7427
652.0321,756.9263
664.7844,758.156
658.4979,742.2269
654.5461,738.1256
657.8788,746.27
656.8857,742.2045
658.1057,743.2139
655.3121,747.3467
650.049,750.1057
653.2943,746.1396
685.9998,744.4561
907.4717,779.5048
1055.5826,800.5082
1073.3293,797.9148
1072.4789,798.9477
1066.6233,802.4753
1063.4287,789.8192
1073.7297,809.0477
1064.928,818.3839
1067.6609,820.0182
1073.0066,819.2583
1063.2339,772.1185
1074.1475,842.7731
588.8101,817.996
577.3317,796.7681
727.91,935.6605
774.5486,957.8708
787.3134,944.4755
782.3246,961.8187
774.4982,961.6516
779.5999,964.915
774.7787,946.5768
763.9304,963.1683
761.5195,950.0215
766.4108,974.4664
771.6277,965.54
770.385,965.4055
786.8483,936.9689
761.9774,937.1792
759.4352,931.243
775.1636,927.6631
763.8456,940.5809
754.8438,941.7487
761.1927,937.3266
761.0088,932.2904
767.3481,947.538
763.0977,947.684
759.9781,936.0244
743.7921,954.1894
725.0361,978.9564
720.4257,988.9227
714.4807,936.2
721.7659,927.8574
739.6276,943.5358
716.6317,956.6343
711.8519,938.7971
715.6693,950.7863
709.3131,941.9004
717.7129,963.1041
723.7972,969.5216
721.8904,968.4558
713.3412,965.0609
719.6744,972.0969
741.9427,982.244
735.9572,962.7665
735.7766,957.4777
727.9832,958.5098
724.1328,948.5024
718.8541,911.5607
723.8058,933.921
747.8345,908.8681
727.9781,917.6425
726.0105,923.6874
739.4869,917.8024
735.9877,929.3975
729.5225,957.8114
738.6168,946.509
742.8518,926.3016
742.7511,939.2407
731.0433,931.2242
736.6818,933.4691
788.6661,298.0999
770.3558,266.437
633.63,624.1429
624.5384,646.0614
639.0479,668.4748
644.0426,616.4165
583.7324,702.1299
585.8224,711.7863
590.4755,733.7687
567.5332,728.5784
590.6187,763.4791
589.0032,734.5305
607.7625,756.7689
579.4892,756.8367
588.9318,782.887
600.4304,768.3172
596.9658,773.4042
581.019,789.3717
513.5563,902.8602
688.043,306.1402
682.0709,338.6087
