BlinkType,TimeTracker
NormalBlink,2016-04-21 16:33:43.948
NormalBlink,2016-04-21 16:33:44.448
NormalBlink,2016-04-21 16:33:44.814
NormalBlink,2016-04-21 16:33:45.280
NormalBlink,2016-04-21 16:33:45.863
NormalBlink,2016-04-21 16:33:46.279
NormalBlink,2016-04-21 16:33:46.362
NormalBlink,2016-04-21 16:33:47.294
NormalBlink,2016-04-21 16:33:47.544
NormalBlink,2016-04-21 16:33:47.627
NormalBlink,2016-04-21 16:33:47.711
NormalBlink,2016-04-21 16:33:47.777
NormalBlink,2016-04-21 16:33:47.860
NormalBlink,2016-04-21 16:33:48.376
NormalBlink,2016-04-21 16:33:48.426
NormalBlink,2016-04-21 16:33:48.526
NormalBlink,2016-04-21 16:33:48.610
NormalBlink,2016-04-21 16:33:48.793
NormalBlink,2016-04-21 16:33:48.876
NormalBlink,2016-04-21 16:33:49.243
NormalBlink,2016-04-21 16:33:49.593
NormalBlink,2016-04-21 16:33:49.710
NormalBlink,2016-04-21 16:33:49.809
NormalBlink,2016-04-21 16:33:50.175
NormalBlink,2016-04-21 16:33:50.259
NormalBlink,2016-04-21 16:33:50.409
NormalBlink,2016-04-21 16:33:50.492
NormalBlink,2016-04-21 16:33:51.091
NormalBlink,2016-04-21 16:33:51.308
NormalBlink,2016-04-21 16:33:51.408
NormalBlink,2016-04-21 16:33:51.707
NormalBlink,2016-04-21 16:33:52.207
NormalBlink,2016-04-21 16:33:52.390
NormalBlink,2016-04-21 16:33:52.507
NormalBlink,2016-04-21 16:33:52.556
NormalBlink,2016-04-21 16:33:52.706
NormalBlink,2016-04-21 16:33:53.122
NormalBlink,2016-04-21 16:33:53.355
NormalBlink,2016-04-21 16:33:53.638
NormalBlink,2016-04-21 16:33:53.738
NormalBlink,2016-04-21 16:33:54.254
NormalBlink,2016-04-21 16:33:54.338
NormalBlink,2016-04-21 16:33:54.787
NormalBlink,2016-04-21 16:33:55.137
NormalBlink,2016-04-21 16:33:55.286
NormalBlink,2016-04-21 16:33:55.752
NormalBlink,2016-04-21 16:33:55.886
NormalBlink,2016-04-21 16:33:56.035
NormalBlink,2016-04-21 16:33:56.535
NormalBlink,2016-04-21 16:33:56.935
NormalBlink,2016-04-21 16:33:57.034
NormalBlink,2016-04-21 16:33:57.184
NormalBlink,2016-04-21 16:33:57.650
NormalBlink,2016-04-21 16:33:57.850
NormalBlink,2016-04-21 16:33:58.183
NormalBlink,2016-04-21 16:33:58.366
NormalBlink,2016-04-21 16:33:58.483
NormalBlink,2016-04-21 16:33:58.533
NormalBlink,2016-04-21 16:33:59.032
NormalBlink,2016-04-21 16:33:59.099
NormalBlink,2016-04-21 16:33:59.298
NormalBlink,2016-04-21 16:33:59.432
NormalBlink,2016-04-21 16:33:59.698
NormalBlink,2016-04-21 16:33:59.748
NormalBlink,2016-04-21 16:34:00.148
NormalBlink,2016-04-21 16:34:00.347
NormalBlink,2016-04-21 16:34:01.263
NormalBlink,2016-04-21 16:34:01.363
NormalBlink,2016-04-21 16:34:01.679
NormalBlink,2016-04-21 16:34:01.962
NormalBlink,2016-04-21 16:34:02.462
NormalBlink,2016-04-21 16:34:02.661
NormalBlink,2016-04-21 16:34:02.728
NormalBlink,2016-04-21 16:34:02.961
NormalBlink,2016-04-21 16:34:03.161
NormalBlink,2016-04-21 16:34:03.244
NormalBlink,2016-04-21 16:34:03.460
NormalBlink,2016-04-21 16:34:03.677
NormalBlink,2016-04-21 16:34:03.928
NormalBlink,2016-04-21 16:34:04.060
