BlinkType,TimeTracker
NormalBlink,2016-04-21 16:45:00.302
LongBlink,2016-04-21 16:45:01.451
NormalBlink,2016-04-21 16:45:02.349
NormalBlink,2016-04-21 16:45:06.527
NormalBlink,2016-04-21 16:45:12.189
NormalBlink,2016-04-21 16:45:12.622
NormalBlink,2016-04-21 16:45:12.805
NormalBlink,2016-04-21 16:45:13.055
NormalBlink,2016-04-21 16:45:13.604
NormalBlink,2016-04-21 16:45:15.019
NormalBlink,2016-04-21 16:45:16.151
LongBlink,2016-04-21 16:45:16.917
NormalBlink,2016-04-21 16:45:17.949
LongBlink,2016-04-21 16:45:19.331
NormalBlink,2016-04-21 16:45:22.544
NormalBlink,2016-04-21 16:45:22.610
NormalBlink,2016-04-21 16:45:22.744
NormalBlink,2016-04-21 16:45:25.107
NormalBlink,2016-04-21 16:45:29.071
NormalBlink,2016-04-21 16:45:29.454
LongBlink,2016-04-21 16:45:30.352
NormalBlink,2016-04-21 16:45:31.218
NormalBlink,2016-04-21 16:45:31.368
NormalBlink,2016-04-21 16:45:35.630
NormalBlink,2016-04-21 16:45:35.713
NormalBlink,2016-04-21 16:45:38.744
NormalBlink,2016-04-21 16:45:45.585
NormalBlink,2016-04-21 16:45:46.638
NormalBlink,2016-04-21 16:45:47.567
NormalBlink,2016-04-21 16:45:50.464
NormalBlink,2016-04-21 16:45:50.797
NormalBlink,2016-04-21 16:45:51.596
NormalBlink,2016-04-21 16:45:54.492
NormalBlink,2016-04-21 16:45:55.291
NormalBlink,2016-04-21 16:45:55.425
NormalBlink,2016-04-21 16:45:56.973
NormalBlink,2016-04-21 16:45:57.073
NormalBlink,2016-04-21 16:45:57.239
NormalBlink,2016-04-21 16:45:57.955
NormalBlink,2016-04-21 16:45:59.470
NormalBlink,2016-04-21 16:45:59.620
NormalBlink,2016-04-21 16:45:59.886
NormalBlink,2016-04-21 16:46:00.136
NormalBlink,2016-04-21 16:46:00.269
NormalBlink,2016-04-21 16:46:02.434
NormalBlink,2016-04-21 16:46:07.979
NormalBlink,2016-04-21 16:46:08.311
NormalBlink,2016-04-21 16:46:14.321
NormalBlink,2016-04-21 16:46:17.720
NormalBlink,2016-04-21 16:46:17.817
LongBlink,2016-04-21 16:46:21.480
NormalBlink,2016-04-21 16:46:22.963
NormalBlink,2016-04-21 16:46:23.379
NormalBlink,2016-04-21 16:46:23.945
NormalBlink,2016-04-21 16:46:25.409
NormalBlink,2016-04-21 16:46:25.659
NormalBlink,2016-04-21 16:46:27.757
NormalBlink,2016-04-21 16:46:28.223
NormalBlink,2016-04-21 16:46:30.237
NormalBlink,2016-04-21 16:46:30.870
NormalBlink,2016-04-21 16:46:30.987
NormalBlink,2016-04-21 16:46:31.553
NormalBlink,2016-04-21 16:46:31.736
NormalBlink,2016-04-21 16:46:32.285
NormalBlink,2016-04-21 16:46:32.451
NormalBlink,2016-04-21 16:46:32.884
NormalBlink,2016-04-21 16:46:33.850
NormalBlink,2016-04-21 16:46:34.534
NormalBlink,2016-04-21 16:46:34.882
NormalBlink,2016-04-21 16:46:38.679
NormalBlink,2016-04-21 16:46:41.443
NormalBlink,2016-04-21 16:46:45.554
NormalBlink,2016-04-21 16:46:47.369
NormalBlink,2016-04-21 16:46:49.083
NormalBlink,2016-04-21 16:46:50.998
NormalBlink,2016-04-21 16:46:51.517
NormalBlink,2016-04-21 16:46:52.047
NormalBlink,2016-04-21 16:46:57.644
NormalBlink,2016-04-21 16:47:01.022
NormalBlink,2016-04-21 16:47:02.819
NormalBlink,2016-04-21 16:47:03.035
NormalBlink,2016-04-21 16:47:03.602
NormalBlink,2016-04-21 16:47:09.728
NormalBlink,2016-04-21 16:47:12.441
NormalBlink,2016-04-21 16:47:12.491
NormalBlink,2016-04-21 16:47:12.608
NormalBlink,2016-04-21 16:47:17.370
NormalBlink,2016-04-21 16:47:18.635
NormalBlink,2016-04-21 16:47:19.967
NormalBlink,2016-04-21 16:47:21.882
NormalBlink,2016-04-21 16:47:21.965
NormalBlink,2016-04-21 16:47:22.148
NormalBlink,2016-04-21 16:47:26.976
NormalBlink,2016-04-21 16:47:27.076
NormalBlink,2016-04-21 16:47:27.209
NormalBlink,2016-04-21 16:47:27.712
LongBlink,2016-04-21 16:47:29.140
NormalBlink,2016-04-21 16:47:29.306
NormalBlink,2016-04-21 16:47:30.955
NormalBlink,2016-04-21 16:47:31.221
NormalBlink,2016-04-21 16:47:32.137
NormalBlink,2016-04-21 16:47:32.554
NormalBlink,2016-04-21 16:47:34.635
NormalBlink,2016-04-21 16:47:35.168
NormalBlink,2016-04-21 16:47:36.283
NormalBlink,2016-04-21 16:47:37.931
NormalBlink,2016-04-21 16:47:38.580
NormalBlink,2016-04-21 16:47:39.179
NormalBlink,2016-04-21 16:47:39.446
NormalBlink,2016-04-21 16:47:39.596
NormalBlink,2016-04-21 16:47:39.979
NormalBlink,2016-04-21 16:47:40.145
NormalBlink,2016-04-21 16:47:41.260
NormalBlink,2016-04-21 16:47:41.826
NormalBlink,2016-04-21 16:47:42.027
NormalBlink,2016-04-21 16:47:42.276
NormalBlink,2016-04-21 16:47:42.426
NormalBlink,2016-04-21 16:47:42.792
NormalBlink,2016-04-21 16:47:43.075
NormalBlink,2016-04-21 16:47:55.845
NormalBlink,2016-04-21 16:48:03.686
NormalBlink,2016-04-21 16:48:06.584
NormalBlink,2016-04-21 16:48:07.150
NormalBlink,2016-04-21 16:48:08.232
NormalBlink,2016-04-21 16:48:08.515
NormalBlink,2016-04-21 16:48:09.381
NormalBlink,2016-04-21 16:48:10.180
NormalBlink,2016-04-21 16:48:13.243
NormalBlink,2016-04-21 16:48:14.325
NormalBlink,2016-04-21 16:48:14.525
NormalBlink,2016-04-21 16:48:16.522
NormalBlink,2016-04-21 16:48:16.672
NormalBlink,2016-04-21 16:48:17.005
NormalBlink,2016-04-21 16:48:17.172
NormalBlink,2016-04-21 16:48:17.372
NormalBlink,2016-04-21 16:48:17.538
NormalBlink,2016-04-21 16:48:18.021
