CRX,CRY
574.9478,357.1588
573.0986,353.1618
581.2894,359.133
578.2498,349.8828
581.7937,348.7071
581.725,359.4156
571.8215,352.1277
594.3062,378.4077
846.288,514.4681
843.02,521.1718
842.3928,522.6642
820.2925,560.5502
1025.6573,543.4196
841.1007,510.8879
837.8319,529.5856
831.5576,500.7788
847.5626,533.7583
842.7935,513.2483
834.0099,536.8535
841.3044,522.5466
840.2501,517.6093
863.8492,570.2035
865.2705,583.3019
879.2307,572.8868
860.5205,556.59
845.5319,550.1257
871.4397,544.5625
870.7119,579.2082
866.0183,522.129
849.9508,543.3021
854.1169,556.7822
845.7567,527.7621
853.7803,570.5169
849.4862,531.7361
849.8611,544.0084
847.2555,559.3787
835.8811,554.7336
845.0483,550.5815
848.9825,541.5735
862.9897,537.4419
851.8708,563.7357
847.7303,552.9291
843.7114,558.2177
847.3607,556.0232
857.592,542.774
848.7773,515.6407
781.2709,377.4996
778.8491,330.9769
778.3297,327.583
791.7271,309.7529
788.7001,279.4552
801.316,261.5316
829.9288,254.731
783.5754,325.5294
804.6984,291.3951
804.7567,275.3556
806.6146,305.6337
785.5049,253.8484
666.7678,274.7939
665.0083,266.3887
660.177,248.0433
667.252,241.5792
672.0909,280.5566
664.8612,244.6598
660.4658,241.2374
668.2535,252.7984
655.3109,264.3528
674.0458,243.8196
668.6045,263.5608
668.722,285.0267
665.7033,250.7963
656.1698,226.7902
641.2003,241.2428
642.429,244.0554
639.8052,246.68
663.949,254.9291
644.1804,256.689
647.3013,251.2896
662.9,244.9356
660.7264,240.0128
665.8864,242.3563
685.1323,249.7989
809.0527,214.845
818.8307,212.711
818.9492,198.318
834.5989,220.042
825.8759,228.007
830.4611,203.9098
840.9301,229.0236
827.5005,236.165
1308.3317,725.0442
1038.451,373.4644
1416.6633,876.5374
1380.6842,853.3047
1358.9419,851.8605
1348.6029,861.0541
1362.7314,849.2064
1354.7468,858.9344
1358.0619,859.4357
1344.064,853.5921
1349.6748,863.9541
1339.9187,852.7766
1356.79,870.7739
1354.5034,861.853
1370.8296,852.3422
1382.9448,845.5391
1373.5745,829.1583
1365.1678,828.8683
1385.8904,870.7586
1356.802,841.5937
1358.8085,841.3243
1342.9813,838.1094
1142.7698,688.5641
823.3661,342.6115
671.071,234.7199
682.7575,230.1799
700.6882,228.704
673.4614,227.5128
684.0317,231.4711
673.2509,239.6953
701.9348,234.5416
690.5093,252.6642
629.7548,242.2084
612.3495,233.6119
631.7593,209.0129
634.3898,228.7909
625.3838,230.705
632.3734,230.1335
631.5234,216.7753
623.6881,246.3735
626.7643,235.1348
626.0383,226.1609
621.7321,222.9756
698.5306,220.9446
767.9647,232.4592
758.807,221.3817
772.3461,227.2744
774.5739,229.183
760.6938,209.3858
754.4738,227.1041
767.5458,226.6616
757.8198,225.1414
760.3614,222.9077
738.6664,248.6115
774.538,217.9301
751.5098,218.6069
747.7524,242.2259
840.2328,217.31
851.5217,232.7874
853.6503,217.9017
851.1761,196.7664
851.5304,228.6976
850.6536,203.3706
907.3426,224.6274
908.5975,229.4763
917.6517,229.9453
915.5897,216.8356
904.2899,194.8745
905.6945,208.319
912.485,219.8979
901.722,268.0811
915.675,220.967
928.2748,220.5582
922.8854,214.1119
919.3998,212.1169
918.1758,210.709
927.5338,215.019
909.8812,216.532
902.9851,240.7652
905.9938,220.9833
917.0037,219.2319
897.3831,221.795
986.8974,223.5025
978.845,222.7873
994.8197,236.2359
976.0095,240.032
977.243,230.6342
820.5953,243.5367
630.4694,272.1312
602.6874,269.855
627.2256,279.8811
617.5642,246.8137
610.7097,253.3698
615.0032,259.1689
614.6553,271.1384
609.1669,260.8648
610.0288,260.716
625.5955,242.3328
627.7273,249.4762
625.1743,290.1687
628.1038,264.7907
634.5165,269.8001
633.4393,270.6992
634.0561,288.9107
643.1,269.0439
719.9004,269.6742
727.2752,258.8016
745.4268,274.1815
723.0261,280.6517
731.8377,278.2642
737.8602,272.2037
731.7491,256.1418
727.7492,250.7115
722.1348,268.4575
744.0409,252.6721
732.5522,265.8247
740.16,242.295
743.4084,256.0159
731.1603,235.807
735.2391,263.2022
811.2903,244.3141
827.4937,288.8055
836.0589,251.7137
820.3849,262.4905
835.8005,244.354
844.1239,241.8776
839.4645,279.9677
817.1439,249.0605
818.0161,257.3781
830.2659,253.5335
834.0961,251.209
835.5433,238.3391
825.5746,248.2948
829.6643,260.1968
836.403,274.2353
820.616,247.1116
926.3199,281.8422
925.4369,243.7413
931.5614,247.3222
934.9609,263.1979
937.627,263.571
932.6484,275.0861
922.0712,272.3444
930.3645,248.7517
932.4448,262.7469
928.6978,257.0553
917.2123,247.715
930.2748,271.2616
920.1249,266.5153
920.2886,235.5796
930.9416,263.9864
1004.3442,256.5471
1006.6328,253.5546
989.8457,249.947
1008.7845,274.9172
994.6749,260.0915
982.3065,259.405
622.8872,318.6786
617.9674,310.3678
628.7958,355.8779
