CRX,CRY
728.4227,607.9893
724.0701,619.2841
733.3618,603.0558
735.3879,627.2677
730.5914,617.4767
732.802,612.5128
728.2113,614.6299
732.832,623.9867
728.9341,605.9664
725.6345,611.3911
742.2051,610.0231
728.543,616.4095
730.7858,621.489
730.0647,617.6333
740.1213,625.4709
744.9757,622.7238
736.7463,616.246
738.7839,613.5096
732.6244,621.2368
740.6251,616.6992
743.0577,616.9594
736.5524,619.1852
714.0516,615.0785
697.6421,620.6114
710.4426,626.3274
713.4846,617.5885
715.1743,621.2249
706.9397,614.4384
704.6652,615.4875
711.144,612.1379
704.5379,616.5129
701.8256,619.455
702.4642,620.7349
703.0969,616.8254
691.4339,609.6005
714.4305,621.9806
703.6783,628.9335
710.9719,598.3666
703.6548,615.6736
699.0342,613.1483
695.0613,607.2485
696.8279,609.8138
700.8232,616.2543
707.2609,616.3376
702.2441,607.7533
703.9127,608.0247
699.8076,609.9923
702.869,607.9194
719.0017,600.8962
783.6169,562.7781
789.4374,562.1943
789.965,535.0989
790.3293,525.153
783.9783,527.1899
793.1078,523.4693
786.731,524.3539
788.9919,519.0094
791.511,520.0863
785.0897,520.3167
789.2297,524.6246
797.6932,514.6452
793.8843,495.0704
804.7133,500.5995
791.1359,495.8053
796.4105,527.327
800.3677,515.037
791.2903,517.0323
797.6014,509.0815
793.6659,521.6298
839.5364,494.8009
1040.9989,639.7445
1258.5225,802.3635
1281.7385,780.9712
1276.5754,825.4972
1275.215,832.2186
1278.5137,781.6246
1271.2877,841.9713
1273.6277,771.0468
1254.512,832.3262
1266.651,826.1788
1269.0757,846.8274
1299.457,852.3053
1302.4434,861.7993
1294.1187,853.4672
1308.1594,851.8112
1299.5447,858.7695
1314.9583,848.8097
1313.5073,851.7621
1294.9634,847.1992
1303.9202,843.2
1312.1152,847.1683
1075.1423,462.3522
1047.6273,441.89
1048.6583,442.8679
1035.7151,421.6213
1039.0029,440.6689
1038.8508,457.3825
1033.8262,453.9191
1044.5565,440.2891
1037.5447,465.0373
1038.0366,429.9028
1054.6345,458.0038
1055.3193,460.6333
1047.1903,451.3892
1059.1494,443.9299
916.4934,389.106
867.6626,373.9183
848.4524,372.0495
845.7903,372.4693
862.3006,348.9161
855.8484,359.6588
860.5654,360.2377
851.8194,365.6445
857.0839,362.929
869.0956,363.9312
877.4336,354.188
875.6973,361.6744
861.8895,348.697
867.1637,347.3711
868.5737,352.0344
865.1013,376.0556
866.6599,369.5802
870.2052,379.115
846.574,365.6055
687.6874,374.2011
636.5387,381.9369
614.296,402.8217
622.6309,387.6713
634.1336,400.4036
622.1277,354.6282
625.6431,385.5301
629.6593,395.3968
630.2273,392.3017
634.1475,404.4456
631.6326,405.4286
631.2403,398.6404
630.5057,372.122
619.3405,403.776
619.4702,400.314
617.1326,390.3419
632.5721,394.1421
630.422,380.423
621.9297,400.6617
563.3807,402.9158
461.7953,458.2269
390.9148,484.4932
409.062,495.7739
405.7729,502.5223
409.2113,484.7956
404.7505,475.3929
430.2665,478.9728
413.02,486.0538
408.8995,466.7377
417.2192,486.1013
410.6705,476.3517
426.9516,487.0728
428.2322,488.0627
411.0089,481.7538
409.9465,481.0813
420.1234,508.2605
416.1951,504.4422
409.3391,492.8771
418.4132,490.6489
417.8373,476.6477
424.6622,493.6755
411.6575,472.2461
313.5793,493.5713
327.6027,481.1552
337.837,492.9684
