BlinkType,TimeTracker
NormalBlink,2016-04-28 13:26:33.803
NormalBlink,2016-04-28 13:26:37.268
NormalBlink,2016-04-28 13:26:40.196
NormalBlink,2016-04-28 13:26:42.511
NormalBlink,2016-04-28 13:26:45.723
NormalBlink,2016-04-28 13:26:48.088
NormalBlink,2016-04-28 13:26:56.345
NormalBlink,2016-04-28 13:27:02.704
NormalBlink,2016-04-28 13:27:06.235
NormalBlink,2016-04-28 13:27:11.998
NormalBlink,2016-04-28 13:27:19.536
NormalBlink,2016-04-28 13:27:22.786
NormalBlink,2016-04-28 13:27:28.830
NormalBlink,2016-04-28 13:27:34.986
NormalBlink,2016-04-28 13:27:37.817
NormalBlink,2016-04-28 13:27:41.081
NormalBlink,2016-04-28 13:27:43.178
NormalBlink,2016-04-28 13:27:44.810
NormalBlink,2016-04-28 13:27:49.771
NormalBlink,2016-04-28 13:27:54.033
NormalBlink,2016-04-28 13:28:01.625
NormalBlink,2016-04-28 13:28:09.199
NormalBlink,2016-04-28 13:28:13.312
NormalBlink,2016-04-28 13:28:19.123
NormalBlink,2016-04-28 13:28:22.269
NormalBlink,2016-04-28 13:28:27.180
NormalBlink,2016-04-28 13:28:32.792
NormalBlink,2016-04-28 13:28:33.091
NormalBlink,2016-04-28 13:28:39.767
LongBlink,2016-04-28 13:28:42.763
NormalBlink,2016-04-28 13:28:47.741
NormalBlink,2016-04-28 13:28:48.642
NormalBlink,2016-04-28 13:28:56.765
NormalBlink,2016-04-28 13:29:05.575
NormalBlink,2016-04-28 13:29:16.137
NormalBlink,2016-04-28 13:29:20.223
NormalBlink,2016-04-28 13:29:25.251
NormalBlink,2016-04-28 13:29:27.033
NormalBlink,2016-04-28 13:29:27.682
NormalBlink,2016-04-28 13:29:31.579
NormalBlink,2016-04-28 13:29:35.839
NormalBlink,2016-04-28 13:29:39.571
NormalBlink,2016-04-28 13:29:43.531
NormalBlink,2016-04-28 13:29:48.260
NormalBlink,2016-04-28 13:29:53.687
NormalBlink,2016-04-28 13:29:53.953
NormalBlink,2016-04-28 13:29:59.363
NormalBlink,2016-04-28 13:30:01.962
NormalBlink,2016-04-28 13:30:06.590
LongBlink,2016-04-28 13:30:10.552
NormalBlink,2016-04-28 13:30:14.897
LongBlink,2016-04-28 13:30:17.829
NormalBlink,2016-04-28 13:30:21.724
NormalBlink,2016-04-28 13:30:24.554
NormalBlink,2016-04-28 13:30:27.733
NormalBlink,2016-04-28 13:30:28.915
NormalBlink,2016-04-28 13:30:32.894
NormalBlink,2016-04-28 13:30:45.248
NormalBlink,2016-04-28 13:30:49.127
NormalBlink,2016-04-28 13:30:52.556
NormalBlink,2016-04-28 13:30:57.685
LongBlink,2016-04-28 13:30:59.250
NormalBlink,2016-04-28 13:30:59.732
NormalBlink,2016-04-28 13:31:04.444
NormalBlink,2016-04-28 13:31:05.231
LongBlink,2016-04-28 13:31:06.708
NormalBlink,2016-04-28 13:31:10.205
NormalBlink,2016-04-28 13:31:16.830
NormalBlink,2016-04-28 13:31:18.049
NormalBlink,2016-04-28 13:31:18.615
LongBlink,2016-04-28 13:31:27.169
NormalBlink,2016-04-28 13:31:29.584
NormalBlink,2016-04-28 13:31:32.930
LongBlink,2016-04-28 13:31:34.561
LongBlink,2016-04-28 13:31:35.360
NormalBlink,2016-04-28 13:31:42.136
