BlinkType,TimeTracker
NormalBlink,2016-04-28 13:40:41.754
NormalBlink,2016-04-28 13:40:48.747
NormalBlink,2016-04-28 13:40:51.177
NormalBlink,2016-04-28 13:40:56.621
NormalBlink,2016-04-28 13:40:57.903
NormalBlink,2016-04-28 13:40:59.002
NormalBlink,2016-04-28 13:41:11.622
NormalBlink,2016-04-28 13:41:11.888
NormalBlink,2016-04-28 13:41:15.834
NormalBlink,2016-04-28 13:41:30.851
NormalBlink,2016-04-28 13:41:34.314
NormalBlink,2016-04-28 13:41:35.313
NormalBlink,2016-04-28 13:41:36.147
NormalBlink,2016-04-28 13:41:45.219
NormalBlink,2016-04-28 13:41:46.800
NormalBlink,2016-04-28 13:41:48.132
LongBlink,2016-04-28 13:41:49.617
NormalBlink,2016-04-28 13:41:55.024
NormalBlink,2016-04-28 13:41:59.370
NormalBlink,2016-04-28 13:42:02.333
NormalBlink,2016-04-28 13:42:06.146
NormalBlink,2016-04-28 13:42:11.090
NormalBlink,2016-04-28 13:42:12.255
NormalBlink,2016-04-28 13:42:16.304
NormalBlink,2016-04-28 13:42:37.912
NormalBlink,2016-04-28 13:42:39.360
NormalBlink,2016-04-28 13:42:43.888
NormalBlink,2016-04-28 13:42:45.037
NormalBlink,2016-04-28 13:43:05.898
NormalBlink,2016-04-28 13:43:09.245
NormalBlink,2016-04-28 13:43:09.545
NormalBlink,2016-04-28 13:43:11.725
NormalBlink,2016-04-28 13:43:15.721
NormalBlink,2016-04-28 13:43:17.204
NormalBlink,2016-04-28 13:43:21.731
NormalBlink,2016-04-28 13:43:30.022
NormalBlink,2016-04-28 13:43:39.511
NormalBlink,2016-04-28 13:43:41.376
NormalBlink,2016-04-28 13:43:54.396
NormalBlink,2016-04-28 13:43:57.459
NormalBlink,2016-04-28 13:44:00.856
NormalBlink,2016-04-28 13:44:06.949
NormalBlink,2016-04-28 13:44:08.881
NormalBlink,2016-04-28 13:44:10.162
NormalBlink,2016-04-28 13:44:10.995
NormalBlink,2016-04-28 13:44:11.544
NormalBlink,2016-04-28 13:44:13.159
NormalBlink,2016-04-28 13:44:16.871
NormalBlink,2016-04-28 13:44:19.669
NormalBlink,2016-04-28 13:44:25.595
NormalBlink,2016-04-28 13:44:30.673
NormalBlink,2016-04-28 13:44:31.722
NormalBlink,2016-04-28 13:44:32.737
NormalBlink,2016-04-28 13:44:34.636
NormalBlink,2016-04-28 13:44:37.782
NormalBlink,2016-04-28 13:44:37.999
NormalBlink,2016-04-28 13:44:42.294
NormalBlink,2016-04-28 13:44:43.976
NormalBlink,2016-04-28 13:44:45.990
NormalBlink,2016-04-28 13:44:50.784
NormalBlink,2016-04-28 13:44:57.945
LongBlink,2016-04-28 13:45:02.422
NormalBlink,2016-04-28 13:45:04.387
NormalBlink,2016-04-28 13:45:08.449
