CRX,CRY,TimeStamp
847.039,1022.8837,28/04/2016 13:40:37.343
526.9514,996.0621,28/04/2016 13:40:37.362
819.5846,959.7858,28/04/2016 13:40:37.423
314.2379,970.0469,28/04/2016 13:40:37.458
485.3008,996.7509,28/04/2016 13:40:37.513
798.272,761.1823,28/04/2016 13:40:37.708
761.2238,674.615,28/04/2016 13:40:37.725
786.5684,580.0035,28/04/2016 13:40:37.758
832.5741,600.2449,28/04/2016 13:40:37.744
837.2905,538.3958,28/04/2016 13:40:37.775
814.9308,495.2452,28/04/2016 13:40:37.791
884.4832,484.3908,28/04/2016 13:40:37.808
799.1934,462.4573,28/04/2016 13:40:37.825
816.5063,485.7245,28/04/2016 13:40:37.841
765.6884,478.3557,28/04/2016 13:40:37.858
759.579,492.4407,28/04/2016 13:40:37.891
776.8021,494.013,28/04/2016 13:40:37.875
757.6152,476.9128,28/04/2016 13:40:37.908
822.5956,467.5284,28/04/2016 13:40:37.925
702.5615,306.1543,28/04/2016 13:40:37.944
819.2184,448.0539,28/04/2016 13:40:37.958
854.2889,463.4027,28/04/2016 13:40:37.974
815.6287,430.1234,28/04/2016 13:40:37.991
869.4782,456.4489,28/04/2016 13:40:38.008
771.0729,395.9479,28/04/2016 13:40:38.024
852.9969,443.0646,28/04/2016 13:40:38.041
851.8873,475.0574,28/04/2016 13:40:38.058
824.5248,430.0811,28/04/2016 13:40:38.091
831.0389,433.0866,28/04/2016 13:40:38.074
877.7094,487.6502,28/04/2016 13:40:38.108
859.5486,460.934,28/04/2016 13:40:38.124
839.8838,495.5702,28/04/2016 13:40:38.141
876.934,475.7861,28/04/2016 13:40:38.157
861.4578,496.4918,28/04/2016 13:40:38.174
844.5045,501.0474,28/04/2016 13:40:38.191
855.925,482.6272,28/04/2016 13:40:38.207
841.9587,470.2429,28/04/2016 13:40:38.224
850.8555,503.321,28/04/2016 13:40:38.243
880.1215,485.6486,28/04/2016 13:40:38.257
837.3867,470.4464,28/04/2016 13:40:38.274
833.3159,486.3536,28/04/2016 13:40:38.291
817.8972,391.3864,28/04/2016 13:40:38.307
842.8065,488.766,28/04/2016 13:40:38.324
