CRX,CRY,TimeStamp
1020.77,248.9676,28/04/2016 13:45:23.083
1022.0466,251.1772,28/04/2016 13:45:23.100
1025.2955,284.5851,28/04/2016 13:45:23.116
1057.3608,301.4932,28/04/2016 13:45:23.133
1028.6802,216.5523,28/04/2016 13:45:23.166
1006.1293,303.5471,28/04/2016 13:45:23.150
980.2151,221.4562,28/04/2016 13:45:23.183
883.6985,435.8848,28/04/2016 13:45:23.200
796.1975,467.5286,28/04/2016 13:45:23.216
790.2334,464.6967,28/04/2016 13:45:23.233
823.4952,460.7002,28/04/2016 13:45:23.249
787.0493,470.2102,28/04/2016 13:45:23.266
813.7336,457.6328,28/04/2016 13:45:23.283
763.7714,482.4529,28/04/2016 13:45:23.299
785.1577,481.8427,28/04/2016 13:45:23.316
814.7764,449.4367,28/04/2016 13:45:23.333
778.5502,437.2444,28/04/2016 13:45:23.349
797.5616,443.2505,28/04/2016 13:45:23.366
811.1805,460.2153,28/04/2016 13:45:23.383
826.0385,490.5781,28/04/2016 13:45:23.399
811.9514,468.4072,28/04/2016 13:45:23.416
800.2789,479.8905,28/04/2016 13:45:23.433
790.0898,478.4702,28/04/2016 13:45:23.449
781.3096,471.0555,28/04/2016 13:45:23.466
807.3582,519.2535,28/04/2016 13:45:23.483
731.749,1002.6843,28/04/2016 13:45:23.499
676.5482,975.8343,28/04/2016 13:45:23.550
749.6555,835.2895,28/04/2016 13:45:23.566
702.9058,679.597,28/04/2016 13:45:23.582
744.8241,650.9429,28/04/2016 13:45:23.599
737.086,551.3822,28/04/2016 13:45:23.616
789.7572,694.9045,28/04/2016 13:45:23.632
731.4335,1028.6111,28/04/2016 13:45:23.649
723.4585,1072.7039,28/04/2016 13:45:23.766
736.0965,620.0073,28/04/2016 13:45:23.815
714.1699,779.1737,28/04/2016 13:45:23.799
746.2942,581.2734,28/04/2016 13:45:23.833
731.181,505.3122,28/04/2016 13:45:23.849
738.7599,475.4372,28/04/2016 13:45:23.865
736.0815,459.3552,28/04/2016 13:45:23.882
744.504,450.0443,28/04/2016 13:45:23.899
729.8969,458.2973,28/04/2016 13:45:23.915
673.5764,346.7654,28/04/2016 13:45:23.932
629.1951,230.1399,28/04/2016 13:45:23.949
642.7806,270.7477,28/04/2016 13:45:23.965
617.9919,251.1794,28/04/2016 13:45:23.982
607.8308,247.9296,28/04/2016 13:45:23.999
614.0281,252.9423,28/04/2016 13:45:24.015
633.7526,260.8724,28/04/2016 13:45:24.032
623.2164,245.1684,28/04/2016 13:45:24.065
606.3699,239.7729,28/04/2016 13:45:24.049
643.6969,237.0423,28/04/2016 13:45:24.082
595.5503,204.8248,28/04/2016 13:45:24.098
589.2979,217.0704,28/04/2016 13:45:24.115
578.2474,228.557,28/04/2016 13:45:24.132
581.8069,216.1757,28/04/2016 13:45:24.148
567.5375,176.7452,28/04/2016 13:45:24.165
583.2937,229.9575,28/04/2016 13:45:24.182
574.2363,218.4249,28/04/2016 13:45:24.198
563.573,179.0513,28/04/2016 13:45:24.215
567.8708,214.1303,28/04/2016 13:45:24.232
557.3114,197.0397,28/04/2016 13:45:24.248
568.5236,196.2453,28/04/2016 13:45:24.265
579.7524,185.8968,28/04/2016 13:45:24.282
694.3588,227.9488,28/04/2016 13:45:24.300
712.0554,185.9051,28/04/2016 13:45:24.315
704.2612,175.0803,28/04/2016 13:45:24.331
691.7666,206.8426,28/04/2016 13:45:24.348
692.4003,197.0074,28/04/2016 13:45:24.365
679.595,193.7128,28/04/2016 13:45:24.381
700.2072,151.5972,28/04/2016 13:45:24.398
673.6107,177.0293,28/04/2016 13:45:24.415
690.9291,207.73,28/04/2016 13:45:24.432
