BlinkType,TimeTracker
NormalBlink,2016-04-28 11:42:32.281
NormalBlink,2016-04-28 11:42:35.725
NormalBlink,2016-04-28 11:42:41.202
NormalBlink,2016-04-28 11:42:51.175
NormalBlink,2016-04-28 11:42:53.406
NormalBlink,2016-04-28 11:43:03.828
NormalBlink,2016-04-28 11:43:10.306
NormalBlink,2016-04-28 11:43:12.869
NormalBlink,2016-04-28 11:43:16.514
NormalBlink,2016-04-28 11:43:22.696
NormalBlink,2016-04-28 11:43:25.744
NormalBlink,2016-04-28 11:43:32.880
NormalBlink,2016-04-28 11:43:54.240
NormalBlink,2016-04-28 11:44:03.597
NormalBlink,2016-04-28 11:44:05.012
NormalBlink,2016-04-28 11:44:08.375
NormalBlink,2016-04-28 11:44:18.616
NormalBlink,2016-04-28 11:44:26.505
NormalBlink,2016-04-28 11:44:32.782
NormalBlink,2016-04-28 11:44:43.470
NormalBlink,2016-04-28 11:44:59.021
NormalBlink,2016-04-28 11:45:01.101
NormalBlink,2016-04-28 11:45:03.881
NormalBlink,2016-04-28 11:45:21.862
NormalBlink,2016-04-28 11:45:29.504
NormalBlink,2016-04-28 11:45:32.584
NormalBlink,2016-04-28 11:45:35.830
NormalBlink,2016-04-28 11:45:38.378
NormalBlink,2016-04-28 11:45:46.319
NormalBlink,2016-04-28 11:45:49.666
NormalBlink,2016-04-28 11:45:54.261
NormalBlink,2016-04-28 11:45:56.142
NormalBlink,2016-04-28 11:46:09.811
NormalBlink,2016-04-28 11:46:12.924
NormalBlink,2016-04-28 11:46:19.584
NormalBlink,2016-04-28 11:46:21.065
NormalBlink,2016-04-28 11:46:28.580
NormalBlink,2016-04-28 11:46:31.370
NormalBlink,2016-04-28 11:46:40.311
NormalBlink,2016-04-28 11:46:59.823
NormalBlink,2016-04-28 11:47:08.896
NormalBlink,2016-04-28 11:47:10.944
NormalBlink,2016-04-28 11:47:13.808
NormalBlink,2016-04-28 11:47:20.068
NormalBlink,2016-04-28 11:47:23.780
NormalBlink,2016-04-28 11:47:25.861
NormalBlink,2016-04-28 11:47:29.041
NormalBlink,2016-04-28 11:47:33.871
NormalBlink,2016-04-28 11:47:51.284
NormalBlink,2016-04-28 11:48:02.022
NormalBlink,2016-04-28 11:48:04.053
LongBlink,2016-04-28 11:48:06.852
NormalBlink,2016-04-28 11:48:07.540
LongBlink,2016-04-28 11:48:08.190
NormalBlink,2016-04-28 11:48:12.062
NormalBlink,2016-04-28 11:48:17.939
NormalBlink,2016-04-28 11:48:41.863
NormalBlink,2016-04-28 11:48:45.675
NormalBlink,2016-04-28 11:48:52.054
NormalBlink,2016-04-28 11:49:03.140
NormalBlink,2016-04-28 11:49:07.421
NormalBlink,2016-04-28 11:49:18.823
NormalBlink,2016-04-28 11:49:19.439
NormalBlink,2016-04-28 11:49:37.203
NormalBlink,2016-04-28 11:49:42.514
NormalBlink,2016-04-28 11:49:49.807
NormalBlink,2016-04-28 11:49:58.930
NormalBlink,2016-04-28 11:50:05.222
NormalBlink,2016-04-28 11:50:28.198
NormalBlink,2016-04-28 11:50:30.346
NormalBlink,2016-04-28 11:50:48.909
NormalBlink,2016-04-28 11:50:53.787
NormalBlink,2016-04-28 11:50:55.718
NormalBlink,2016-04-28 11:50:56.758
NormalBlink,2016-04-28 11:51:03.493
NormalBlink,2016-04-28 11:51:05.076
NormalBlink,2016-04-28 11:51:10.686
NormalBlink,2016-04-28 11:51:16.412
NormalBlink,2016-04-28 11:51:18.511
NormalBlink,2016-04-28 11:51:21.990
NormalBlink,2016-04-28 11:51:28.333
NormalBlink,2016-04-28 11:51:31.046
NormalBlink,2016-04-28 11:51:37.890
NormalBlink,2016-04-28 11:51:43.267
NormalBlink,2016-04-28 11:51:46.180
NormalBlink,2016-04-28 11:51:46.463
NormalBlink,2016-04-28 11:52:01.930
NormalBlink,2016-04-28 11:52:06.009
NormalBlink,2016-04-28 11:52:09.383
NormalBlink,2016-04-28 11:52:14.733
NormalBlink,2016-04-28 11:52:16.448
NormalBlink,2016-04-28 11:52:18.414
NormalBlink,2016-04-28 11:52:28.086
NormalBlink,2016-04-28 11:52:33.663
NormalBlink,2016-04-28 11:52:40.338
NormalBlink,2016-04-28 11:53:02.715
NormalBlink,2016-04-28 11:53:06.810
NormalBlink,2016-04-28 11:53:08.575
NormalBlink,2016-04-28 11:53:21.944
