CRX,CRY
693.188,1001.1567
761.4554,508.8982
756.71,491.269
745.7451,496.6396
729.9797,486.6156
730.2998,492.1867
750.2556,500.1438
758.005,472.6902
746.9267,492.8558
740.3169,486.3304
745.6674,496.1127
746.2148,507.3376
750.6041,486.6257
742.7219,487.0093
746.4012,490.3689
747.0228,462.8115
759.0262,485.9137
762.5409,464.9476
741.4666,511.4347
745.8557,472.5995
752.0088,476.8712
761.6914,479.4517
744.3774,477.8365
732.2614,503.2112
746.4565,477.1523
742.163,483.6806
886.5765,454.6544
999.1045,455.7908
969.4951,484.3186
981.1739,458.3221
978.6997,440.0989
994.4684,475.0257
981.5391,482.8339
976.791,471.8253
990.8265,454.1379
991.019,466.9243
986.7079,481.1884
846.0317,421.1533
757.4513,417.8889
747.8391,440.2427
787.5607,398.9418
756.2717,408.3414
767.4761,401.0467
751.8087,396.9199
783.1572,435.8726
747.5931,436.8271
776.4265,403.8446
770.0574,432.8972
748.0754,410.729
737.9333,358.1171
808.9394,164.2948
816.2449,201.3003
806.39,172.5073
803.6707,171.8903
837.2139,154.1427
816.7433,167.8252
826.8994,146.8439
803.8254,154.8137
811.5923,157.9896
826.5415,146.8791
804.7756,151.028
830.7883,132.4701
826.3209,152.9323
808.1461,64.9963
816.9857,109.4071
841.7288,92.367
817.6295,111.4306
822.3481,82.2969
813.9996,76.7374
823.6912,180.2977
719.7617,531.298
763.6597,569.8164
728.7061,624.8215
751.0899,624.9814
745.0948,644.3857
752.1296,622.5532
720.6305,613.7572
731.0199,599.7758
728.1061,626.8159
743.1407,613.7156
742.3309,616.2231
737.3438,593.1431
877.7483,629.5699
964.3262,659.8878
959.1381,646.3413
967.1838,639.4217
939.7162,668.3699
961.9143,654.9502
961.2141,639.8514
969.972,621.7422
943.3655,621.1536
947.0916,636.8316
966.9245,651.2419
897.3348,659.882
902.2,659.0406
907.965,663.3507
933.8148,670.0612
926.9249,651.9565
926.7786,672.0304
824.5971,746.2473
675.3608,875.1739
701.2095,874.2843
690.9421,881.5197
690.5935,849.7529
690.5807,870.3641
689.6538,876.2153
718.3547,855.6759
707.4871,849.6693
687.843,878.9866
715.5211,852.8456
691.209,883.7706
658.0543,867.9095
638.6495,884.1166
620.9547,879.9502
649.2147,872.4379
657.9734,873.483
625.5867,902.0322
643.9088,876.261
638.1144,882.3705
647.3158,873.66
637.2579,873.1579
633.3101,850.7883
630.7053,898.691
630.7825,876.6659
568.017,761.7297
646.8126,672.2195
741.6481,582.4292
859.3712,456.7142
823.5057,483.993
859.2168,464.7996
828.0882,457.9249
850.3314,436.7058
810.9666,469.7382
822.9996,489.0924
836.1254,473.3684
818.1121,467.149
829.8928,460.3294
835.8186,464.8732
833.2388,476.7848
840.0317,457.3282
820.6923,453.7641
814.7065,483.2187
833.6935,492.7643
812.9536,483.3819
835.9982,479.1732
810.6367,455.9262
818.5787,479.3028
841.4591,476.2732
829.782,477.4615
851.2676,472.1797
825.498,496.4351
824.0195,471.7481
824.4915,472.3416
817.8638,485.7145
813.2257,473.4869
846.868,493.1134
820.3289,474.9288
820.7809,483.2685
802.0786,438.8756
819.8552,469.7322
828.1693,477.6161
855.158,464.1688
850.4792,475.3571
843.014,479.2566
813.3943,491.751
833.661,484.7224
821.3289,500.5078
820.8829,466.478
844.8088,471.9352
821.8647,474.6605
868.1575,477.1526
836.8396,473.3991
839.666,470.1579
845.7451,479.9019
836.3433,456.0584
852.5111,466.0502
837.8802,490.16
826.6548,490.7048
824.5616,459.7619
838.4055,503.4991
849.1342,486.3077
844.4828,501.2556
847.2935,495.7202
831.5617,497.0649
830.1593,460.0019
842.2048,466.2925
843.3854,472.7903
842.0231,490.5356
835.1656,479.9149
837.2355,479.3337
852.9784,465.8113
841.125,454.8262
842.9144,464.1013
846.5291,473.509
825.4353,485.7522
827.7396,489.5336
831.3983,504.3361
779.9742,500.136
780.1292,487.0933
771.2701,504.0308
768.3046,505.3705
767.5377,512.3848
764.5023,490.0359
779.0021,500.3699
781.5116,507.2577
771.4529,484.4589
769.449,494.6658
784.5497,507.945
770.577,503.0842
780.2354,495.1085
777.7821,523.3911
743.2122,707.6
849.6364,515.3652
795.6272,465.8968
830.444,474.789
822.8457,493.7228
824.3718,484.5465
836.4846,465.5389
819.3253,478.0845
842.5176,462.78
807.7549,474.488
836.0284,451.1314
834.1105,457.7676
830.1401,468.0755
845.086,546.48
926.0702,847.8894
903.1859,980.7676
896.6143,952.5726
918.0062,956.0963
920.7898,958.7009
893.3529,960.3994
900.5603,961.0463
905.5619,979.4961
897.8145,968.9287
902.9896,965.7687
898.0951,976.1814
916.408,946.7286
901.2236,962.5573
883.6302,961.153
899.5111,981.9899
903.7891,982.8413
898.6678,977.7724
942.3009,1009.4517
933.8608,980.9038
936.0717,1004.2999
930.0364,998.4833
941.1833,1020.6302
927.6821,1011.9887
897.2936,997.2823
917.5037,1034.2495
912.9868,1020.5912
928.8363,1031.3513
933.4934,1034.9969
903.1564,1014.1059
925.9268,1004.8395
926.647,1018.6758
903.6956,1030.4141
930.4558,1011.3193
925.7319,1003.1498
907.8436,1026.859
935.7554,1024.5142
938.6422,1027.2274
893.2396,1006.6172
786.2158,588.1143
795.7468,511.5541
820.5038,526.2488
837.52,512.6292
822.843,499.3723
805.4766,510.461
797.557,490.4177
818.7019,497.267
803.7688,494.2542
825.33,505.6399
805.4373,501.4518
832.2725,498.2885
802.6927,521.3585
833.8474,487.0588
818.9984,501.5278
824.7159,487.492
804.986,484.9623
824.4503,483.7193
820.3608,495.5471
788.6343,486.2627
807.666,484.5684
805.4348,471.9259
798.1248,483.9044
800.3878,484.2686
800.0452,484.2218
800.6283,479.9055
780.3168,497.8327
794.1515,487.6344
796.884,492.6381
771.7407,489.6814
815.3304,478.3078
826.671,482.7726
804.4058,482.1749
810.9918,498.8186
824.2694,488.2218
810.084,506.9982
805.8066,486.5998
803.4945,491.193
782.0052,501.604
811.0504,464.8936
804.4648,516.6835
785.4257,490.4054
817.0803,481.6336
794.368,477.0905
719.5918,409.3013
566.4361,301.2896
618.3464,323.4777
560.1559,300.881
553.0537,310.164
574.0085,317.1432
539.4131,278.3394
565.3382,291.618
577.989,326.0317
562.5585,288.3748
576.129,292.7096
577.1687,301.4324
564.5229,305.0019
570.9677,300.5166
586.5739,293.6216
580.6421,313.5344
581.8382,313.3362
553.3529,314.0388
764.5975,440.2106
760.3197,442.6384
777.8542,460.8383
750.0323,449.5577
753.4648,453.6141
756.8407,449.615
766.8035,446.7628
776.7135,454.738
747.2889,461.1433
763.2721,439.4062
752.7787,461.3171
745.5583,449.2661
754.8313,457.7894
765.6719,439.4716
782.1449,442.0831
774.3462,435.0506
765.6544,444.2441
770.3007,458.3842
752.8794,458.407
740.3809,478.5536
766.9584,461.9632
771.0118,436.0382
773.1071,476.2103
785.1147,446.5305
782.9723,450.6124
776.5187,445.3944
789.0173,440.1893
778.7527,458.2026
750.8066,435.4864
778.1985,454.3133
772.8086,433.1144
779.1349,459.6503
786.7712,411.3671
759.6543,446.0579
777.8262,425.9812
781.769,439.6949
789.815,449.1685
778.9083,461.9233
791.509,435.473
787.4213,478.5408
789.5914,423.1979
759.4032,431.7264
789.641,446.5765
772.8129,451.4141
773.1423,435.7533
790.1057,449.4446
909.5382,606.4255
853.7773,537.3055
851.5966,587.0912
854.3267,588.6427
863.5555,595.4406
867.3981,597.6669
876.6679,589.9338
870.9733,603.8616
866.2155,584.3379
866.3875,566.3805
856.1333,584.9249
858.1494,591.1866
870.53,586.6288
876.8472,589.9647
876.5264,587.3858
855.8695,577.3036
843.7278,591.8239
667.6773,653.8068
643.8015,691.8383
639.9291,673.0033
629.0703,696.9958
628.774,691.4442
646.3549,675.9918
647.4191,700.3215
628.9304,909.3032
778.424,596.3563
772.9668,596.7365
785.6305,583.9418
775.1753,609.4806
767.3149,593.5177
763.6505,558.0054
769.2994,600.8563
773.9728,578.8053
766.9258,573.8647
783.3855,562.7672
771.2273,551.35
859.8597,508.3189
974.4821,354.2822
1043.6047,346.9129
1064.1831,319.7094
1036.3961,325.1259
1046.9463,323.7216
1043.3619,322.8068
1035.7104,323.6814
1028.6517,316.8916
1045.0389,322.0794
1081.2261,319.7498
1029.0599,339.9418
1054.553,321.3871
1042.0748,326.3435
1043.2656,317.1077
1040.0559,335.1453
988.2404,312.3667
764.6906,497.2651
618.6287,623.5741
614.5527,591.1473
638.2231,607.3336
637.779,630.4108
640.9828,630.5345
617.4572,626.9031
602.295,633.143
617.3152,612.7153
615.8287,610.5651
589.145,622.96
616.6006,609.0659
626.9372,617.6481
696.7222,568.7729
852.175,357.2909
870.127,370.7616
881.9929,345.6821
887.9327,361.0159
879.495,360.2495
885.7222,340.5095
887.8545,364.3466
885.1384,354.4151
872.0607,336.9426
884.4417,335.3688
884.1481,346.1076
894.6157,367.7894
876.6655,332.2869
887.1887,372.965
890.7424,350.0833
884.9398,338.6245
879.5853,324.5641
895.3218,342.7961
894.1686,360.6925
