BlinkType,TimeTracker
NormalBlink,2016-04-28 12:07:10.317
NormalBlink,2016-04-28 12:07:28.947
LongBlink,2016-04-28 12:07:56.916
NormalBlink,2016-04-28 12:08:15.813
NormalBlink,2016-04-28 12:08:17.894
NormalBlink,2016-04-28 12:08:49.044
NormalBlink,2016-04-28 12:08:51.292
NormalBlink,2016-04-28 12:09:01.348
NormalBlink,2016-04-28 12:09:05.211
NormalBlink,2016-04-28 12:09:18.129
NormalBlink,2016-04-28 12:09:18.595
NormalBlink,2016-04-28 12:09:20.893
NormalBlink,2016-04-28 12:09:41.853
NormalBlink,2016-04-28 12:09:45.767
NormalBlink,2016-04-28 12:09:46.964
NormalBlink,2016-04-28 12:10:04.880
NormalBlink,2016-04-28 12:10:17.315
NormalBlink,2016-04-28 12:10:18.132
NormalBlink,2016-04-28 12:10:23.408
LongBlink,2016-04-28 12:10:25.607
NormalBlink,2016-04-28 12:10:31.117
NormalBlink,2016-04-28 12:10:43.604
NormalBlink,2016-04-28 12:10:49.131
NormalBlink,2016-04-28 12:10:56.123
NormalBlink,2016-04-28 12:10:57.074
LongBlink,2016-04-28 12:10:59.152
NormalBlink,2016-04-28 12:11:01.834
NormalBlink,2016-04-28 12:11:26.807
