BlinkType,TimeTracker
LongBlink,2016-04-28 12:32:40.825
NormalBlink,2016-04-28 12:32:49.396
NormalBlink,2016-04-28 12:32:49.981
NormalBlink,2016-04-28 12:32:50.861
NormalBlink,2016-04-28 12:32:54.724
NormalBlink,2016-04-28 12:32:56.222
NormalBlink,2016-04-28 12:33:00.933
NormalBlink,2016-04-28 12:33:04.596
NormalBlink,2016-04-28 12:33:10.939
NormalBlink,2016-04-28 12:33:11.571
NormalBlink,2016-04-28 12:33:23.560
NormalBlink,2016-04-28 12:33:25.540
LongBlink,2016-04-28 12:33:50.597
NormalBlink,2016-04-28 12:33:52.265
LongBlink,2016-04-28 12:33:53.310
NormalBlink,2016-04-28 12:33:54.342
NormalBlink,2016-04-28 12:33:55.108
NormalBlink,2016-04-28 12:33:55.427
NormalBlink,2016-04-28 12:33:56.358
LongBlink,2016-04-28 12:34:03.432
NormalBlink,2016-04-28 12:34:04.082
NormalBlink,2016-04-28 12:34:04.431
NormalBlink,2016-04-28 12:34:04.732
NormalBlink,2016-04-28 12:34:04.981
NormalBlink,2016-04-28 12:34:05.248
NormalBlink,2016-04-28 12:34:13.771
NormalBlink,2016-04-28 12:34:15.387
NormalBlink,2016-04-28 12:34:38.328
LongBlink,2016-04-28 12:34:40.809
NormalBlink,2016-04-28 12:34:41.425
NormalBlink,2016-04-28 12:34:50.715
NormalBlink,2016-04-28 12:34:59.389
NormalBlink,2016-04-28 12:35:00.971
LongBlink,2016-04-28 12:35:09.646
NormalBlink,2016-04-28 12:35:10.393
NormalBlink,2016-04-28 12:35:10.760
NormalBlink,2016-04-28 12:35:11.076
NormalBlink,2016-04-28 12:35:11.559
LongBlink,2016-04-28 12:35:14.856
NormalBlink,2016-04-28 12:35:24.994
NormalBlink,2016-04-28 12:35:31.754
NormalBlink,2016-04-28 12:35:33.188
LongBlink,2016-04-28 12:35:44.790
NormalBlink,2016-04-28 12:35:45.056
LongBlink,2016-04-28 12:35:54.130
NormalBlink,2016-04-28 12:35:54.448
NormalBlink,2016-04-28 12:35:58.825
NormalBlink,2016-04-28 12:36:01.422
NormalBlink,2016-04-28 12:36:05.217
NormalBlink,2016-04-28 12:36:14.309
NormalBlink,2016-04-28 12:36:17.489
NormalBlink,2016-04-28 12:36:21.982
NormalBlink,2016-04-28 12:36:22.316
NormalBlink,2016-04-28 12:36:23.031
NormalBlink,2016-04-28 12:36:25.929
LongBlink,2016-04-28 12:36:28.160
LongBlink,2016-04-28 12:36:29.042
NormalBlink,2016-04-28 12:36:29.960
LongBlink,2016-04-28 12:36:30.857
LongBlink,2016-04-28 12:36:31.506
NormalBlink,2016-04-28 12:36:31.839
NormalBlink,2016-04-28 12:36:32.238
NormalBlink,2016-04-28 12:36:33.587
NormalBlink,2016-04-28 12:36:33.971
LongBlink,2016-04-28 12:36:35.967
NormalBlink,2016-04-28 12:36:36.172
LongBlink,2016-04-28 12:36:36.901
NormalBlink,2016-04-28 12:36:38.215
NormalBlink,2016-04-28 12:36:39.114
NormalBlink,2016-04-28 12:36:39.447
NormalBlink,2016-04-28 12:36:41.528
LongBlink,2016-04-28 12:36:42.212
NormalBlink,2016-04-28 12:36:49.670
NormalBlink,2016-04-28 12:36:51.684
NormalBlink,2016-04-28 12:36:58.077
NormalBlink,2016-04-28 12:36:58.693
NormalBlink,2016-04-28 12:36:59.026
NormalBlink,2016-04-28 12:36:59.330
NormalBlink,2016-04-28 12:36:59.810
NormalBlink,2016-04-28 12:37:00.675
NormalBlink,2016-04-28 12:37:00.974
NormalBlink,2016-04-28 12:37:01.425
NormalBlink,2016-04-28 12:37:02.573
