BlinkType,TimeTracker
NormalBlink,2016-04-28 12:21:42.367
NormalBlink,2016-04-28 12:21:43.232
NormalBlink,2016-04-28 12:21:48.276
NormalBlink,2016-04-28 12:21:53.205
NormalBlink,2016-04-28 12:21:55.639
NormalBlink,2016-04-28 12:21:56.835
NormalBlink,2016-04-28 12:21:59.265
LongBlink,2016-04-28 12:22:03.327
NormalBlink,2016-04-28 12:22:06.191
NormalBlink,2016-04-28 12:22:07.940
NormalBlink,2016-04-28 12:22:15.181
NormalBlink,2016-04-28 12:22:21.274
LongBlink,2016-04-28 12:22:26.020
NormalBlink,2016-04-28 12:22:28.017
NormalBlink,2016-04-28 12:22:28.255
NormalBlink,2016-04-28 12:22:29.250
NormalBlink,2016-04-28 12:23:03.446
NormalBlink,2016-04-28 12:23:18.067
NormalBlink,2016-04-28 12:23:21.709
NormalBlink,2016-04-28 12:23:22.159
NormalBlink,2016-04-28 12:23:22.675
NormalBlink,2016-04-28 12:23:23.124
NormalBlink,2016-04-28 12:23:27.569
NormalBlink,2016-04-28 12:23:27.919
NormalBlink,2016-04-28 12:23:31.333
NormalBlink,2016-04-28 12:23:31.998
NormalBlink,2016-04-28 12:23:32.447
NormalBlink,2016-04-28 12:23:34.012
NormalBlink,2016-04-28 12:23:34.911
NormalBlink,2016-04-28 12:23:40.206
NormalBlink,2016-04-28 12:23:41.188
LongBlink,2016-04-28 12:23:42.187
LongBlink,2016-04-28 12:23:43.319
NormalBlink,2016-04-28 12:23:43.602
NormalBlink,2016-04-28 12:23:49.413
NormalBlink,2016-04-28 12:23:50.395
NormalBlink,2016-04-28 12:23:51.060
LongBlink,2016-04-28 12:23:58.353
NormalBlink,2016-04-28 12:23:58.886
LongBlink,2016-04-28 12:23:59.835
NormalBlink,2016-04-28 12:24:00.750
NormalBlink,2016-04-28 12:24:01.000
NormalBlink,2016-04-28 12:24:01.366
NormalBlink,2016-04-28 12:24:02.449
LongBlink,2016-04-28 12:24:05.199
NormalBlink,2016-04-28 12:24:12.073
NormalBlink,2016-04-28 12:24:22.177
NormalBlink,2016-04-28 12:24:34.281
NormalBlink,2016-04-28 12:24:38.244
NormalBlink,2016-04-28 12:24:38.659
NormalBlink,2016-04-28 12:24:45.403
NormalBlink,2016-04-28 12:24:46.469
NormalBlink,2016-04-28 12:24:56.989
NormalBlink,2016-04-28 12:24:57.523
NormalBlink,2016-04-28 12:25:23.611
NormalBlink,2016-04-28 12:25:26.857
NormalBlink,2016-04-28 12:25:49.283
NormalBlink,2016-04-28 12:25:54.311
LongBlink,2016-04-28 12:26:04.050
LongBlink,2016-04-28 12:26:05.765
NormalBlink,2016-04-28 12:26:06.980
NormalBlink,2016-04-28 12:26:09.444
LongBlink,2016-04-28 12:26:12.208
NormalBlink,2016-04-28 12:26:13.308
NormalBlink,2016-04-28 12:26:18.519
NormalBlink,2016-04-28 12:26:18.668
LongBlink,2016-04-28 12:26:21.881
NormalBlink,2016-04-28 12:26:27.491
NormalBlink,2016-04-28 12:26:30.073
NormalBlink,2016-04-28 12:26:30.189
LongBlink,2016-04-28 12:26:32.986
NormalBlink,2016-04-28 12:26:33.369
LongBlink,2016-04-28 12:26:34.168
NormalBlink,2016-04-28 12:26:36.449
NormalBlink,2016-04-28 12:26:36.865
LongBlink,2016-04-28 12:26:40.228
NormalBlink,2016-04-28 12:26:42.159
NormalBlink,2016-04-28 12:26:42.347
NormalBlink,2016-04-28 12:26:43.462
NormalBlink,2016-04-28 12:26:44.092
LongBlink,2016-04-28 12:26:47.955
LongBlink,2016-04-28 12:26:49.568
NormalBlink,2016-04-28 12:26:50.168
NormalBlink,2016-04-28 12:26:52.964
LongBlink,2016-04-28 12:27:01.155
NormalBlink,2016-04-28 12:27:01.625
NormalBlink,2016-04-28 12:27:15.124
NormalBlink,2016-04-28 12:27:21.033
NormalBlink,2016-04-28 12:27:21.533
NormalBlink,2016-04-28 12:27:22.032
NormalBlink,2016-04-28 12:27:22.500
NormalBlink,2016-04-28 12:27:22.583
NormalBlink,2016-04-28 12:27:22.932
NormalBlink,2016-04-28 12:27:30.257
NormalBlink,2016-04-28 12:27:37.466
NormalBlink,2016-04-28 12:27:43.910
LongBlink,2016-04-28 12:27:44.759
LongBlink,2016-04-28 12:27:46.142
LongBlink,2016-04-28 12:28:04.504
LongBlink,2016-04-28 12:28:05.353
NormalBlink,2016-04-28 12:28:05.619
NormalBlink,2016-04-28 12:28:06.435
NormalBlink,2016-04-28 12:28:06.601
NormalBlink,2016-04-28 12:28:07.134
NormalBlink,2016-04-28 12:28:13.327
NormalBlink,2016-04-28 12:28:17.273
NormalBlink,2016-04-28 12:28:19.155
NormalBlink,2016-04-28 12:28:34.655
NormalBlink,2016-04-28 12:28:37.618
NormalBlink,2016-04-28 12:28:39.250
NormalBlink,2016-04-28 12:29:01.545
NormalBlink,2016-04-28 12:29:02.141
NormalBlink,2016-04-28 12:29:02.507
NormalBlink,2016-04-28 12:29:02.690
NormalBlink,2016-04-28 12:29:03.456
NormalBlink,2016-04-28 12:29:03.689
NormalBlink,2016-04-28 12:29:05.071
NormalBlink,2016-04-28 12:29:07.470
NormalBlink,2016-04-28 12:29:09.584
NormalBlink,2016-04-28 12:29:10.633
LongBlink,2016-04-28 12:29:13.363
NormalBlink,2016-04-28 12:29:13.912
LongBlink,2016-04-28 12:29:15.760
NormalBlink,2016-04-28 12:29:16.459
LongBlink,2016-04-28 12:29:18.856
NormalBlink,2016-04-28 12:29:21.487
NormalBlink,2016-04-28 12:29:24.835
NormalBlink,2016-04-28 12:29:25.883
NormalBlink,2016-04-28 12:29:33.458
NormalBlink,2016-04-28 12:29:34.258
NormalBlink,2016-04-28 12:29:48.358
NormalBlink,2016-04-28 12:29:54.068
NormalBlink,2016-04-28 12:29:54.585
NormalBlink,2016-04-28 12:29:54.968
LongBlink,2016-04-28 12:29:58.014
NormalBlink,2016-04-28 12:30:02.576
NormalBlink,2016-04-28 12:30:24.869
NormalBlink,2016-04-28 12:30:25.285
NormalBlink,2016-04-28 12:30:37.921
NormalBlink,2016-04-28 12:30:47.344
NormalBlink,2016-04-28 12:30:56.451
NormalBlink,2016-04-28 12:30:56.920
NormalBlink,2016-04-28 12:30:57.850
NormalBlink,2016-04-28 12:30:58.599
NormalBlink,2016-04-28 12:30:58.782
NormalBlink,2016-04-28 12:31:02.012
LongBlink,2016-04-28 12:31:03.028
NormalBlink,2016-04-28 12:31:11.752
NormalBlink,2016-04-28 12:31:28.767
NormalBlink,2016-04-28 12:31:32.829
NormalBlink,2016-04-28 12:31:33.695
NormalBlink,2016-04-28 12:31:36.641
LongBlink,2016-04-28 12:31:41.802
NormalBlink,2016-04-28 12:31:42.485
LongBlink,2016-04-28 12:31:43.200
NormalBlink,2016-04-28 12:31:44.900
NormalBlink,2016-04-28 12:31:45.100
NormalBlink,2016-04-28 12:31:45.515
LongBlink,2016-04-28 12:31:47.496
LongBlink,2016-04-28 12:31:49.211
NormalBlink,2016-04-28 12:31:49.494
NormalBlink,2016-04-28 12:31:49.711
NormalBlink,2016-04-28 12:31:51.043
LongBlink,2016-04-28 12:31:51.692
LongBlink,2016-04-28 12:31:53.506
LongBlink,2016-04-28 12:31:56.786
LongBlink,2016-04-28 12:31:57.968
NormalBlink,2016-04-28 12:31:58.652
NormalBlink,2016-04-28 12:32:11.420
LongBlink,2016-04-28 12:32:16.132
NormalBlink,2016-04-28 12:32:18.313
NormalBlink,2016-04-28 12:32:18.762
NormalBlink,2016-04-28 12:32:19.245
NormalBlink,2016-04-28 12:32:23.125
