CRX,CRY
851.2548,679.9256
855.8649,689.3208
845.5919,693.8033
859.1392,675.7623
854.6851,686.8105
859.1949,684.4141
846.0559,691.4026
847.1851,683.7986
838.6793,696.6976
844.3673,687.5218
846.1286,701.5295
845.4589,691.4943
852.4574,687.1475
851.0087,690.2515
840.4343,697.2123
857.1107,689.4969
856.1653,698.2693
850.1355,703.7044
834.4453,698.7148
854.6185,691.5546
843.0141,702.8591
851.3517,698.7355
856.1149,694.9976
851.0893,703.7178
847.9644,697.3896
854.1925,698.4962
834.5095,693.4858
853.6876,683.3265
853.4949,695.2507
862.7709,688.0039
857.9987,678.8259
863.3831,679.1731
861.0609,693.0026
858.5732,685.9753
854.3427,693.9276
854.8209,684.766
867.8407,685.499
849.8466,688.0726
854.0763,691.2463
844.2998,691.0285
861.6429,692.7595
855.9827,694.2565
853.8654,687.5262
850.8346,682.9891
846.8168,689.0654
849.0315,710.1449
857.7783,771.8257
854.4125,748.186
880.9894,731.251
1115.9329,720.5476
1323.1433,726.5773
1517.2411,841.3149
1081.5665,684.6895
1061.5778,681.1232
1043.2571,741.9675
1052.2981,731.502
1057.7355,740.0319
1057.5957,737.4047
1045.1904,744.2491
1037.5852,747.3309
1042.8387,745.1451
1043.6284,737.2398
1046.3822,746.2565
1039.4229,747.6636
1046.6992,757.8874
1052.5587,746.9119
1289.7816,870.6055
1121.8345,776.4662
1273.6072,853.3177
1276.9692,857.9723
1285.8418,882.1666
1266.0365,871.4025
1273.3066,872.4383
1273.3749,897.5977
1271.6223,873.9554
1274.228,889.3986
1280.9573,885.0311
1265.2725,878.3741
1270.1305,885.1536
1272.3652,893.4488
1264.696,881.3711
1276.9941,902.4272
1271.9165,873.8701
1272.3228,876.7776
1278.7467,898.3298
1279.2371,875.4904
1258.9436,883.8495
1289.4559,822.6762
1269.3894,882.6986
828.7782,677.356
830.2319,666.6133
844.1401,667.2014
833.9601,665.1492
831.4401,676.7356
843.6934,668.4485
849.8577,668.0864
848.2531,665.7928
858.8322,667.8439
857.286,697.3029
29.1064,-4066.0559
780.1529,636.2032
807.4746,633.8304
809.2244,627.0323
640.7911,560.4021
377.6299,632.7142
380.5684,652.0284
377.7116,650.8739
382.742,656.7935
376.6863,662.3192
375.1923,658.3699
376.8733,669.9637
374.7789,682.8617
376.9849,667.1552
384.0398,671.679
380.6591,662.5077
382.9336,681.4325
394.4943,652.2734
387.4097,675.1248
377.0885,677.4497
376.4397,674.9115
376.0409,666.5425
254.6796,771.274
481.9538,336.9232
477.3567,321.0554
508.2443,328.7096
487.3199,328.5807
514.3014,358.089
503.3734,314.8889
500.1361,319.5541
498.1435,376.6667
512.7592,362.5674
511.4664,333.8287
508.1695,288.943
448.1719,363.9601
504.3536,314.3738
495.7301,345.3574
448.9771,445.7665
-616.2808,184.1443
-617.1083,123.1775
-596.3607,77.1909
-612.8087,65.6811
284.7454,666.8059
287.7386,684.5859
205.0522,629.498
295.2177,679.2902
297.2841,667.2063
293.4373,677.2884
283.5208,671.1968
292.1841,676.3655
281.8,651.8912
295.236,678.986
300.7197,670.8889
293.1025,667.7001
402.9284,695.1038
518.6723,663.7553
550.5426,684.0086
561.2183,681.1886
561.6801,674.5317
547.8231,699.1227
555.5134,694.7365
549.5195,694.8276
548.6504,699.7656
552.3528,699.6848
551.1052,689.9406
555.2026,713.5664
562.0079,711.8051
563.1958,644.0313
570.5672,677.285
570.6465,683.2344
575.4272,694.3556
570.3344,690.9533
576.9937,694.5084
460.4879,745.508
411.6944,786.3307
411.8431,787.1775
420.0054,786.0485
415.4618,780.8234
410.8102,786.0696
403.8428,784.3062
415.2793,793.5325
417.0092,788.0773
410.0435,786.3074
407.7988,793.2029
401.9465,819.3447
399.0689,708.4538
417.1749,717.1666
394.2628,733.6377
399.4176,731.4976
398.8984,723.2966
548.5867,675.2834
661.1511,627.7878
662.1479,638.279
669.6199,637.6823
674.1445,647.0016
670.9261,648.3802
675.8442,643.424
674.4952,644.5353
673.3243,644.9561
673.6454,643.889
1835.2371,898.7786
1391.3372,510.0135
1264.4846,536.3915
1299.9207,539.459
1275.6211,542.4686
1283.8467,539.3072
1285.9663,546.2793
1276.8489,547.3509
1280.0747,546.0547
1280.5603,550.2745
1273.8223,543.8914
1274.8502,549.5189
1275.9849,549.8892
1271.8306,553.8268
1107.5248,581.7898
1014.9852,571.5757
1033.9136,584.2801
1037.4421,581.2238
1038.6787,585.6173
1037.5146,584.8896
1029.4353,586.2092
1038.2446,585.9875
1037.2518,587.2277
1043.2893,584.0592
1038.1351,587.2813
1030.494,589.8965
1033.3127,586.3307
1033.1473,590.9745
1038.4999,583.1956
940.0038,613.3834
964.1962,607.014
957.2126,608.3681
955.6133,609.1924
959.3993,615.3779
958.1699,615.6949
957.8352,618.7699
958.0987,611.3008
954.1072,616.0319
995.507,753.617
985.4134,660.1653
928.9226,562.1123
927.9315,576.3939
928.5244,569.2751
923.7014,587.1957
927.0066,571.0785
928.7986,585.2758
920.4125,575.1052
923.9246,595.7102
928.0181,591.6719
933.0056,597.2092
827.1719,633.5861
782.8334,691.804
776.9774,678.3747
776.4942,692.6126
766.532,688.2506
776.9146,685.5459
778.8533,700.3426
777.1044,688.2867
776.0923,689.6683
764.2062,682.2764
773.3114,691.1301
635.675,748.4922
491.6691,792.779
529.322,787.3242
517.109,797.8844
507.2697,791.8179
499.7534,800.2957
501.3238,792.309
497.8085,798.4432
498.1921,797.5316
501.0296,798.4703
497.1183,804.1935
490.4744,802.3511
489.4022,807.1707
492.4448,808.494
485.253,812.3778
385.8232,834.8418
396.2128,834.6089
389.5631,837.589
381.2308,835.2133
386.9913,831.8187
378.3723,835.069
383.991,835.7405
392.5856,834.2449
393.0656,834.5899
396.2083,838.0927
392.7557,832.1757
399.0642,833.8738
419.1287,830.7369
402.5333,835.5488
411.2586,834.4548
421.1674,838.0346
420.4115,833.4811
424.9674,835.1094
429.6613,835.1694
445.0629,831.256
436.6093,831.6906
447.7847,833.9696
447.7777,830.2485
460.175,831.6259
453.7516,828.9825
475.41,824.7346
478.8975,830.0143
479.3066,824.0093
494.3292,818.0606
503.5861,815.0891
505.3168,810.1996
504.9341,811.7222
531.3738,805.1006
525.9349,799.2413
527.9169,797.1389
552.0881,816.1821
609.95,893.1365
586.156,761.3011
604.5898,739.4675
622.0721,728.8933
624.0184,720.9824
617.256,710.7086
626.1605,695.5298
627.0778,710.9838
639.6948,693.8365
635.0756,702.4001
654.5097,693.4784
642.9757,703.0309
645.0825,690.416
643.9534,692.8809
653.4497,689.9199
638.4215,695.6565
649.8733,694.4786
660.3202,700.5921
651.4789,683.6078
657.0905,693.7142
657.6184,692.3441
655.4982,687.7656
653.4052,699.8458
708.9158,710.7831
698.1561,717.4071
701.8324,716.2357
691.466,714.2454
698.1361,719.0728
712.0942,718.451
712.2475,707.916
701.7548,721.5466
708.0316,710.8165
706.3337,717.1982
692.0352,682.1818
648.8693,622.6111
662.8719,628.4614
660.1092,632.7972
661.2335,639.0034
670.3055,647.5121
664.2107,638.8527
669.4236,643.8372
669.2189,642.0125
662.4216,639.6484
660.8784,643.2121
663.1228,645.8776
664.2432,645.1599
693.5343,656.9695
686.7301,655.7725
660.405,659.6666
645.7217,662.6398
661.6367,662.1829
660.387,664.3729
649.843,670.6584
663.0011,674.0237
667.8303,676.192
659.072,682.7729
657.7125,684.5051
661.3413,672.77
661.4069,680.2177
672.7611,677.7761
673.1317,682.6912
668.1608,671.5236
661.547,686.1185
673.1763,695.403
673.0781,703.512
669.2882,707.9835
674.9362,700.3727
662.2767,708.8198
671.0878,705.3702
669.0054,720.6561
672.5831,717.4907
679.1718,758.4586
682.1094,787.1086
680.415,790.693
685.2278,795.8694
685.9734,790.4135
680.2703,798.007
698.2397,789.0816
692.4825,796.9116
692.7014,792.6223
696.0923,792.937
870.3497,747.0968
681.7018,796.4828
686.106,796.8754
690.3757,794.5189
688.6296,789.5736
688.2257,788.5399
686.8749,787.0665
693.0626,789.1109
690.9515,787.4375
693.8746,787.1046
684.9894,792.3766
883.7418,739.5109
685.0995,794.6195
688.7141,793.6553
682.9178,790.5519
688.8565,789.7147
695.4947,786.8018
715.7059,814.4438
834.1927,861.3273
834.9415,877.8772
832.7399,871.4473
835.4836,870.9608
835.125,876.2766
846.8028,875.9109
831.6412,873.847
832.9292,874.8162
838.9802,875.8353
836.3441,874.7604
850.6964,877.653
912.2501,900.8207
897.0018,900.8596
932.1036,908.4695
901.9561,896.058
906.6497,903.6715
901.2817,902.5726
909.5359,903.3893
904.5952,906.3256
909.538,905.3469
900.8279,902.8669
891.1564,904.0228
929.7646,911.4295
908.3746,906.879
915.7095,912.4289
906.5242,905.1624
891.7577,902.6877
903.4412,897.9135
895.9962,899.1548
803.0318,877.0555
737.1655,864.8339
753.5051,869.1438
752.1761,871.8486
754.2809,865.1782
751.7095,867.5131
742.9158,867.2041
747.0581,865.8948
754.282,860.9742
748.9182,864.2419
745.8588,866.8472
743.4814,861.2692
712.2936,746.7243
724.249,674.6603
720.4617,649.8654
724.2562,633.5679
730.462,627.4089
735.6093,623.6464
718.5563,637.2315
719.6837,636.3594
710.4552,649.4945
721.8975,640.2204
714.2712,641.7244
712.8319,639.0831
720.8965,637.6842
722.7787,643.199
718.3869,641.3997
718.1537,645.4348
718.7634,644.2867
715.5901,636.9496
723.6224,651.3069
720.1868,645.3459
718.0001,643.9083
722.9355,646.2482
718.3704,640.9169
715.0703,643.0389
718.7112,636.6738
721.7363,646.4132
726.2275,655.9358
718.4548,644.9578
717.1945,656.9175
611.1746,706.3284
586.4033,730.1093
591.2355,724.4143
590.1102,731.251
583.8273,717.7921
574.701,721.6532
598.01,724.0946
593.7927,725.7244
589.6555,727.8625
584.3143,722.0262
581.3954,723.5944
626.8135,723.2144
579.7256,714.4644
587.4623,720.4894
571.2588,720.114
596.124,724.1424
584.1486,724.3419
594.6754,724.369
592.9514,720.8993
626.1083,657.0551
595.5353,733.1833
649.8513,599.7032
655.2852,590.1069
664.3779,597.9333
652.023,580.0057
679.5063,625.2684
669.6492,594.1501
655.705,595.4377
681.9077,608.0758
683.1033,592.8221
683.0577,604.8861
670.4515,597.457
680.8786,593.0838
682.6866,607.1252
681.331,602.6926
690.3304,608.6149
688.5954,585.7253
700.3965,592.2001
703.4099,600.3098
708.35,615.818
706.8295,611.5051
709.3163,609.8348
719.6456,604.9874
714.7167,624.7749
720.897,617.2542
719.5663,594.8132
736.061,623.7722
730.0513,626.3843
736.0507,628.6166
721.5507,617.9792
745.8002,650.0776
670.3223,759.0231
665.6976,698.4286
674.6166,690.9719
668.1688,697.8297
664.483,695.2136
682.8673,686.8306
684.9761,672.9166
675.0304,679.4534
696.6077,681.641
899.4744,720.1347
1049.3164,702.4575
1037.2566,708.9659
1059.4764,704.7894
1045.1125,712.6417
1042.6561,718.7451
1040.1826,701.2413
1045.098,713.7864
1037.6895,712.2241
1046.3674,708.0052
1032.8829,713.5584
1029.0549,712.4026
1025.9857,716.0691
1034.9688,715.9393
1022.6753,713.9362
1017.2608,707.1155
1008.4108,718.8947
1001.6861,715.0206
1002.5706,717.3479
1000.6559,720.2241
1005.1625,713.4213
995.8395,724.8472
988.5525,712.6207
980.7439,719.2546
982.8519,716.3673
987.9761,725.2502
970.4672,718.9338
897.3062,645.0308
865.947,633.4
864.3236,635.2428
857.5175,633.5975
849.937,639.4736
847.2777,631.8176
843.6161,632.7357
837.6931,625.0645
825.396,628.6285
835.7789,641.8331
827.9733,642.386
832.1709,634.1104
815.6107,611.2609
828.7585,636.0757
825.8516,628.1733
805.4741,593.8202
803.7728,621.6819
804.6595,616.3469
800.2123,602.9981
794.6495,589.0676
797.187,615.7247
796.6753,621.1404
793.6581,597.6212
790.8265,608.5071
789.2296,617.798
794.5247,630.2501
791.9528,603.5029
783.139,632.5149
789.6267,646.5055
770.788,612.5366
775.5444,629.6777
773.8171,627.8682
787.5616,649.9177
787.1304,656.2926
780.1118,650.9557
785.3265,652.6239
786.6807,657.6862
781.73,661.7725
784.6683,663.7946
782.1906,662.7415
789.046,665.5765
789.2603,674.5292
787.1669,682.4266
803.9921,675.7926
785.6479,687.8146
785.6825,687.5857
783.0573,691.7365
787.3904,689.2573
778.058,693.4217
790.4823,698.0723
788.698,697.8358
786.0203,686.3584
773.5112,699.7937
789.7603,699.1121
776.6945,697.4384
779.258,701.3229
755.1025,706.0653
784.697,695.8395
793.6798,693.9976
779.4117,695.4368
774.7356,702.0706
781.2971,699.839
782.4802,710.1001
781.0344,699.8599
776.0013,696.7317
772.9657,706.7822
769.5554,701.2836
778.5127,698.3696
783.0625,689.3134
781.046,690.6896
779.3042,689.705
777.8103,697.1066
770.1785,679.6223
771.7549,679.4915
784.8518,670.8492
774.9148,668.3102
780.1744,663.4144
771.7756,662.9762
784.2823,665.3371
764.5723,653.6352
767.958,655.071
773.113,652.0229
765.6788,646.3579
763.2468,644.2299
760.5019,648.7927
772.8668,641.7399
756.3428,641.0339
765.8599,634.4294
763.7081,638.7251
770.9918,626.7046
760.0525,640.775
757.7201,632.7897
765.5623,632.718
766.7754,635.479
767.5851,628.7999
768.8669,626.5244
768.7157,623.8809
774.3213,633.0623
759.2074,623.9292
765.9795,625.8417
769.0406,632.077
762.9728,619.275
770.7986,627.7463
772.3006,620.8163
766.5245,612.8427
773.2391,622.9841
770.4814,624.4698
761.3595,621.199
767.4865,615.7302
768.9511,630.2737
770.3303,633.2908
763.8157,616.725
773.1752,632.9621
768.5143,637.0838
767.9304,633.2931
773.2722,636.6528
768.178,638.7347
761.6252,642.2834
771.3743,642.3243
777.3723,640.4685
767.2957,649.1821
741.1427,649.7594
762.5505,652.3115
761.8011,650.2491
756.5833,652.6157
766.203,654.6833
777.9362,661.1238
769.6044,660.1968
764.4783,654.8147
582.8983,655.741
770.8496,654.9291
768.5485,659.8293
763.4435,662.9792
768.1194,674.5057
758.6439,663.1642
763.598,671.8427
771.7474,663.3286
765.6509,669.6763
771.5173,671.7844
774.9586,666.2015
769.9961,674.9984
761.9464,677.3362
766.9228,675.3081
757.5375,671.0276
768.6349,671.1305
776.2738,665.8027
769.3927,666.0647
766.5753,668.3738
773.6205,671.5753
759.733,669.4728
760.1859,675.6572
766.095,676.6226
766.0129,682.8225
758.684,678.8727
769.1935,679.7438
766.6001,680.1694
762.1268,672.0812
806.1289,761.2955
852.4865,855.0514
864.4072,894.9935
872.8771,894.1229
865.1805,895.8779
864.1123,888.8123
860.1896,892.968
881.485,893.6223
874.5599,896.356
880.5753,891.8796
874.1732,894.6383
873.2775,895.2889
867.9413,890.3816
874.4027,890.6008
874.3248,884.7402
879.4025,888.4047
856.149,893.6418
842.67,888.9261
840.7312,889.2863
850.5169,887.1017
851.2216,890.3757
1027.9453,988.0862
855.3053,890.0496
835.9331,883.9254
840.9814,882.7693
837.1586,887.4061
834.2415,883.7814
844.098,887.6292
850.2047,889.0038
926.892,906.2306
927.6458,907.6359
919.6514,903.396
924.1737,903.3015
928.9783,908.8679
911.707,903.2955
917.829,902.6439
927.1151,910.0446
920.8342,902.4282
913.1833,902.412
906.8264,837.1362
877.5496,735.2252
860.024,719.9285
866.3737,728.8115
860.5133,718.2172
864.3926,722.481
866.7022,722.8228
852.9618,721.1595
853.4549,725.1971
853.0598,717.0396
853.5983,720.9285
857.0471,719.6516
849.1871,725.8733
851.1613,720.175
852.4858,722.3236
840.6505,720.7244
848.3358,721.7147
843.7979,717.8128
860.2101,716.1506
839.8734,711.8221
830.6478,715.6224
829.5423,710.6908
838.0182,719.6704
825.6406,701.6987
822.9344,710.7331
821.9092,708.9198
807.105,712.4942
975.9873,773.4301
1002.9277,817.3859
988.2415,801.3018
980.7803,811.0308
988.5564,807.9019
985.3516,800.2199
981.5103,796.1505
982.8391,797.3254
974.8766,791.0422
958.1919,796.4955
947.683,779.775
961.9933,780.1653
1034.6177,960.4832
862.7815,780.4852
860.1091,817.3954
858.9675,740.2544
850.2079,724.5486
865.0671,718.0896
851.1694,717.3101
859.8825,710.646
871.3329,704.374
859.6453,709.2416
860.9449,707.2969
860.2138,703.6266
