CRX,CRY
752.9265,160.3262
759.2626,152.6231
755.5837,138.7853
763.4075,124.7214
784.2194,206.8699
758.4967,166.4405
773.9915,170.3186
760.566,164.7065
755.3082,195.4563
756.36,176.5104
631.4958,202.3434
511.4938,90.1088
508.9532,110.6462
502.4042,169.6427
513.0333,147.9585
475.4232,153.7452
497.4448,170.9157
501.0536,146.0182
502.3765,153.8163
492.2233,85.2001
501.3689,145.8328
505.7096,172.0726
504.104,174.4654
512.2322,169.0852
508.7696,156.697
492.1278,528.6938
735.784,592.1245
741.3071,594.4247
752.5632,593.813
752.2258,603.8367
750.4676,592.1192
728.7552,595.0177
750.8224,603.6158
749.2513,594.4897
759.1725,606.114
767.5907,606.1436
757.2853,585.8226
757.2585,573.4348
753.4429,585.9383
745.9548,571.3312
739.5361,567.7959
740.0406,572.8893
745.2935,580.005
756.946,576.2319
732.785,581.0616
754.1816,606.5105
738.4865,534.819
746.847,199.6532
732.7556,-46.1687
733.5969,-42.3836
725.4749,-50.4193
731.9859,-103.1508
727.62,-84.5027
749.2184,-56.4918
739.61,-85.695
758.0825,-88.1639
757.4211,-60.0443
767.152,2.3631
758.3002,-80.0121
761.8049,2.5513
767.3755,19.9073
595.118,-130.1568
591.561,-159.2585
580.1887,-186.6549
595.431,12.7184
589.1436,-190.5776
595.011,-157.383
595.7378,-174.1401
591.927,18.71
576.4269,-159.317
587.9835,-184.7714
577.5961,-185.2397
595.8389,-178.8535
604.6183,-163.0165
579.5785,-253.4813
666.6796,-68.4024
679.1414,-72.1655
675.5027,-86.0355
687.4706,-90.1808
682.3861,-27.1655
673.299,-99.4715
677.1368,11.1099
663.2501,-37.6029
764.6464,116.4012
771.552,163.2466
754.359,54.6035
748.6278,77.9093
757.7943,77.3704
771.2373,151.9216
758.5399,50.4375
755.807,73.2823
813.1588,155.7132
812.4969,154.3944
817.0955,117.6077
822.592,154.2928
807.559,122.1179
822.5293,155.8078
812.6133,141.5843
829.7679,154.6308
835.2684,188.0457
866.0779,203.6517
854.5435,183.47
867.3671,219.3926
856.6525,207.8687
849.5707,233.5471
846.9098,246.6808
861.186,302.7502
865.9877,241.4226
865.8699,288.8615
945.1149,351.4915
941.0341,342.4736
935.1877,330.6656
929.9224,354.4689
943.1071,358.3696
940.3143,356.8588
946.5377,356.3974
937.2067,339.7166
937.1167,359.3494
938.7957,349.5989
878.1333,258.7604
660.8911,-66.7737
583.1755,-96.1434
568.0831,-73.8777
569.2236,-75.8517
586.5564,-69.784
613.6977,41.6766
573.8991,9.3051
566.2983,-83.132
564.36,-50.9347
580.3641,-39.9824
584.7838,-67.6847
574.8046,-64.8732
594.1321,-104.0191
581.5238,-93.4634
641.0936,-13.5043
702.8396,6.1354
874.8228,401.5366
682.741,-4.9337
692.6349,48.3889
675.705,28.5496
874.5161,416.9457
676.3939,9.4578
508.1931,29.9265
693.9062,51.2832
659.6544,-1.0458
766.0079,150.5448
828.1453,196.2421
820.6364,229.3415
814.3803,255.9352
813.7689,186.2801
807.1334,213.538
831.0305,225.0122
847.6627,280.7054
814.1324,196.6526
796.1395,221.2132
810.1606,199.423
818.5103,214.6761
907.7215,302.6699
947.0915,365.6166
943.4332,343.1817
936.4196,340.0977
955.3051,356.7156
950.5677,359.2838
949.5966,359.2119
947.665,360.0388
941.7087,362.7892
951.6382,336.2551
961.9631,367.9576
926.215,351.8063
944.4994,356.1632
978.3221,428.5597
971.914,415.4434
994.9031,435.0607
985.5478,402.1774
987.3214,416.287
991.3243,420.0724
984.4618,418.5281
965.4672,377.2735
936.0793,353.1501
718.1151,125.8708
590.0107,-3.28
595.4001,62.8438
