BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-15 10:25:35.820,6.332064
NormalBlink,2016-04-15 10:25:52.686,23.20543
NormalBlink,2016-04-15 10:25:55.599,26.12243
NormalBlink,2016-04-15 10:25:56.331,26.85656
NormalBlink,2016-04-15 10:25:56.781,27.29409
NormalBlink,2016-04-15 10:25:58.379,28.90095
NormalBlink,2016-04-15 10:25:58.829,29.33942
NormalBlink,2016-04-15 10:25:59.350,29.85368
NormalBlink,2016-04-15 10:25:59.544,30.07074
NormalBlink,2016-04-15 10:26:00.510,31.03732
NormalBlink,2016-04-15 10:26:01.043,31.56393
NormalBlink,2016-04-15 10:26:01.709,32.22572
NormalBlink,2016-04-15 10:26:05.438,35.95434
NormalBlink,2016-04-15 10:26:06.155,36.68257
NormalBlink,2016-04-15 10:26:06.604,37.12085
NormalBlink,2016-04-15 10:26:20.272,43.56084
NormalBlink,2016-04-15 10:26:21.154,44.44327
NormalBlink,2016-04-15 10:26:27.631,50.92106
NormalBlink,2016-04-15 10:26:30.228,53.54225
NormalBlink,2016-04-15 10:26:30.694,53.99863
NormalBlink,2016-04-15 10:26:32.126,55.42632
NormalBlink,2016-04-15 10:26:32.226,55.52927
NormalBlink,2016-04-15 10:26:32.676,55.98146
NormalBlink,2016-04-15 10:26:33.075,56.37768
NormalBlink,2016-04-15 10:26:33.375,56.66742
NormalBlink,2016-04-15 10:26:33.691,57.0064
NormalBlink,2016-04-15 10:26:38.136,61.44165
NormalBlink,2016-04-15 10:26:40.185,63.47707
NormalBlink,2016-04-15 10:26:41.134,64.44424
NormalBlink,2016-04-15 10:26:41.583,64.88429
NormalBlink,2016-04-15 10:26:41.849,65.13766
NormalBlink,2016-04-15 10:26:43.198,66.48554
NormalBlink,2016-04-15 10:26:43.448,66.73669
NormalBlink,2016-04-15 10:26:43.564,66.8624
NormalBlink,2016-04-15 10:26:44.396,67.69403
NormalBlink,2016-04-15 10:26:45.679,68.98454
NormalBlink,2016-04-15 10:26:46.045,69.33783
LongBlink,2016-04-15 10:26:47.393,70.69524
NormalBlink,2016-04-15 10:26:48.226,71.52497
NormalBlink,2016-04-15 10:26:49.058,72.34497
NormalBlink,2016-04-15 10:26:49.341,72.62348
NormalBlink,2016-04-15 10:26:50.556,73.84889
NormalBlink,2016-04-15 10:26:51.039,74.32934
NormalBlink,2016-04-15 10:26:51.505,74.80818
NormalBlink,2016-04-15 10:26:52.654,75.97086
NormalBlink,2016-04-15 10:26:53.003,76.32093
NormalBlink,2016-04-15 10:26:53.237,76.56316
NormalBlink,2016-04-15 10:26:53.436,76.7378
NormalBlink,2016-04-15 10:26:53.553,76.85684
NormalBlink,2016-04-15 10:26:55.983,79.29061
NormalBlink,2016-04-15 10:26:56.583,79.8864
NormalBlink,2016-04-15 10:26:57.199,80.4897
NormalBlink,2016-04-15 10:26:57.831,81.13909
NormalBlink,2016-04-15 10:26:58.282,81.57823
NormalBlink,2016-04-15 10:26:58.432,81.7515
NormalBlink,2016-04-15 10:27:00.546,83.84241
