CRX,CRY,TimeStamp, 
982.5571,220.1852,43:10.9,
840.6305,170.8591,43:10.9,
814.4178,162.1587,43:10.9,
1265.3719,428.7952,43:10.9,
817.8035,171.8303,43:10.9,
828.9437,162.4529,43:10.9,
828.2185,178.133,43:11.0,
821.6576,160.1212,43:11.0,
813.5382,180.987,43:11.0,
836.8757,173.7007,43:11.0,
833.4578,160.3295,43:11.0,
822.1187,191.7036,43:11.0,
800.0769,169.047,43:11.1,
811.3839,167.5686,43:11.1,
741.8846,356.2759,43:11.1,
746.2458,332.4619,43:11.2,
758.7173,328.9451,43:11.2,
736.4707,326.0896,43:11.2,
744.9067,319.1399,43:11.2,
747.3745,333.9138,43:11.3,
746.6136,321.8676,43:11.3,
765.0774,327.5952,43:11.3,
772.8339,170.3427,43:11.3,
791.8488,78.7315,43:11.3,
780.0464,76.2395,43:11.4,
778.1152,83.0109,43:11.4,
795.4175,85.0362,43:11.4,
772.5499,100.2535,43:11.4,
773.6861,86.6647,43:11.4,
787.0404,60.1978,43:11.4,
770.9059,103.0948,43:11.5,
766.4848,93.8286,43:11.5,
775.0115,105.0119,43:11.5,
759.1611,57.0695,43:11.5,
867.6384,112.174,43:11.5,
777.8888,59.5351,43:11.6,
768.0862,95.814,43:11.6,
772.6709,89.3864,43:11.6,
763.2091,97.3437,43:11.6,
761.283,94.0919,43:11.6,
771.0996,51.2549,43:11.8,
772.4471,99.4361,43:11.9,
799.7032,51.0401,43:11.9,
760.514,353.9156,43:12.0,
694.2198,517.1222,43:12.2,
409.5258,440.8892,43:12.3,
290.0622,455.6727,43:12.3,
289.8519,455.4967,43:12.3,
307.6171,415.2815,43:12.3,
297.6664,444.201,43:12.3,
302.2944,444.2158,43:12.4,
313.6252,405.9453,43:12.4,
335.4056,416.1442,43:12.4,
296.5138,436.3969,43:12.4,
358.6539,383.5137,43:12.9,
384.9954,392.8507,43:12.9,
733.6059,495.4718,43:13.0,
762.53,487.4031,43:13.1,
763.8084,485.3329,43:13.2,
762.2934,497.2351,43:13.2,
858.5751,491.8504,43:13.2,
859.7894,488.7622,43:13.3,
849.7141,516.4248,43:13.3,
830.8485,523.0922,43:13.3,
802.4172,476.331,43:13.5,
775.4908,501.2641,43:13.6,
845.6642,525.4327,43:13.7,
831.7549,518.1194,43:13.8,
821.1271,510.5541,43:13.8,
817.1835,510.427,43:13.8,
831.5188,502.45,43:13.9,
816.3456,521.2937,43:13.9,
811.3831,520.9963,43:13.9,
807.147,524.1334,43:13.9,
840.5251,512.9977,43:14.0,
832.3643,531.4667,43:14.0,
815.441,521.4119,43:14.0,
824.4755,536.418,43:14.0,
817.9244,509.2333,43:14.0,
825.856,522.0403,43:14.1,
820.217,506.1376,43:14.1,
819.66,527.6835,43:14.1,
813.0679,526.4236,43:14.1,
829.0765,514.6152,43:14.1,
819.856,498.9696,43:14.2,
824.9625,525.8669,43:14.2,
814.5574,542.2913,43:14.2,
824.0073,526.9229,43:14.2,
830.9224,518.5375,43:14.3,
822.7719,536.1597,43:14.3,
830.547,490.764,43:14.4,
832.3958,526.3029,43:14.4,
811.9897,521.4611,43:14.4,
823.5126,521.3417,43:14.4,
838.5228,518.7532,43:14.5,
818.5715,503.836,43:14.5,
832.9016,525.489,43:14.5,
830.0331,510.8746,43:14.5,
833.2269,510.1113,43:14.6,
818.8686,533.4862,43:14.5,
813.8271,511.3037,43:14.6,
828.702,524.881,43:14.6,
827.9342,530.6116,43:14.6,
813.8205,512.5612,43:14.6,
838.2339,527.2439,43:14.6,
834.9557,527.9235,43:14.7,
820.4683,533.6511,43:14.7,
829.6989,519.4327,43:14.7,
833.2062,530.4078,43:14.7,
825.8166,535.3129,43:14.7,
885.3569,545.2267,43:14.7,
862.3344,522.359,43:14.8,
869.6324,526.5151,43:14.8,
867.8595,508.14,43:14.8,
861.2272,515.4532,43:14.8,
858.9663,525.3282,43:14.8,
855.5817,528.7438,43:14.9,
855.9893,542.1096,43:14.9,
857.6836,504.589,43:14.9,
863.7554,526.0593,43:14.9,
858.6458,513.4241,43:14.9,
870.0264,516.6221,43:15.0,
854.369,517.9176,43:15.0,
868.6632,529.0964,43:15.1,
861.0488,506.4933,43:15.1,
848.1143,518.7328,43:15.0,
861.0573,521.017,43:15.1,
856.4985,516.8552,43:15.1,
861.6292,500.83,43:15.1,
726.7993,481.86,43:15.2,
664.7913,490.9076,43:15.2,
673.7693,478.8041,43:15.2,
683.4819,492.0593,43:15.2,
669.3936,486.1604,43:15.3,
673.3401,517.8482,43:15.3,
674.518,486.3334,43:15.3,
665.6302,496.2131,43:15.3,
670.9949,479.464,43:15.3,
688.4254,475.3653,43:15.4,
675.319,488.462,43:15.4,
672.9192,494.0814,43:15.4,
678.3961,503.0171,43:15.5,
673.022,495.5067,43:15.5,
671.1582,502.8509,43:15.5,
685.5436,495.1241,43:15.5,
686.0847,492.3275,43:15.5,
682.9683,471.7374,43:15.5,
688.6187,518.3265,43:15.6,
679.1691,499.3745,43:15.6,
699.2511,489.5443,43:15.6,
687.3744,494.7877,43:15.6,
679.2057,491.3949,43:15.6,
682.6851,510.7853,43:15.6,
685.5705,502.5863,43:15.7,
685.9067,490.3075,43:15.7,
692.8011,503.9279,43:15.7,
687.7737,504.8865,43:15.7,
688.1208,501.0623,43:15.8,
684.6077,495.1172,43:15.8,
693.3846,494.4975,43:15.8,
693.0154,505.2456,43:15.8,
692.6664,501.93,43:15.8,
698.6541,481.0212,43:15.8,
711.325,458.8123,43:15.9,
703.7381,481.7144,43:15.9,
694.3692,501.3176,43:15.9,
704.1237,496.0382,43:15.9,
712.7748,503.7615,43:15.9,
687.6995,488.1354,43:16.0,
703.8776,466.4553,43:16.0,
702.5083,484.9465,43:16.0,
710.0767,492.3468,43:16.0,
693.322,461.8423,43:16.0,
695.3336,506.3452,43:16.0,
699.9913,486.1033,43:16.1,
697.0021,471.0457,43:16.1,
692.2728,487.3499,43:16.1,
698.2105,489.0515,43:16.2,
679.6753,472.7819,43:16.2,
696.8842,481.8757,43:16.2,
708.9756,474.0105,43:16.2,
699.4164,477.3986,43:16.3,
710.9066,485.3613,43:16.4,
708.7275,486.262,43:16.4,
709.8501,456.2277,43:16.5,
704.6996,475.3017,43:16.5,
703.4443,480.0212,43:16.5,
710.139,468.6415,43:16.5,
721.9734,467.0806,43:16.6,
798.1265,501.6314,43:16.6,
788.663,478.2716,43:16.6,
806.856,509.7588,43:16.7,
803.4608,486.6009,43:16.7,
814.2828,472.5149,43:16.7,
828.3516,468.281,43:16.8,
821.7318,490.3346,43:16.8,
804.5278,498.3912,43:16.8,
819.1504,500.8305,43:16.8,
816.9701,493.0269,43:16.8,
817.3518,477.1443,43:16.9,
828.5951,470.1275,43:16.9,
818.3427,492.3687,43:16.9,
825.0917,487.2252,43:16.9,
823.4281,483.1505,43:17.0,
806.9515,493.7401,43:17.0,
