x,y,tmin,tmean,tmax,c,z,n
822,170,0.383,1.600,0.018,0,22.414,12
748,330,0.713,1.473,0.021,1,26.312,8
775,82,0.210,1.518,0.035,2,39.605,19
310,428,0.911,0.580,0.047,3,66.154,9
831,517,1.090,1.467,0.028,4,99.914,73
691,488,1.037,1.330,0.027,5,37.187,60
815,488,1.020,1.577,0.021,6,28.408,26
967,511,1.048,1.899,0.019,7,19.662,15
774,453,0.972,1.523,0.028,8,33.926,11
916,489,1.023,1.796,0.021,9,26.339,22
1329,537,1.111,2.601,0.020,10,31.396,51
1462,535,1.112,2.876,0.021,11,26.019,17
95,229,0.499,0.158,0.026,12,32.398,14
823,682,1.412,1.604,0.037,13,34.952,9
884,542,1.208,1.709,0.091,14,61.907,30
1024,417,0.891,2.007,0.026,15,32.086,14
778,703,1.439,1.521,0.027,16,48.451,24
829,490,1.010,1.632,0.029,17,30.191,10
1013,515,1.059,1.956,0.019,18,37.179,10
848,524,1.086,1.648,0.023,19,40.516,45
662,639,1.336,1.235,0.027,20,53.035,10
570,706,1.433,1.102,0.014,21,30.210,9
748,634,1.384,1.422,0.095,22,108.954,64
987,536,1.110,1.898,0.023,23,39.010,13
787,451,0.991,1.494,0.037,24,79.585,93
629,560,1.174,1.218,0.027,25,28.352,17
811,511,1.089,1.486,0.042,26,71.924,49
736,297,0.683,1.447,0.035,27,44.933,14
475,656,1.404,0.919,0.063,28,74.665,21
336,472,0.996,0.648,0.031,29,27.587,6
175,414,0.877,0.318,0.029,30,33.035,23
1254,488,1.007,2.391,0.025,31,58.849,22
1404,702,1.431,2.773,0.026,32,36.953,6
274,726,1.487,0.494,0.018,33,29.337,13
1219,592,1.204,2.402,0.017,34,24.969,9
686,648,1.339,1.324,0.020,35,26.114,16
767,574,1.197,1.503,0.028,36,27.479,12
830,676,1.391,1.627,0.021,37,18.959,8
693,643,1.377,1.300,0.057,38,50.661,13
817,567,1.221,1.547,0.035,39,61.283,10
