CSX,CSY,IsFixated,State,TimeStamp, ,Result
1247.1663, 412.7309,FALSE,7,43:10.9,,Saccade
840.6305, 170.8591,FALSE,7,43:10.9,,Saccade
1158.6467, 361.3864,FALSE,7,43:10.9,,Saccade
1336.5951, 477.7941,FALSE,7,43:10.9,,Saccade
823.3665, 167.1476,FALSE,7,43:10.9,,Saccade
828.9437, 162.4529,FALSE,7,43:10.9,,Saccade
824.9813, 170.8329,FALSE,7,43:11.0,,Fixation
824.1421, 168.151,FALSE,7,43:11.0,,Fixation
821.9831, 170.7569,FALSE,7,43:11.0,,Fixation
824.5005, 171.2802,TRUE,7,43:11.0,,Fixation
825.8304, 169.6873,TRUE,7,43:11.0,,Fixation
825.3701, 172.5615,TRUE,7,43:11.0,,Fixation
822.4111, 172.1915,TRUE,7,43:11.1,,Fixation
821.188, 171.7267,TRUE,7,43:11.1,,Fixation
741.8846, 356.2759,FALSE,7,43:11.1,,Saccade
746.2458, 332.4619,FALSE,7,43:11.2,,Fixation
752.4894, 330.7013,FALSE,7,43:11.2,,Fixation
747.1378, 329.1545,FALSE,7,43:11.2,,Fixation
746.5626, 326.6205,FALSE,7,43:11.2,,Fixation
746.714, 328.0797,FALSE,7,43:11.3,,Fixation
746.6872, 327.0145,TRUE,7,43:11.3,,Fixation
749.3931, 327.0843,TRUE,7,43:11.3,,Fixation
772.8339, 170.3427,FALSE,7,43:11.3,,Saccade
791.8488, 78.7315,FALSE,7,43:11.3,,Saccade
785.94, 77.4839,FALSE,7,43:11.4,,Saccade
783.3107, 79.332,FALSE,7,43:11.4,,Fixation
786.347, 80.7762,FALSE,7,43:11.4,,Fixation
783.55, 84.7444,FALSE,7,43:11.4,,Fixation
781.8481, 85.116,TRUE,7,43:11.4,,Fixation
782.5799, 81.479,TRUE,7,43:11.4,,Fixation
781.0355, 84.289,TRUE,7,43:11.5,,Fixation
779.2842, 85.4421,TRUE,4,43:11.5,,Fixation
778.7593, 87.5898,TRUE,4,43:11.5,,Fixation
776.7491, 84.6514,TRUE,4,43:11.5,,Fixation
785.0369, 87.2027,TRUE,4,43:11.5,,Fixation
784.5247, 84.8711,TRUE,4,43:11.6,,Fixation
783.2601, 85.7703,TRUE,7,43:11.6,,Fixation
782.4739, 86.0776,TRUE,7,43:11.6,,Fixation
781.0448, 86.952,TRUE,7,43:11.6,,Fixation
779.5867, 87.5212,TRUE,7,43:11.6,,Fixation
778.9158, 85.0593,TRUE,7,43:11.8,,Fixation
778.3821, 86.004,TRUE,7,43:11.9,,Fixation
779.6804, 83.7079,TRUE,4,43:11.9,,Fixation
760.514, 353.9156,FALSE,4,43:12.0,,Saccade
694.2198, 517.1222,FALSE,7,43:12.2,,Saccade
551.6913, 478.9571,FALSE,7,43:12.3,,Saccade
463.8693, 471.098,FALSE,7,43:12.3,,Saccade
419.4635, 467.0851,FALSE,7,43:12.3,,Saccade
396.0789, 456.4803,FALSE,7,43:12.3,,Saccade
297.6664, 444.201,FALSE,7,43:12.3,,Saccade
302.2944, 444.2158,FALSE,7,43:12.4,,Saccade
307.967, 425.0561,FALSE,7,43:12.4,,Saccade
317.1617, 422.0404,FALSE,7,43:12.4,,Saccade
311.9957, 425.626,FALSE,7,43:12.4,,Saccade
321.472, 417.0685,FALSE,4,43:12.9,,Saccade
332.3878, 412.8612,TRUE,4,43:12.9,,Fixation
733.6059, 495.4718,FALSE,4,43:13.0,,Saccade
762.53, 487.4031,FALSE,4,43:13.1,,Saccade
763.17, 486.3667,FALSE,4,43:13.2,,Saccade
762.8776, 490.0032,FALSE,4,43:13.2,,Saccade
787.0154, 490.4816,FALSE,7,43:13.2,,Saccade
801.9392, 490.1453,FALSE,7,43:13.3,,Saccade
810.3333, 494.6353,TRUE,7,43:13.3,,Fixation
813.657, 498.89,TRUE,7,43:13.3,,Fixation
812.4845, 496.0464,TRUE,4,43:13.5,,Fixation
808.3713, 496.7044,TRUE,4,43:13.6,,Fixation
812.5023, 499.8369,TRUE,7,43:13.7,,Fixation
815.8998, 503.3977,TRUE,7,43:13.8,,Fixation
816.5719, 504.1784,TRUE,7,43:13.8,,Fixation
816.8297, 504.8537,TRUE,7,43:13.8,,Fixation
816.922, 504.7767,TRUE,7,43:13.9,,Fixation
817.0282, 506.0912,TRUE,7,43:13.9,,Fixation
817.4272, 508.5496,TRUE,7,43:13.9,,Fixation
816.8539, 509.7759,TRUE,7,43:13.9,,Fixation
818.442, 510.2061,TRUE,7,43:14.0,,Fixation
819.224, 512.7266,TRUE,7,43:14.0,,Fixation
819.1094, 513.5193,TRUE,7,43:14.0,,Fixation
819.5257, 515.1607,TRUE,7,43:14.0,,Fixation
820.2235, 515.4521,TRUE,7,43:14.0,,Fixation
821.2831, 516.4613,TRUE,7,43:14.1,,Fixation
821.9325, 516.2929,TRUE,7,43:14.1,,Fixation
821.2887, 517.4303,TRUE,7,43:14.1,,Fixation
820.3001, 518.4697,TRUE,7,43:14.1,,Fixation
820.4604, 518.3979,TRUE,7,43:14.1,,Fixation
820.7581, 518.6107,TRUE,7,43:14.2,,Fixation
821.595, 519.2901,TRUE,7,43:14.2,,Fixation
820.8781, 520.6274,TRUE,7,43:14.2,,Fixation
821.0029, 521.1309,TRUE,7,43:14.2,,Fixation
820.7127, 521.1973,TRUE,7,43:14.3,,Fixation
820.8969, 522.2906,TRUE,7,43:14.3,,Fixation
821.7645, 520.7287,TRUE,7,43:14.4,,Fixation
822.4506, 521.4849,TRUE,7,43:14.4,,Fixation
821.8448, 521.4477,TRUE,7,43:14.4,,Fixation
822.0994, 521.4372,TRUE,7,43:14.4,,Fixation
823.2886, 521.233,TRUE,7,43:14.5,,Fixation
822.9919, 519.834,TRUE,7,43:14.5,,Fixation
823.5117, 519.9508,TRUE,7,43:14.5,,Fixation
824.0735, 519.3361,TRUE,7,43:14.5,,Fixation
824.5298, 519.4319,TRUE,7,43:14.6,,Fixation
823.8339, 519.9054,TRUE,7,43:14.5,,Fixation
823.9456, 518.861,TRUE,7,43:14.6,,Fixation
824.3193, 519.3105,TRUE,7,43:14.6,,Fixation
824.6409, 519.8286,TRUE,7,43:14.6,,Fixation
824.1808, 519.2957,TRUE,7,43:14.6,,Fixation
824.9702, 519.8043,TRUE,7,43:14.6,,Fixation
825.6411, 520.1587,TRUE,7,43:14.7,,Fixation
825.4679, 521.2561,TRUE,7,43:14.7,,Fixation
825.7717, 521.1364,TRUE,7,43:14.7,,Fixation
826.4062, 521.4819,TRUE,7,43:14.7,,Fixation
826.4571, 522.3373,TRUE,7,43:14.7,,Fixation
830.2758, 523.8839,TRUE,7,43:14.7,,Fixation
832.3844, 524.0399,TRUE,7,43:14.8,,Fixation
835.0109, 524.2052,TRUE,7,43:14.8,,Fixation
839.4288, 523.3855,TRUE,7,43:14.8,,Fixation
836.993, 524.26,TRUE,7,43:14.8,,Fixation
841.1436, 523.5226,TRUE,7,43:14.8,,Fixation
842.8452, 523.9184,TRUE,7,43:14.9,,Fixation
844.3344, 525.1049,TRUE,7,43:14.9,,Fixation
845.6615, 524.0514,TRUE,7,43:14.9,,Fixation
847.4858, 524.3171,TRUE,7,43:14.9,,Fixation
848.9609, 523.9348,TRUE,7,43:14.9,,Fixation
850.8458, 523.4459,TRUE,7,43:15.0,,Fixation
851.7452, 523.2168,TRUE,7,43:15.0,,Fixation
853.8525, 523.2039,TRUE,7,43:15.1,,Fixation
855.0896, 522.2763,TRUE,7,43:15.1,,Fixation
852.319, 522.7453,TRUE,7,43:15.0,,Fixation
856.0411, 522.0479,TRUE,7,43:15.1,,Fixation
856.6493, 521.5165,TRUE,7,43:15.1,,Fixation
857.6619, 520.2692,TRUE,7,43:15.1,,Fixation
846.8102, 518.458,TRUE,7,43:15.2,,Fixation
664.7913, 490.9076,FALSE,7,43:15.2,,Saccade
673.7693, 478.8041,FALSE,7,43:15.2,,Saccade
678.6318, 485.4401,FALSE,7,43:15.2,,Saccade
675.5476, 485.6925,FALSE,7,43:15.3,,Saccade
674.9852, 493.8125,FALSE,7,43:15.3,,Saccade
674.8824, 492.3503,FALSE,7,43:15.3,,Saccade
673.2969, 493.0432,TRUE,7,43:15.3,,Fixation
672.934, 491.0746,TRUE,7,43:15.3,,Fixation
675.7833, 490.2168,TRUE,7,43:15.4,,Fixation
675.7609, 490.0111,TRUE,7,43:15.4,,Fixation
675.5034, 490.394,TRUE,7,43:15.4,,Fixation
675.7863, 491.5498,TRUE,7,43:15.5,,Fixation
675.5673, 491.912,TRUE,7,43:15.5,,Fixation
675.2179, 492.8372,TRUE,7,43:15.5,,Fixation
676.0275, 493.0661,TRUE,7,43:15.5,,Fixation
676.8069, 493.0625,TRUE,7,43:15.5,,Fixation
