CRX,CRY,IsFixated,State,TimeStamp, ,Result
982.5571, 220.1852,FALSE,7,43:10.9,,Saccade
840.6305, 170.8591,FALSE,7,43:10.9,,Saccade
814.4178, 162.1587,FALSE,7,43:10.9,,Saccade
1265.3719, 428.7952,FALSE,7,43:10.9,,Saccade
817.8035, 171.8303,FALSE,7,43:10.9,,Fixation
828.9437, 162.4529,FALSE,7,43:10.9,,Fixation
828.2185, 178.133,FALSE,7,43:11.0,,Fixation
821.6576, 160.1212,FALSE,7,43:11.0,,Fixation
813.5382, 180.987,FALSE,7,43:11.0,,Fixation
836.8757, 173.7007,TRUE,7,43:11.0,,Fixation
833.4578, 160.3295,TRUE,7,43:11.0,,Fixation
822.1187, 191.7036,TRUE,7,43:11.0,,Fixation
800.0769, 169.047,TRUE,7,43:11.1,,Fixation
811.3839, 167.5686,TRUE,7,43:11.1,,Fixation
741.8846, 356.2759,FALSE,7,43:11.1,,Saccade
746.2458, 332.4619,FALSE,7,43:11.2,,Saccade
758.7173, 328.9451,FALSE,7,43:11.2,,Saccade
736.4707, 326.0896,FALSE,7,43:11.2,,Saccade
744.9067, 319.1399,FALSE,7,43:11.2,,Saccade
747.3745, 333.9138,FALSE,7,43:11.3,,Saccade
746.6136, 321.8676,TRUE,7,43:11.3,,Fixation
765.0774, 327.5952,TRUE,7,43:11.3,,Fixation
772.8339, 170.3427,FALSE,7,43:11.3,,Fixation
791.8488, 78.7315,FALSE,7,43:11.3,,Fixation
780.0464, 76.2395,FALSE,7,43:11.4,,Fixation
778.1152, 83.0109,FALSE,7,43:11.4,,Fixation
795.4175, 85.0362,FALSE,7,43:11.4,,Fixation
772.5499, 100.2535,FALSE,7,43:11.4,,Fixation
773.6861, 86.6647,TRUE,7,43:11.4,,Fixation
787.0404, 60.1978,TRUE,7,43:11.4,,Fixation
770.9059, 103.0948,TRUE,7,43:11.5,,Fixation
766.4848, 93.8286,TRUE,4,43:11.5,,Fixation
775.0115, 105.0119,TRUE,4,43:11.5,,Fixation
759.1611, 57.0695,TRUE,4,43:11.5,,Fixation
867.6384, 112.174,TRUE,4,43:11.5,,Fixation
777.8888, 59.5351,TRUE,4,43:11.6,,Fixation
768.0862, 95.814,TRUE,7,43:11.6,,Fixation
772.6709, 89.3864,TRUE,7,43:11.6,,Fixation
763.2091, 97.3437,TRUE,7,43:11.6,,Fixation
761.283, 94.0919,TRUE,7,43:11.6,,Fixation
771.0996, 51.2549,TRUE,7,43:11.8,,Fixation
772.4471, 99.4361,TRUE,7,43:11.9,,Fixation
799.7032, 51.0401,TRUE,4,43:11.9,,Fixation
760.514, 353.9156,FALSE,4,43:12.0,,Saccade
694.2198, 517.1222,FALSE,7,43:12.2,,Saccade
409.5258, 440.8892,FALSE,7,43:12.3,,Saccade
290.0622, 455.6727,FALSE,7,43:12.3,,Fixation
289.8519, 455.4967,FALSE,7,43:12.3,,Fixation
307.6171, 415.2815,FALSE,7,43:12.3,,Fixation
297.6664, 444.201,FALSE,7,43:12.3,,Fixation
302.2944, 444.2158,FALSE,7,43:12.4,,Fixation
313.6252, 405.9453,FALSE,7,43:12.4,,Fixation
335.4056, 416.1442,FALSE,7,43:12.4,,Fixation
296.5138, 436.3969,FALSE,7,43:12.4,,Fixation
358.6539, 383.5137,FALSE,4,43:12.9,,Fixation
384.9954, 392.8507,TRUE,4,43:12.9,,Fixation
733.6059, 495.4718,FALSE,4,43:13.0,,Saccade
762.53, 487.4031,FALSE,4,43:13.1,,Saccade
763.8084, 485.3329,FALSE,4,43:13.2,,Saccade
762.2934, 497.2351,FALSE,4,43:13.2,,Saccade
858.5751, 491.8504,FALSE,7,43:13.2,,Saccade
859.7894, 488.7622,FALSE,7,43:13.3,,Saccade
849.7141, 516.4248,TRUE,7,43:13.3,,Fixation
