HOX,HOY,HOZ,LRX,LRY,LSX,LSY,RRX,RRY,RSX,RSY,CRX,CRY,CSX,CSY,IsFixated,State,TimeStamp,,Result
{0,0, 0},{939.6462, 220.4975},{1255.1813, 431.0533},{1025.4679, 219.8729},{1263.8992, 416.369},{982.5571, 220.1852},{1247.1663, 412.7309},FALSE,7,43:10.9,,
{0,0, 0},{816.1963, 155.3458},{816.1963, 155.3458},{865.0647, 186.3725},{865.0647, 186.3725},{840.6305, 170.8591},{840.6305, 170.8591},FALSE,7,43:10.9,,
{0,0, 0},{800.2667, 148.977},{800.2667, 148.977},{828.5688, 175.3405},{1174.9517, 366.9409},{814.4178, 162.1587},{1158.6467, 361.3864},FALSE,7,43:10.9,,
{0,0, 0},{1234.9137, 429.8075},{1335.8192, 484.8659},{1295.8302, 427.7829},{1344.4261, 482.7876},{1265.3719, 428.7952},{1336.5951, 477.7941},FALSE,7,43:10.9,,
{0,0, 0},{804.0963, 163.8691},{815.178, 159.9192},{831.5106, 179.7915},{832.0596, 172.1095},{817.8035, 171.8303},{823.3665, 167.1476},FALSE,7,43:10.9,,
{0,0, 0},{825.2773, 160.4978},{820.7426, 157.925},{832.61, 164.4079},{832.61, 164.4079},{828.9437, 162.4529},{828.9437, 162.4529},FALSE,7,43:10.9,,
{0,0, 0},{813.8663, 205.9184},{814.8317, 171.5325},{842.5708, 150.3477},{835.5773, 164.8378},{828.2185, 178.133},{824.9813, 170.8329},FALSE,7,43:11.0,,
{0,0, 0},{797.2585, 175.7691},{811.2489, 172.4718},{846.0568, 144.4732},{838.2333, 159.6832},{821.6576, 160.1212},{824.1421, 168.151},FALSE,7,43:11.0,,
{0,0, 0},{799.5593, 178.6876},{809.2133, 173.6046},{827.5172, 183.2865},{836.0834, 164.4306},{813.5382, 180.987},{821.9831, 170.7569},FALSE,7,43:11.0,,
{0,0, 0},{809.3652, 173.1838},{809.1787, 173.6153},{864.3861, 174.2176},{840.9142, 166.1025},{836.8757, 173.7007},{824.5005, 171.2802},TRUE,7,43:11.0,,
{0,0, 0},{817.5398, 174.2197},{810.2216, 173.756},{849.3757, 146.4393},{842.2175, 163.2206},{833.4578, 160.3295},{825.8304, 169.6873},TRUE,7,43:11.0,,
{0,0, 0},{805.9767, 209.6394},{809.6967, 178.029},{838.2606, 173.7678},{841.7645, 164.578},{822.1187, 191.7036},{825.3701, 172.5615},TRUE,7,43:11.0,,
{0,0, 0},{775.9913, 178.1942},{806.0491, 178.1694},{824.1625, 159.8998},{839.7432, 164.0316},{800.0769, 169.047},{822.4111, 172.1915},TRUE,7,43:11.1,,
{0,0, 0},{808.0366, 174.6777},{806.1462, 177.9335},{814.7313, 160.4594},{837.0652, 163.642},{811.3839, 167.5686},{821.188, 171.7267},TRUE,7,43:11.1,,
{0,0, 0},{736.5634, 362.688},{736.5634, 362.688},{747.206, 349.8639},{747.206, 349.8639},{741.8846, 356.2759},{741.8846, 356.2759},FALSE,7,43:11.1,,
{0,0, 0},{719.0839, 337.3243},{719.0839, 337.3243},{773.4077, 327.5995},{773.4077, 327.5995},{746.2458, 332.4619},{746.2458, 332.4619},FALSE,7,43:11.2,,
{0,0, 0},{731.283, 356.6721},{725.1912, 347.0105},{786.1517, 301.2181},{779.7878, 314.392},{758.7173, 328.9451},{752.4894, 330.7013},FALSE,7,43:11.2,,
{0,0, 0},{716.7659, 322.4515},{722.3812, 338.8058},{756.1754, 329.7276},{771.8944, 319.5032},{736.4707, 326.0896},{747.1378, 329.1545},FALSE,7,43:11.2,,
{0,0, 0},{723.059, 316.917},{722.5492, 333.2657},{766.7545, 321.3628},{770.5759, 319.9752},{744.9067, 319.1399},{746.5626, 326.6205},FALSE,7,43:11.2,,
{0,0, 0},{736.2919, 339.1664},{725.3384, 334.4152},{758.4571, 328.661},{768.0896, 321.7441},{747.3745, 333.9138},{746.714, 328.0797},FALSE,7,43:11.3,,
{0,0, 0},{738.6566, 313.4513},{727.6323, 330.8092},{754.5707, 330.2838},{765.7421, 323.2199},{746.6136, 321.8676},{746.6872, 327.0145},TRUE,7,43:11.3,,
{0,0, 0},{747.1366, 323.2343},{730.5543, 329.6272},{783.0182, 331.9561},{768.232, 324.5414},{765.0774, 327.5952},{749.3931, 327.0843},TRUE,7,43:11.3,,
{0,0, 0},{752.2002, 142.1306},{752.2002, 142.1306},{793.4676, 198.5546},{771.5089, 308.1335},{772.8339, 170.3427},{772.8339, 170.3427},FALSE,7,43:11.3,,
{0,0, 0},{791.7776, 63.5021},{791.7776, 63.5021},{791.9199, 93.9608},{791.9199, 93.9608},{791.8488, 78.7315},{791.8488, 78.7315},FALSE,7,43:11.3,,
{0,0, 0},{777.2632, 93.8497},{784.5112, 78.6953},{782.8296, 58.6293},{782.8296, 58.6293},{780.0464, 76.2395},{785.94, 77.4839},FALSE,7,43:11.4,,
{0,0, 0},{771.153, 81.1409},{780.0272, 79.5397},{785.0775, 84.8809},{783.955, 71.7719},{778.1152, 83.0109},{783.3107, 79.332},FALSE,7,43:11.4,,
{0,0, 0},{776.2937, 67.0673},{779.0593, 76.416},{814.5413, 103.0051},{794.1957, 82.2495},{795.4175, 85.0362},{786.347, 80.7762},FALSE,7,43:11.4,,
{0,0, 0},{780.9999, 105.9366},{779.4269, 82.409},{764.0998, 94.5703},{786.645, 85.4135},{772.5499, 100.2535},{783.55, 84.7444},FALSE,7,43:11.4,,
{0,0, 0},{759.7394, 92.657},{776.0504, 84.2059},{787.6328, 80.6724},{786.8315, 84.5143},{773.6861, 86.6647},{781.8481, 85.116},TRUE,7,43:11.4,,
{0,0, 0},{781.9911, 50.8439},{776.8757, 79.342},{792.0897, 69.5516},{787.7183, 82.0064},{787.0404, 60.1978},{782.5799, 81.479},TRUE,7,43:11.4,,
{0,0, 0},{767.3693, 94.6446},{775.6012, 81.328},{774.4424, 111.545},{785.7597, 86.3759},{770.9059, 103.0948},{781.0355, 84.289},TRUE,7,43:11.5,,
