BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-14 14:51:46.055,359.9365
NormalBlink,2016-04-14 14:51:48.335,362.2185
NormalBlink,2016-04-14 14:52:03.569,377.4654
NormalBlink,2016-04-14 14:52:05.401,379.2797
NormalBlink,2016-04-14 14:52:12.659,386.5349
NormalBlink,2016-04-14 14:52:16.089,389.9705
NormalBlink,2016-04-14 14:52:16.540,390.4266
NormalBlink,2016-04-14 14:52:20.784,394.6646
LongBlink,2016-04-14 14:52:29.474,403.3529
LongBlink,2016-04-14 14:52:32.721,406.5931
NormalBlink,2016-04-14 14:52:35.052,408.9292
NormalBlink,2016-04-14 14:52:50.685,424.5677
LongBlink,2016-04-14 14:52:57.261,431.1336
NormalBlink,2016-04-14 14:53:02.472,436.3656
NormalBlink,2016-04-14 14:53:02.538,436.4093
NormalBlink,2016-04-14 14:53:21.235,455.1111
NormalBlink,2016-04-14 14:53:29.010,462.882
NormalBlink,2016-04-14 14:53:30.342,464.2243
NormalBlink,2016-04-14 14:53:34.138,468.0192
NormalBlink,2016-04-14 14:53:56.247,490.126
NormalBlink,2016-04-14 14:54:06.586,500.4575
NormalBlink,2016-04-14 14:54:23.069,516.9561
NormalBlink,2016-04-14 14:54:32.726,526.6445
NormalBlink,2016-04-14 14:54:32.791,526.6918
NormalBlink,2016-04-14 14:54:35.122,528.9976
NormalBlink,2016-04-14 14:54:35.589,529.4659
NormalBlink,2016-04-14 14:54:35.688,529.561
NormalBlink,2016-04-14 14:54:53.752,547.6434
NormalBlink,2016-04-14 14:54:59.346,553.2126
NormalBlink,2016-04-14 14:55:08.586,562.48
NormalBlink,2016-04-14 14:55:23.737,577.6149
NormalBlink,2016-04-14 14:55:30.096,583.976
NormalBlink,2016-04-14 14:55:35.174,589.0565
NormalBlink,2016-04-14 14:55:40.268,594.1426
NormalBlink,2016-04-14 14:55:43.915,597.7836
NormalBlink,2016-04-14 14:56:00.550,614.4372
LongBlink,2016-04-14 14:56:09.387,623.2635
NormalBlink,2016-04-14 14:56:18.727,632.6036
NormalBlink,2016-04-14 14:56:35.109,648.9756
NormalBlink,2016-04-14 14:56:38.406,652.2698
NormalBlink,2016-04-14 14:56:53.357,667.2466
NormalBlink,2016-04-14 14:56:59.666,673.5425
NormalBlink,2016-04-14 14:57:05.659,679.5378
NormalBlink,2016-04-14 14:57:25.621,699.5153
NormalBlink,2016-04-14 14:57:34.279,708.1593
NormalBlink,2016-04-14 14:57:34.995,708.8585
NormalBlink,2016-04-14 14:57:46.666,720.5461
LongBlink,2016-04-14 14:57:54.956,728.8309
LongBlink,2016-04-14 14:57:56.488,730.3726
LongBlink,2016-04-14 14:57:59.967,733.8403
NormalBlink,2016-04-14 14:58:22.927,756.8176
NormalBlink,2016-04-14 14:58:40.341,774.2177
NormalBlink,2016-04-14 14:58:48.549,782.4578
LongBlink,2016-04-14 14:58:54.791,788.6636
NormalBlink,2016-04-14 14:58:58.522,792.3887
NormalBlink,2016-04-14 14:58:59.687,793.5607
NormalBlink,2016-04-14 14:59:12.258,806.1494
NormalBlink,2016-04-14 14:59:16.768,810.656
NormalBlink,2016-04-14 14:59:19.598,813.4742
NormalBlink,2016-04-14 14:59:20.584,814.451
NormalBlink,2016-04-14 14:59:24.910,818.7872
NormalBlink,2016-04-14 14:59:27.872,821.7531
NormalBlink,2016-04-14 14:59:30.687,824.5613
NormalBlink,2016-04-14 14:59:43.955,837.8499
NormalBlink,2016-04-14 14:59:46.669,840.5547
NormalBlink,2016-04-14 14:59:50.415,844.3041
NormalBlink,2016-04-14 15:00:10.460,864.3507
