BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-15 10:42:41.679,823.3909
NormalBlink,2016-04-15 10:42:41.778,823.4822
NormalBlink,2016-04-15 10:42:42.129,823.8455
NormalBlink,2016-04-15 10:42:42.279,823.9828
NormalBlink,2016-04-15 10:42:42.445,824.1595
NormalBlink,2016-04-15 10:42:43.494,825.1964
NormalBlink,2016-04-15 10:42:43.960,825.6686
NormalBlink,2016-04-15 10:42:44.243,825.9419
NormalBlink,2016-04-15 10:42:44.426,826.137
LongBlink,2016-04-15 10:42:45.826,827.5395
NormalBlink,2016-04-15 10:42:45.908,827.6126
NormalBlink,2016-04-15 10:42:52.134,833.8432
NormalBlink,2016-04-15 10:42:52.184,833.8846
NormalBlink,2016-04-15 10:42:52.268,833.9666
NormalBlink,2016-04-15 10:42:52.401,834.1083
NormalBlink,2016-04-15 10:42:52.484,834.1901
NormalBlink,2016-04-15 10:42:52.534,834.2331
NormalBlink,2016-04-15 10:42:53.500,835.2191
NormalBlink,2016-04-15 10:42:53.916,835.6249
NormalBlink,2016-04-15 10:42:56.647,838.3499
NormalBlink,2016-04-15 10:42:57.595,839.2932
NormalBlink,2016-04-15 10:42:57.628,839.3581
NormalBlink,2016-04-15 10:42:57.696,839.399
NormalBlink,2016-04-15 10:42:57.778,839.498
NormalBlink,2016-04-15 10:42:57.845,839.5596
LongBlink,2016-04-15 10:42:59.777,841.4737
NormalBlink,2016-04-15 10:42:59.927,841.658
LongBlink,2016-04-15 10:43:01.593,843.2947
LongBlink,2016-04-15 10:43:02.523,844.2773
NormalBlink,2016-04-15 10:43:03.822,845.5444
NormalBlink,2016-04-15 10:43:07.601,849.3181
LongBlink,2016-04-15 10:43:10.115,851.8142
LongBlink,2016-04-15 10:43:12.063,853.7568
NormalBlink,2016-04-15 10:43:28.894,870.5867
LongBlink,2016-04-15 10:43:31.143,872.8425
LongBlink,2016-04-15 10:43:32.124,873.8203
LongBlink,2016-04-15 10:43:35.455,877.1794
NormalBlink,2016-04-15 10:43:35.707,877.4349
LongBlink,2016-04-15 10:43:41.514,883.217
NormalBlink,2016-04-15 10:43:44.811,886.522
NormalBlink,2016-04-15 10:43:45.177,886.8759
NormalBlink,2016-04-15 10:43:45.279,887.0028
NormalBlink,2016-04-15 10:43:46.825,888.5261
NormalBlink,2016-04-15 10:43:47.108,888.8032
NormalBlink,2016-04-15 10:43:48.673,890.4056
NormalBlink,2016-04-15 10:43:48.891,890.5993
LongBlink,2016-04-15 10:43:50.787,892.4917
LongBlink,2016-04-15 10:43:53.435,895.1577
LongBlink,2016-04-15 10:43:55.300,897.0126
LongBlink,2016-04-15 10:43:57.414,899.1057
LongBlink,2016-04-15 10:43:59.911,901.6219
NormalBlink,2016-04-15 10:44:02.259,903.9761
LongBlink,2016-04-15 10:44:03.873,905.5849
LongBlink,2016-04-15 10:44:06.470,908.1712
NormalBlink,2016-04-15 10:44:06.787,908.5269
LongBlink,2016-04-15 10:44:11.932,913.6359
LongBlink,2016-04-15 10:44:19.690,921.402
LongBlink,2016-04-15 10:44:20.306,922.0139
NormalBlink,2016-04-15 10:44:21.375,923.0931
NormalBlink,2016-04-15 10:44:40.900,942.6017
NormalBlink,2016-04-15 10:44:42.581,944.2897
NormalBlink,2016-04-15 10:44:44.180,945.8824
LongBlink,2016-04-15 10:44:45.429,947.1519
NormalBlink,2016-04-15 10:44:46.495,948.2064
NormalBlink,2016-04-15 10:44:46.927,948.6442
NormalBlink,2016-04-15 10:44:48.143,949.8638
LongBlink,2016-04-15 10:44:50.756,952.4481
NormalBlink,2016-04-15 10:44:52.321,954.0193
NormalBlink,2016-04-15 10:44:52.721,954.4578
NormalBlink,2016-04-15 10:44:57.765,959.4737
NormalBlink,2016-04-15 10:45:07.572,969.265
NormalBlink,2016-04-15 10:45:08.837,970.5492
LongBlink,2016-04-15 10:45:10.585,972.3051
NormalBlink,2016-04-15 10:45:10.968,972.6694
LongBlink,2016-04-15 10:45:13.032,974.7408
NormalBlink,2016-04-15 10:45:13.215,974.9402
NormalBlink,2016-04-15 10:45:13.382,975.0847
NormalBlink,2016-04-15 10:45:13.714,975.4107
NormalBlink,2016-04-15 10:45:14.183,975.926
NormalBlink,2016-04-15 10:45:14.663,976.3934
NormalBlink,2016-04-15 10:45:14.880,976.5741
LongBlink,2016-04-15 10:45:16.228,977.9475
LongBlink,2016-04-15 10:45:17.960,979.6707
LongBlink,2016-04-15 10:45:21.224,982.9523
LongBlink,2016-04-15 10:45:25.119,986.8339
NormalBlink,2016-04-15 10:45:26.867,988.5664
NormalBlink,2016-04-15 10:45:27.100,988.7912
LongBlink,2016-04-15 10:45:29.383,991.0839
NormalBlink,2016-04-15 10:45:30.097,991.7919
NormalBlink,2016-04-15 10:45:31.845,993.5522
NormalBlink,2016-04-15 10:45:33.127,994.8372
NormalBlink,2016-04-15 10:45:33.417,995.1165
NormalBlink,2016-04-15 10:45:34.908,996.6395
NormalBlink,2016-04-15 10:45:35.025,996.7491
NormalBlink,2016-04-15 10:45:35.175,996.8853
LongBlink,2016-04-15 10:45:36.140,997.8613
NormalBlink,2016-04-15 10:45:36.356,998.0763
NormalBlink,2016-04-15 10:45:38.688,1000.398
NormalBlink,2016-04-15 10:45:38.805,1000.544
NormalBlink,2016-04-15 10:45:38.938,1000.628
NormalBlink,2016-04-15 10:45:40.404,1002.112
NormalBlink,2016-04-15 10:45:40.653,1002.358
NormalBlink,2016-04-15 10:45:41.169,1002.864
LongBlink,2016-04-15 10:45:42.534,1004.232
NormalBlink,2016-04-15 10:45:43.816,1005.522
LongBlink,2016-04-15 10:45:45.397,1007.099
NormalBlink,2016-04-15 10:45:48.727,1010.437
NormalBlink,2016-04-15 10:45:50.377,1012.08
LongBlink,2016-04-15 10:45:51.307,1013
LongBlink,2016-04-15 10:45:53.088,1014.789
NormalBlink,2016-04-15 10:45:55.470,1017.174
NormalBlink,2016-04-15 10:45:58.089,1019.808
NormalBlink,2016-04-15 10:46:00.298,1021.996
NormalBlink,2016-04-15 10:46:00.365,1022.092
NormalBlink,2016-04-15 10:46:01.563,1023.264
NormalBlink,2016-04-15 10:46:03.361,1025.081
NormalBlink,2016-04-15 10:46:10.703,1032.413
LongBlink,2016-04-15 10:46:11.885,1033.592
NormalBlink,2016-04-15 10:46:15.232,1036.924
NormalBlink,2016-04-15 10:46:31.981,1053.705
NormalBlink,2016-04-15 10:46:39.373,1061.1
LongBlink,2016-04-15 10:46:40.304,1062.005
LongBlink,2016-04-15 10:46:42.619,1064.313
NormalBlink,2016-04-15 10:46:42.885,1064.583
NormalBlink,2016-04-15 10:46:43.068,1064.766
LongBlink,2016-04-15 10:46:43.917,1065.623
LongBlink,2016-04-15 10:46:44.549,1066.25
NormalBlink,2016-04-15 10:46:45.282,1066.973
NormalBlink,2016-04-15 10:46:45.915,1067.618
NormalBlink,2016-04-15 10:46:46.015,1067.799
NormalBlink,2016-04-15 10:46:46.364,1068.066
NormalBlink,2016-04-15 10:46:46.937,1068.697
LongBlink,2016-04-15 10:46:49.179,1070.865
NormalBlink,2016-04-15 10:46:49.630,1071.346
LongBlink,2016-04-15 10:46:51.459,1073.152
NormalBlink,2016-04-15 10:46:51.728,1073.437
NormalBlink,2016-04-15 10:46:51.875,1073.584
NormalBlink,2016-04-15 10:46:53.214,1074.921
NormalBlink,2016-04-15 10:46:53.891,1075.589
NormalBlink,2016-04-15 10:46:56.504,1078.225
NormalBlink,2016-04-15 10:46:56.770,1078.475
NormalBlink,2016-04-15 10:46:59.267,1080.978
NormalBlink,2016-04-15 10:46:59.500,1081.207
NormalBlink,2016-04-15 10:47:00.150,1081.845
NormalBlink,2016-04-15 10:47:00.765,1082.47
LongBlink,2016-04-15 10:47:01.764,1083.471
NormalBlink,2016-04-15 10:47:02.681,1084.386
NormalBlink,2016-04-15 10:47:03.562,1085.267
LongBlink,2016-04-15 10:47:04.828,1086.529
NormalBlink,2016-04-15 10:47:05.345,1087.041
NormalBlink,2016-04-15 10:47:05.428,1087.132
LongBlink,2016-04-15 10:47:07.126,1088.842
NormalBlink,2016-04-15 10:47:09.656,1091.366
NormalBlink,2016-04-15 10:47:09.806,1091.502
LongBlink,2016-04-15 10:47:13.868,1095.57
NormalBlink,2016-04-15 10:47:19.245,1100.951
NormalBlink,2016-04-15 10:47:19.412,1101.115
NormalBlink,2016-04-15 10:47:19.545,1101.271
NormalBlink,2016-04-15 10:47:19.662,1101.368
NormalBlink,2016-04-15 10:47:21.543,1103.259
NormalBlink,2016-04-15 10:47:22.293,1104.005
NormalBlink,2016-04-15 10:47:22.526,1104.227
NormalBlink,2016-04-15 10:47:42.404,1124.105
NormalBlink,2016-04-15 10:47:42.887,1124.59
NormalBlink,2016-04-15 10:47:42.970,1124.67
NormalBlink,2016-04-15 10:47:43.320,1125.037
NormalBlink,2016-04-15 10:47:43.489,1125.187
LongBlink,2016-04-15 10:47:45.951,1127.665
LongBlink,2016-04-15 10:47:52.143,1133.849
LongBlink,2016-04-15 10:47:56.122,1137.831
NormalBlink,2016-04-15 10:47:56.409,1138.116
NormalBlink,2016-04-15 10:47:56.705,1138.424
NormalBlink,2016-04-15 10:47:58.753,1140.481
NormalBlink,2016-04-15 10:47:59.702,1141.408
NormalBlink,2016-04-15 10:48:01.818,1143.527
NormalBlink,2016-04-15 10:48:03.481,1145.174
NormalBlink,2016-04-15 10:48:04.164,1145.881
NormalBlink,2016-04-15 10:48:04.282,1146.013
NormalBlink,2016-04-15 10:48:09.358,1151.079
NormalBlink,2016-04-15 10:48:10.126,1151.832
NormalBlink,2016-04-15 10:48:12.871,1154.575
NormalBlink,2016-04-15 10:48:14.972,1156.698
NormalBlink,2016-04-15 10:48:15.872,1157.591
NormalBlink,2016-04-15 10:48:28.204,1169.911
NormalBlink,2016-04-15 10:48:44.387,1186.112
NormalBlink,2016-04-15 10:48:44.570,1186.265
NormalBlink,2016-04-15 10:48:44.653,1186.368
NormalBlink,2016-04-15 10:48:44.787,1186.496
LongBlink,2016-04-15 10:48:46.519,1188.244
LongBlink,2016-04-15 10:48:47.184,1188.899
NormalBlink,2016-04-15 10:48:53.328,1195.027
LongBlink,2016-04-15 10:48:56.293,1198.038
NormalBlink,2016-04-15 10:48:56.474,1198.178
NormalBlink,2016-04-15 10:48:57.024,1198.73
NormalBlink,2016-04-15 10:48:57.295,1199.071
NormalBlink,2016-04-15 10:48:57.574,1199.349
NormalBlink,2016-04-15 10:48:57.977,1199.714
NormalBlink,2016-04-15 10:48:58.210,1199.902
NormalBlink,2016-04-15 10:48:58.672,1200.371
NormalBlink,2016-04-15 10:48:59.487,1201.191
NormalBlink,2016-04-15 10:48:59.687,1201.382
NormalBlink,2016-04-15 10:49:00.903,1202.607
NormalBlink,2016-04-15 10:49:06.196,1207.907
NormalBlink,2016-04-15 10:49:06.296,1207.987
LongBlink,2016-04-15 10:49:07.912,1209.621
NormalBlink,2016-04-15 10:49:08.645,1210.363
NormalBlink,2016-04-15 10:49:09.061,1210.758
NormalBlink,2016-04-15 10:49:12.947,1214.666
LongBlink,2016-04-15 10:49:15.670,1217.36
NormalBlink,2016-04-15 10:49:16.169,1217.873
NormalBlink,2016-04-15 10:49:16.486,1218.184
LongBlink,2016-04-15 10:49:17.251,1218.952
NormalBlink,2016-04-15 10:49:17.618,1219.314
NormalBlink,2016-04-15 10:49:17.867,1219.626
NormalBlink,2016-04-15 10:49:21.282,1223.011
NormalBlink,2016-04-15 10:49:21.447,1223.147
NormalBlink,2016-04-15 10:49:23.829,1225.538
LongBlink,2016-04-15 10:49:26.891,1228.59
LongBlink,2016-04-15 10:49:27.691,1229.394
NormalBlink,2016-04-15 10:49:29.239,1230.948
NormalBlink,2016-04-15 10:49:29.339,1231.038
NormalBlink,2016-04-15 10:49:29.488,1231.182
NormalBlink,2016-04-15 10:49:31.020,1232.712
NormalBlink,2016-04-15 10:49:31.253,1232.941
NormalBlink,2016-04-15 10:49:34.466,1236.162
LongBlink,2016-04-15 10:49:36.114,1237.815
NormalBlink,2016-04-15 10:49:38.262,1239.973
NormalBlink,2016-04-15 10:49:38.795,1240.497
NormalBlink,2016-04-15 10:49:39.463,1241.156
