BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-14 14:44:02.555,13.03609
NormalBlink,2016-04-14 14:44:07.584,18.06362
NormalBlink,2016-04-14 14:44:10.664,21.14021
NormalBlink,2016-04-14 14:44:12.580,23.06001
NormalBlink,2016-04-14 14:44:16.091,26.58994
NormalBlink,2016-04-14 14:44:16.690,27.17869
NormalBlink,2016-04-14 14:44:18.688,29.17845
NormalBlink,2016-04-14 14:44:18.821,29.29592
NormalBlink,2016-04-14 14:44:19.986,30.4742
NormalBlink,2016-04-14 14:44:44.044,54.53313
NormalBlink,2016-04-14 14:44:44.294,54.76954
NormalBlink,2016-04-14 14:44:49.705,60.17849
NormalBlink,2016-04-14 14:45:03.140,73.63791
NormalBlink,2016-04-14 14:45:08.334,78.8088
NormalBlink,2016-04-14 14:45:09.649,80.15778
NormalBlink,2016-04-14 14:45:10.499,80.97504
NormalBlink,2016-04-14 14:45:11.281,81.76669
NormalBlink,2016-04-14 14:45:13.545,84.02856
NormalBlink,2016-04-14 14:45:21.588,92.06976
NormalBlink,2016-04-14 14:45:49.440,119.9242
NormalBlink,2016-04-14 14:45:58.397,128.8677
NormalBlink,2016-04-14 14:45:58.798,129.2939
NormalBlink,2016-04-14 14:46:13.547,144.012
NormalBlink,2016-04-14 14:46:24.769,155.2656
NormalBlink,2016-04-14 14:46:59.332,189.8161
NormalBlink,2016-04-14 14:47:01.146,191.6491
NormalBlink,2016-04-14 14:47:04.576,195.0625
NormalBlink,2016-04-14 14:47:07.223,197.7244
NormalBlink,2016-04-14 14:47:08.954,199.4394
NormalBlink,2016-04-14 14:47:16.262,206.7718
NormalBlink,2016-04-14 14:47:37.990,228.4608
NormalBlink,2016-04-14 14:47:42.385,232.8629
NormalBlink,2016-04-14 14:47:42.534,233.0159
NormalBlink,2016-04-14 14:47:50.425,240.9115
NormalBlink,2016-04-14 14:47:56.852,247.3411
NormalBlink,2016-04-14 14:47:58.118,248.5865
NormalBlink,2016-04-14 14:48:06.360,256.8523
NormalBlink,2016-04-14 14:48:13.468,263.9533
NormalBlink,2016-04-14 14:48:23.606,274.0726
NormalBlink,2016-04-14 14:48:26.253,276.7454
NormalBlink,2016-04-14 14:48:32.067,282.5446
NormalBlink,2016-04-14 14:48:35.161,285.6345
LongBlink,2016-04-14 14:48:36.010,286.4842
NormalBlink,2016-04-14 14:48:36.426,286.9101
NormalBlink,2016-04-14 14:48:48.497,299.0049
NormalBlink,2016-04-14 14:48:48.797,299.2858
NormalBlink,2016-04-14 14:48:58.719,309.2301
NormalBlink,2016-04-14 14:48:58.803,309.3032
NormalBlink,2016-04-14 14:48:59.551,310.0324
NormalBlink,2016-04-14 14:49:04.597,315.0895
NormalBlink,2016-04-14 14:49:06.061,316.5353
LongBlink,2016-04-14 14:49:10.339,320.8038
LongBlink,2016-04-14 14:49:12.654,323.1317
NormalBlink,2016-04-14 14:49:23.692,334.172
NormalBlink,2016-04-14 14:49:26.672,337.1398
NormalBlink,2016-04-14 14:49:35.246,345.7226
NormalBlink,2016-04-14 14:49:38.127,348.5967
