BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-21 11:24:13.189,1439.566
NormalBlink,2016-04-21 11:24:29.521,1455.908
NormalBlink,2016-04-21 11:24:30.654,1457.033
NormalBlink,2016-04-21 11:24:30.855,1457.222
NormalBlink,2016-04-21 11:24:31.453,1457.838
NormalBlink,2016-04-21 11:24:31.869,1458.221
NormalBlink,2016-04-21 11:24:32.452,1458.819
NormalBlink,2016-04-21 11:24:33.451,1459.847
NormalBlink,2016-04-21 11:24:34.551,1460.924
NormalBlink,2016-04-21 11:24:35.215,1461.616
NormalBlink,2016-04-21 11:24:36.015,1462.376
NormalBlink,2016-04-21 11:24:47.519,1473.886
NormalBlink,2016-04-21 11:25:13.790,1500.171
NormalBlink,2016-04-21 11:25:15.089,1501.47
NormalBlink,2016-04-21 11:25:34.435,1520.817
NormalBlink,2016-04-21 11:25:35.350,1521.754
NormalBlink,2016-04-21 11:25:37.083,1523.448
NormalBlink,2016-04-21 11:25:41.611,1528.003
NormalBlink,2016-04-21 11:25:45.273,1531.649
NormalBlink,2016-04-21 11:26:02.588,1548.953
NormalBlink,2016-04-21 11:26:02.887,1549.247
NormalBlink,2016-04-21 11:26:03.920,1550.3
NormalBlink,2016-04-21 11:26:39.715,1586.086
NormalBlink,2016-04-21 11:26:40.746,1587.152
NormalBlink,2016-04-21 11:26:49.154,1595.517
NormalBlink,2016-04-21 11:26:53.950,1600.339
NormalBlink,2016-04-21 11:26:54.270,1600.652
NormalBlink,2016-04-21 11:26:56.962,1603.321
NormalBlink,2016-04-21 11:27:17.524,1623.894
NormalBlink,2016-04-21 11:27:38.567,1644.931
NormalBlink,2016-04-21 11:27:39.450,1645.858
NormalBlink,2016-04-21 11:27:40.615,1646.99
NormalBlink,2016-04-21 11:27:41.583,1647.969
NormalBlink,2016-04-21 11:27:43.780,1650.167
NormalBlink,2016-04-21 11:28:16.612,1682.996
NormalBlink,2016-04-21 11:28:17.527,1683.924
NormalBlink,2016-04-21 11:28:23.952,1690.315
NormalBlink,2016-04-21 11:28:24.068,1690.423
NormalBlink,2016-04-21 11:28:51.688,1718.051
NormalBlink,2016-04-21 11:28:51.904,1718.263
NormalBlink,2016-04-21 11:28:53.604,1719.952
NormalBlink,2016-04-21 11:29:04.160,1730.52
NormalBlink,2016-04-21 11:29:25.669,1752.027
NormalBlink,2016-04-21 11:29:38.821,1765.181
NormalBlink,2016-04-21 11:29:41.401,1767.778
NormalBlink,2016-04-21 11:29:45.697,1772.052
NormalBlink,2016-04-21 11:29:55.353,1781.735
