BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-21 11:02:23.504,492.0329
NormalBlink,2016-04-21 11:02:24.702,493.2202
NormalBlink,2016-04-21 11:02:24.935,493.4471
NormalBlink,2016-04-21 11:02:25.119,493.6435
NormalBlink,2016-04-21 11:02:25.984,494.4924
NormalBlink,2016-04-21 11:02:26.034,494.5681
NormalBlink,2016-04-21 11:02:26.217,494.7308
NormalBlink,2016-04-21 11:02:26.284,494.8072
NormalBlink,2016-04-21 11:02:26.550,495.0732
NormalBlink,2016-04-21 11:02:26.683,495.188
NormalBlink,2016-04-21 11:02:26.750,495.2695
NormalBlink,2016-04-21 11:02:26.866,495.3811
LongBlink,2016-04-21 11:02:29.114,497.6337
NormalBlink,2016-04-21 11:02:29.380,497.8969
NormalBlink,2016-04-21 11:02:29.730,498.251
NormalBlink,2016-04-21 11:02:30.479,498.9943
NormalBlink,2016-04-21 11:02:30.646,499.1891
NormalBlink,2016-04-21 11:02:30.729,499.2631
NormalBlink,2016-04-21 11:02:30.829,499.3416
NormalBlink,2016-04-21 11:02:31.029,499.5381
LongBlink,2016-04-21 11:02:31.994,500.5
LongBlink,2016-04-21 11:02:32.627,501.1392
NormalBlink,2016-04-21 11:02:32.826,501.3372
NormalBlink,2016-04-21 11:02:32.959,501.4916
NormalBlink,2016-04-21 11:02:33.226,501.7606
NormalBlink,2016-04-21 11:02:36.672,505.1826
NormalBlink,2016-04-21 11:02:36.739,505.2633
NormalBlink,2016-04-21 11:02:37.321,505.8466
NormalBlink,2016-04-21 11:02:38.820,507.3425
NormalBlink,2016-04-21 11:02:50.478,519.006
NormalBlink,2016-04-21 11:02:52.222,520.7647
NormalBlink,2016-04-21 11:02:54.869,523.3828
NormalBlink,2016-04-21 11:02:55.236,523.7772
NormalBlink,2016-04-21 11:03:09.403,537.928
NormalBlink,2016-04-21 11:03:09.487,538.002
NormalBlink,2016-04-21 11:03:09.636,538.1542
NormalBlink,2016-04-21 11:03:09.920,538.4373
NormalBlink,2016-04-21 11:03:10.352,538.8759
NormalBlink,2016-04-21 11:03:10.572,539.1022
NormalBlink,2016-04-21 11:03:10.752,539.277
NormalBlink,2016-04-21 11:03:12.883,541.4094
NormalBlink,2016-04-21 11:03:13.615,542.1327
NormalBlink,2016-04-21 11:03:15.248,543.7736
NormalBlink,2016-04-21 11:03:15.381,543.8956
NormalBlink,2016-04-21 11:03:15.914,544.4299
NormalBlink,2016-04-21 11:03:16.197,544.7358
NormalBlink,2016-04-21 11:03:16.879,545.3995
NormalBlink,2016-04-21 11:03:18.061,546.5853
NormalBlink,2016-04-21 11:03:18.178,546.7081
NormalBlink,2016-04-21 11:03:18.461,546.9934
NormalBlink,2016-04-21 11:03:21.158,549.6979
NormalBlink,2016-04-21 11:03:22.175,550.6949
NormalBlink,2016-04-21 11:03:22.373,550.8917
NormalBlink,2016-04-21 11:03:22.506,551.0469
NormalBlink,2016-04-21 11:03:22.739,551.2542
NormalBlink,2016-04-21 11:03:22.907,551.4568
NormalBlink,2016-04-21 11:03:23.106,551.6873
NormalBlink,2016-04-21 11:03:23.356,551.8718
NormalBlink,2016-04-21 11:03:23.522,552.0464
NormalBlink,2016-04-21 11:03:24.820,553.3778
NormalBlink,2016-04-21 11:03:24.907,553.4528
NormalBlink,2016-04-21 11:03:25.037,553.55
NormalBlink,2016-04-21 11:03:25.770,554.2946
NormalBlink,2016-04-21 11:03:25.936,554.4448
NormalBlink,2016-04-21 11:03:26.002,554.5456
NormalBlink,2016-04-21 11:03:26.202,554.7219
NormalBlink,2016-04-21 11:03:26.552,555.0703
NormalBlink,2016-04-21 11:03:26.635,555.1455
NormalBlink,2016-04-21 11:03:26.785,555.3199
NormalBlink,2016-04-21 11:03:26.984,555.5208
NormalBlink,2016-04-21 11:03:27.034,555.5719
NormalBlink,2016-04-21 11:03:27.202,555.722
NormalBlink,2016-04-21 11:03:27.334,555.8699
NormalBlink,2016-04-21 11:03:27.568,556.0948
NormalBlink,2016-04-21 11:03:27.701,556.2179
NormalBlink,2016-04-21 11:03:27.950,556.4927
NormalBlink,2016-04-21 11:03:28.018,556.5441
NormalBlink,2016-04-21 11:03:28.316,556.8719
NormalBlink,2016-04-21 11:03:30.081,558.608
NormalBlink,2016-04-21 11:03:30.368,558.8815
NormalBlink,2016-04-21 11:03:35.393,563.9272
NormalBlink,2016-04-21 11:03:35.492,564.0269
NormalBlink,2016-04-21 11:03:41.186,569.7005
NormalBlink,2016-04-21 11:03:41.853,570.3988
NormalBlink,2016-04-21 11:03:42.185,570.7233
NormalBlink,2016-04-21 11:03:43.400,571.9308
NormalBlink,2016-04-21 11:03:43.550,572.1057
NormalBlink,2016-04-21 11:03:43.667,572.181
NormalBlink,2016-04-21 11:03:43.766,572.3068
NormalBlink,2016-04-21 11:03:46.114,574.6475
NormalBlink,2016-04-21 11:03:46.333,574.8456
NormalBlink,2016-04-21 11:03:46.813,575.3419
NormalBlink,2016-04-21 11:03:48.631,577.1818
LongBlink,2016-04-21 11:03:49.994,578.5175
NormalBlink,2016-04-21 11:03:50.094,578.6154
NormalBlink,2016-04-21 11:03:50.210,578.7409
NormalBlink,2016-04-21 11:03:50.360,578.8907
NormalBlink,2016-04-21 11:03:50.493,579.0176
NormalBlink,2016-04-21 11:03:50.576,579.0925
NormalBlink,2016-04-21 11:03:50.643,579.166
NormalBlink,2016-04-21 11:03:50.693,579.217
NormalBlink,2016-04-21 11:03:51.076,579.5905
NormalBlink,2016-04-21 11:03:51.342,579.8687
NormalBlink,2016-04-21 11:03:51.509,580.0176
NormalBlink,2016-04-21 11:03:52.763,581.2847
NormalBlink,2016-04-21 11:04:02.197,590.7167
NormalBlink,2016-04-21 11:04:02.746,591.262
NormalBlink,2016-04-21 11:04:03.279,591.8144
LongBlink,2016-04-21 11:04:04.877,593.4159
NormalBlink,2016-04-21 11:04:05.110,593.6391
NormalBlink,2016-04-21 11:04:15.199,603.7302
NormalBlink,2016-04-21 11:04:15.433,603.9819
NormalBlink,2016-04-21 11:04:17.863,606.389
NormalBlink,2016-04-21 11:04:19.595,608.1509
NormalBlink,2016-04-21 11:04:21.142,609.6634
NormalBlink,2016-04-21 11:04:21.326,609.8519
NormalBlink,2016-04-21 11:04:25.522,614.0512
NormalBlink,2016-04-21 11:04:27.404,615.9196
NormalBlink,2016-04-21 11:04:27.520,616.0453
NormalBlink,2016-04-21 11:04:27.786,616.3163
NormalBlink,2016-04-21 11:04:27.890,616.4005
NormalBlink,2016-04-21 11:04:27.936,616.4642
NormalBlink,2016-04-21 11:04:27.987,616.5305
NormalBlink,2016-04-21 11:04:28.202,616.7311
