BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-21 10:13:41.121,2.141508
NormalBlink,2016-04-21 10:13:41.321,2.353477
NormalBlink,2016-04-21 10:13:43.603,4.626215
LongBlink,2016-04-21 10:13:55.589,16.62997
LongBlink,2016-04-21 10:13:57.404,18.45849
NormalBlink,2016-04-21 10:14:10.507,31.53545
NormalBlink,2016-04-21 10:14:14.652,35.69548
NormalBlink,2016-04-21 10:14:15.001,36.03131
NormalBlink,2016-04-21 10:14:15.218,36.25668
NormalBlink,2016-04-21 10:14:24.625,45.65443
NormalBlink,2016-04-21 10:14:26.872,47.90881
NormalBlink,2016-04-21 10:14:26.939,47.98608
NormalBlink,2016-04-21 10:14:37.095,58.13934
NormalBlink,2016-04-21 10:14:37.378,58.41708
NormalBlink,2016-04-21 10:14:38.244,59.27784
NormalBlink,2016-04-21 10:14:38.344,59.39185
NormalBlink,2016-04-21 10:14:38.577,59.6195
LongBlink,2016-04-21 10:14:40.807,61.85444
LongBlink,2016-04-21 10:14:41.623,62.64923
NormalBlink,2016-04-21 10:14:43.039,64.09246
NormalBlink,2016-04-21 10:14:43.654,64.73672
NormalBlink,2016-04-21 10:14:43.887,64.92632
NormalBlink,2016-04-21 10:14:44.070,65.11581
NormalBlink,2016-04-21 10:14:44.370,65.42177
NormalBlink,2016-04-21 10:14:44.736,65.76186
NormalBlink,2016-04-21 10:14:47.167,68.19491
LongBlink,2016-04-21 10:14:48.116,69.15635
NormalBlink,2016-04-21 10:14:51.846,72.88193
NormalBlink,2016-04-21 10:14:52.762,73.78543
NormalBlink,2016-04-21 10:14:55.126,76.15055
NormalBlink,2016-04-21 10:14:55.425,76.4556
NormalBlink,2016-04-21 10:14:55.841,76.87315
NormalBlink,2016-04-21 10:14:56.659,77.7085
NormalBlink,2016-04-21 10:14:56.874,77.89639
NormalBlink,2016-04-21 10:14:57.224,78.27679
LongBlink,2016-04-21 10:14:57.956,78.99438
NormalBlink,2016-04-21 10:14:58.305,79.33385
NormalBlink,2016-04-21 10:14:59.504,80.57521
NormalBlink,2016-04-21 10:15:00.021,81.07635
NormalBlink,2016-04-21 10:15:03.100,84.13981
NormalBlink,2016-04-21 10:15:04.349,85.40722
NormalBlink,2016-04-21 10:15:04.581,85.63702
NormalBlink,2016-04-21 10:15:05.630,86.66947
LongBlink,2016-04-21 10:15:07.495,88.52761
NormalBlink,2016-04-21 10:15:11.078,92.13479
NormalBlink,2016-04-21 10:15:11.275,92.31934
LongBlink,2016-04-21 10:15:14.854,95.88287
NormalBlink,2016-04-21 10:15:20.914,101.9507
NormalBlink,2016-04-21 10:15:21.030,102.0676
NormalBlink,2016-04-21 10:15:21.713,102.755
NormalBlink,2016-04-21 10:15:22.112,103.1409
NormalBlink,2016-04-21 10:15:22.296,103.3317
LongBlink,2016-04-21 10:15:23.594,104.6245
NormalBlink,2016-04-21 10:15:25.425,106.4621
NormalBlink,2016-04-21 10:15:28.839,109.8695
NormalBlink,2016-04-21 10:15:32.568,113.6062
NormalBlink,2016-04-21 10:15:33.334,114.3701
NormalBlink,2016-04-21 10:15:33.785,114.8268
NormalBlink,2016-04-21 10:15:38.329,119.3842
NormalBlink,2016-04-21 10:15:38.686,119.7238
NormalBlink,2016-04-21 10:15:38.794,119.8387
NormalBlink,2016-04-21 10:15:40.660,121.6891
NormalBlink,2016-04-21 10:15:42.990,124.0182
NormalBlink,2016-04-21 10:15:46.903,127.9413
NormalBlink,2016-04-21 10:15:50.565,131.595
NormalBlink,2016-04-21 10:15:51.548,132.5722
NormalBlink,2016-04-21 10:15:51.747,132.7886
NormalBlink,2016-04-21 10:15:53.712,134.745
NormalBlink,2016-04-21 10:15:54.045,135.0734
NormalBlink,2016-04-21 10:15:56.775,137.804
NormalBlink,2016-04-21 10:16:12.242,153.2825
LongBlink,2016-04-21 10:16:14.656,155.6877
LongBlink,2016-04-21 10:16:20.900,161.9114
LongBlink,2016-04-21 10:16:29.140,170.1672
LongBlink,2016-04-21 10:16:30.955,171.9863
LongBlink,2016-04-21 10:16:38.231,179.258
NormalBlink,2016-04-21 10:16:38.813,179.8492
NormalBlink,2016-04-21 10:16:42.892,183.9108
NormalBlink,2016-04-21 10:16:45.473,186.5087
NormalBlink,2016-04-21 10:16:48.386,189.4248
NormalBlink,2016-04-21 10:16:55.712,196.7377
NormalBlink,2016-04-21 10:16:55.978,197.0029
NormalBlink,2016-04-21 10:16:56.511,197.5331
LongBlink,2016-04-21 10:16:57.676,198.6997
NormalBlink,2016-04-21 10:16:59.208,200.2412
NormalBlink,2016-04-21 10:17:00.856,201.8841
NormalBlink,2016-04-21 10:17:02.005,203.0512
LongBlink,2016-04-21 10:17:02.987,204.0057
LongBlink,2016-04-21 10:17:04.069,205.1173
LongBlink,2016-04-21 10:17:04.818,205.8474
LongBlink,2016-04-21 10:17:06.666,207.6939
LongBlink,2016-04-21 10:17:09.014,210.0495
LongBlink,2016-04-21 10:17:19.169,220.2073
NormalBlink,2016-04-21 10:17:29.792,230.8166
NormalBlink,2016-04-21 10:18:02.506,263.5333
