BlinkType,TimeTracker,TimeUnity
NormalBlink,2016-04-21 11:10:23.302,967.186
NormalBlink,2016-04-21 11:10:25.716,969.6075
NormalBlink,2016-04-21 11:10:28.429,972.3177
NormalBlink,2016-04-21 11:10:28.912,972.7914
LongBlink,2016-04-21 11:10:30.944,974.827
LongBlink,2016-04-21 11:10:31.910,975.8115
NormalBlink,2016-04-21 11:10:33.525,977.4498
NormalBlink,2016-04-21 11:10:34.074,977.9556
NormalBlink,2016-04-21 11:10:34.806,978.6825
LongBlink,2016-04-21 11:10:36.255,980.1514
NormalBlink,2016-04-21 11:10:36.438,980.3125
NormalBlink,2016-04-21 11:10:36.554,980.449
LongBlink,2016-04-21 11:10:38.003,981.8894
LongBlink,2016-04-21 11:10:40.100,984.0279
NormalBlink,2016-04-21 11:10:55.667,999.5681
NormalBlink,2016-04-21 11:10:56.283,1000.199
NormalBlink,2016-04-21 11:11:05.873,1009.77
NormalBlink,2016-04-21 11:11:06.090,1009.987
NormalBlink,2016-04-21 11:11:06.239,1010.127
NormalBlink,2016-04-21 11:11:08.254,1012.153
LongBlink,2016-04-21 11:11:09.785,1013.689
LongBlink,2016-04-21 11:11:17.610,1021.502
NormalBlink,2016-04-21 11:11:28.149,1032.033
NormalBlink,2016-04-21 11:11:28.781,1032.668
NormalBlink,2016-04-21 11:11:28.998,1032.884
NormalBlink,2016-04-21 11:11:29.214,1033.09
NormalBlink,2016-04-21 11:11:29.414,1033.304
NormalBlink,2016-04-21 11:11:29.963,1033.857
NormalBlink,2016-04-21 11:11:30.546,1034.424
NormalBlink,2016-04-21 11:11:32.095,1035.993
NormalBlink,2016-04-21 11:11:32.311,1036.191
NormalBlink,2016-04-21 11:11:32.594,1036.496
NormalBlink,2016-04-21 11:11:32.911,1036.796
LongBlink,2016-04-21 11:11:35.607,1039.522
NormalBlink,2016-04-21 11:11:35.923,1039.818
NormalBlink,2016-04-21 11:11:36.090,1039.969
LongBlink,2016-04-21 11:11:38.853,1042.745
LongBlink,2016-04-21 11:11:41.368,1045.257
NormalBlink,2016-04-21 11:11:41.684,1045.593
LongBlink,2016-04-21 11:11:44.714,1048.596
NormalBlink,2016-04-21 11:11:45.430,1049.331
NormalBlink,2016-04-21 11:11:45.546,1049.421
NormalBlink,2016-04-21 11:11:46.514,1050.437
LongBlink,2016-04-21 11:11:47.211,1051.095
NormalBlink,2016-04-21 11:11:48.743,1052.629
NormalBlink,2016-04-21 11:11:48.843,1052.735
NormalBlink,2016-04-21 11:11:49.059,1052.951
NormalBlink,2016-04-21 11:11:50.558,1054.477
LongBlink,2016-04-21 11:11:51.211,1055.109
NormalBlink,2016-04-21 11:11:52.523,1056.422
NormalBlink,2016-04-21 11:11:53.521,1057.409
NormalBlink,2016-04-21 11:11:53.754,1057.664
NormalBlink,2016-04-21 11:11:53.889,1057.774
NormalBlink,2016-04-21 11:11:54.536,1058.461
NormalBlink,2016-04-21 11:11:54.770,1058.673
NormalBlink,2016-04-21 11:11:54.836,1058.741
NormalBlink,2016-04-21 11:11:55.003,1058.894
NormalBlink,2016-04-21 11:11:56.002,1059.894
NormalBlink,2016-04-21 11:11:57.200,1061.084
NormalBlink,2016-04-21 11:11:57.483,1061.361
NormalBlink,2016-04-21 11:11:57.720,1061.632
NormalBlink,2016-04-21 11:11:57.816,1061.71
LongBlink,2016-04-21 11:11:58.400,1062.278
NormalBlink,2016-04-21 11:11:58.951,1062.88
NormalBlink,2016-04-21 11:11:59.299,1063.19
NormalBlink,2016-04-21 11:12:01.846,1065.725
NormalBlink,2016-04-21 11:12:01.996,1065.9
NormalBlink,2016-04-21 11:12:02.095,1065.998
NormalBlink,2016-04-21 11:12:06.008,1069.901
NormalBlink,2016-04-21 11:12:06.141,1070.044
NormalBlink,2016-04-21 11:12:06.441,1070.318
NormalBlink,2016-04-21 11:12:07.140,1071.033
NormalBlink,2016-04-21 11:12:07.590,1071.466
NormalBlink,2016-04-21 11:12:07.839,1071.729
NormalBlink,2016-04-21 11:12:08.405,1072.296
NormalBlink,2016-04-21 11:12:08.556,1072.431
NormalBlink,2016-04-21 11:12:08.755,1072.644
NormalBlink,2016-04-21 11:12:08.888,1072.781
NormalBlink,2016-04-21 11:12:08.988,1072.868
NormalBlink,2016-04-21 11:12:09.237,1073.134
NormalBlink,2016-04-21 11:12:21.541,1085.448
NormalBlink,2016-04-21 11:12:31.746,1095.63
LongBlink,2016-04-21 11:12:33.695,1097.581
NormalBlink,2016-04-21 11:12:41.619,1105.526
NormalBlink,2016-04-21 11:12:42.086,1105.973
LongBlink,2016-04-21 11:12:43.618,1107.52
NormalBlink,2016-04-21 11:12:44.915,1108.806
NormalBlink,2016-04-21 11:12:46.314,1110.197
NormalBlink,2016-04-21 11:12:46.846,1110.734
NormalBlink,2016-04-21 11:12:48.712,1112.609
NormalBlink,2016-04-21 11:12:48.878,1112.772
NormalBlink,2016-04-21 11:12:49.027,1112.905
NormalBlink,2016-04-21 11:12:49.494,1113.395
NormalBlink,2016-04-21 11:12:49.661,1113.561
LongBlink,2016-04-21 11:12:50.243,1114.128
NormalBlink,2016-04-21 11:12:51.059,1114.954
NormalBlink,2016-04-21 11:12:51.226,1115.115
NormalBlink,2016-04-21 11:12:51.376,1115.269
NormalBlink,2016-04-21 11:12:52.610,1116.494
NormalBlink,2016-04-21 11:13:20.644,1144.529
NormalBlink,2016-04-21 11:13:22.042,1145.918
NormalBlink,2016-04-21 11:13:24.406,1148.308
NormalBlink,2016-04-21 11:13:25.772,1149.665
NormalBlink,2016-04-21 11:13:25.938,1149.819
NormalBlink,2016-04-21 11:13:26.224,1150.131
NormalBlink,2016-04-21 11:13:26.405,1150.292
LongBlink,2016-04-21 11:13:28.719,1152.603
NormalBlink,2016-04-21 11:13:29.068,1153.012
NormalBlink,2016-04-21 11:13:29.285,1153.163
NormalBlink,2016-04-21 11:13:29.385,1153.27
LongBlink,2016-04-21 11:13:31.715,1155.604
NormalBlink,2016-04-21 11:13:32.381,1156.258
NormalBlink,2016-04-21 11:13:32.548,1156.417
NormalBlink,2016-04-21 11:13:33.164,1157.057
LongBlink,2016-04-21 11:13:35.211,1159.102
NormalBlink,2016-04-21 11:13:45.417,1169.314
LongBlink,2016-04-21 11:13:46.067,1169.947
NormalBlink,2016-04-21 11:13:48.964,1172.853
NormalBlink,2016-04-21 11:13:50.195,1174.074
NormalBlink,2016-04-21 11:13:50.462,1174.343
NormalBlink,2016-04-21 11:13:51.544,1175.427
NormalBlink,2016-04-21 11:13:51.711,1175.597
NormalBlink,2016-04-21 11:13:51.826,1175.697
NormalBlink,2016-04-21 11:13:52.144,1176.044
NormalBlink,2016-04-21 11:13:52.343,1176.226
NormalBlink,2016-04-21 11:13:52.592,1176.472
NormalBlink,2016-04-21 11:13:52.828,1176.726
NormalBlink,2016-04-21 11:13:53.160,1177.046
LongBlink,2016-04-21 11:13:54.341,1178.252
NormalBlink,2016-04-21 11:13:54.923,1178.827
NormalBlink,2016-04-21 11:13:55.290,1179.202
NormalBlink,2016-04-21 11:13:55.989,1179.88
NormalBlink,2016-04-21 11:13:56.188,1180.096
NormalBlink,2016-04-21 11:13:56.472,1180.382
NormalBlink,2016-04-21 11:13:56.755,1180.653
NormalBlink,2016-04-21 11:13:56.888,1180.782
NormalBlink,2016-04-21 11:13:57.220,1181.121
NormalBlink,2016-04-21 11:13:57.370,1181.262
LongBlink,2016-04-21 11:14:00.234,1184.117
NormalBlink,2016-04-21 11:14:00.802,1184.697
NormalBlink,2016-04-21 11:14:01.017,1184.92
NormalBlink,2016-04-21 11:14:20.313,1204.2
LongBlink,2016-04-21 11:14:21.761,1205.657
LongBlink,2016-04-21 11:14:24.308,1208.18
LongBlink,2016-04-21 11:14:25.241,1209.12
NormalBlink,2016-04-21 11:14:28.087,1211.978
NormalBlink,2016-04-21 11:14:30.834,1214.751
LongBlink,2016-04-21 11:14:32.632,1216.514
NormalBlink,2016-04-21 11:14:33.698,1217.59
NormalBlink,2016-04-21 11:14:34.081,1217.977
NormalBlink,2016-04-21 11:14:34.630,1218.52
NormalBlink,2016-04-21 11:14:59.104,1242.976
LongBlink,2016-04-21 11:15:01.551,1245.435
NormalBlink,2016-04-21 11:15:02.334,1246.215
NormalBlink,2016-04-21 11:15:02.867,1246.759
NormalBlink,2016-04-21 11:15:04.032,1247.913
NormalBlink,2016-04-21 11:15:04.948,1248.838
NormalBlink,2016-04-21 11:15:07.345,1251.222
NormalBlink,2016-04-21 11:15:08.427,1252.309
NormalBlink,2016-04-21 11:15:11.574,1255.447
LongBlink,2016-04-21 11:15:18.283,1262.166
NormalBlink,2016-04-21 11:15:18.816,1262.706
NormalBlink,2016-04-21 11:15:19.049,1262.933
LongBlink,2016-04-21 11:15:20.050,1263.935
NormalBlink,2016-04-21 11:15:20.664,1264.545
NormalBlink,2016-04-21 11:15:20.897,1264.776
LongBlink,2016-04-21 11:15:22.861,1266.742
LongBlink,2016-04-21 11:15:24.926,1268.8
NormalBlink,2016-04-21 11:15:25.825,1269.719
NormalBlink,2016-04-21 11:15:25.991,1269.866
NormalBlink,2016-04-21 11:15:26.424,1270.314
NormalBlink,2016-04-21 11:15:26.657,1270.541
LongBlink,2016-04-21 11:15:28.057,1271.939
NormalBlink,2016-04-21 11:15:28.273,1272.156
NormalBlink,2016-04-21 11:15:28.489,1272.373
LongBlink,2016-04-21 11:15:29.372,1273.254
LongBlink,2016-04-21 11:15:31.619,1275.502
NormalBlink,2016-04-21 11:15:31.769,1275.646
NormalBlink,2016-04-21 11:15:32.002,1275.883
NormalBlink,2016-04-21 11:15:32.585,1276.467
NormalBlink,2016-04-21 11:15:33.451,1277.332
NormalBlink,2016-04-21 11:15:33.734,1277.614
NormalBlink,2016-04-21 11:15:34.066,1277.979
LongBlink,2016-04-21 11:15:35.498,1279.401
NormalBlink,2016-04-21 11:15:35.898,1279.775
NormalBlink,2016-04-21 11:15:36.099,1279.99
LongBlink,2016-04-21 11:15:37.163,1281.046
NormalBlink,2016-04-21 11:15:38.361,1282.244
NormalBlink,2016-04-21 11:15:38.511,1282.39
NormalBlink,2016-04-21 11:15:38.594,1282.464
LongBlink,2016-04-21 11:15:41.008,1284.88
NormalBlink,2016-04-21 11:15:41.974,1285.856
NormalBlink,2016-04-21 11:15:42.440,1286.318
NormalBlink,2016-04-21 11:15:44.359,1288.263
LongBlink,2016-04-21 11:15:45.340,1289.229
NormalBlink,2016-04-21 11:15:49.134,1293.01
NormalBlink,2016-04-21 11:15:49.733,1293.609
NormalBlink,2016-04-21 11:15:51.515,1295.4
LongBlink,2016-04-21 11:15:53.179,1297.061
LongBlink,2016-04-21 11:15:55.195,1299.101
LongBlink,2016-04-21 11:15:56.976,1300.87
NormalBlink,2016-04-21 11:15:57.691,1301.624
NormalBlink,2016-04-21 11:15:59.555,1303.435
NormalBlink,2016-04-21 11:15:59.772,1303.662
NormalBlink,2016-04-21 11:15:59.922,1303.831
LongBlink,2016-04-21 11:16:00.504,1304.388
