Name,Time,Count
plateDinner (13),0,0
plateDinner,0,0
plateDinner,0,0
knife (4),0,0
bookA (13),0,0
plateDinner (1),0,0
bookA (19),0,0
plateDinner (10),0,0
bookA (21),0,0
Raycaster,0,0
Point light,0,0
FirstPersonCharacter,0,0
FPSController,0,0
plateDinner (14),0,0
bookA (27),0,0
spoon (3),0,0
plateDinner (3),0,0
knife (1),0,0
fork (3),0,0
bookCoversB (1),0,0
knife,0,0
bookA (25),0,0
bookA (12),0,0
knife (2),0,0
plateDinner (11),0,0
tableClothA (1),0,0
bookA (31),0,0
bookA (11),0,0
bookCoversA,0,0
spoon (4),0,0
spoon (1),0,0
bookA,0,0
tableClothB,0,0
plateDinner (15),0,0
spoon (1),0,0
bookA (3),0,0
bookA (5),0,0
bookA (24),0,0
plateDinner (7),0,0
spoon,0,0
plateDinner (9),0,0
fork (1),0,0
plateDinner (4),0,0
bookA (1),0,0
plateDinner (6),0,0
spoon (5),0,0
fork (4),0,0
fork,0,0
plateDinner (8),0,0
plateDinner (5),0,0
bookA (14),0,0
bookA (2),0,0
tableClothA,0,0
bookA (29),0,0
knife (5),0,0
bookA (17),0,0
bookCoversA,0,0
bookA (22),0,0
bookA (9),0,0
bookA (6),0,0
bookA (15),0,0
plateDinner (1),0,0
knife (3),0,0
bookCoversA (1),0,0
knife (2),0,0
plateDinner (16),0,0
bookA (16),0,0
bookA (28),0,0
fork (2),0,0
bookA (30),0,0
bookA (7),0,0
bookCoversB (2),0,0
bookA (4),0,0
bookA (26),0,0
bookA (18),0,0
spoon (2),0,0
fork (1),0,0
bookCoversB,0,0
plateDinner (12),0,0
plateDinner (2),0,0
knife (1),0,0
spoon (2),0,0
bookA (8),0,0
bookA (20),0,0
fork (2),0,0
bookCoversB,0,0
bookA (23),0,0
fork (5),0,0
Particle System (3),0,0
armoire,0,0
bookB (47),0,0
wallsEdge (14),0,0
LampOilWallMounting (4),0,0
Particle System,0,0
bookSingle,0,0
Point light,0,0
wallsEdge (30),0,0
bookB (32),0,0
door,0,0
bookB (49),0,0
Particle System,0,0
Particle System,0,0
bookC (36),0,0
Particle System (5),0,0
LampOilWallMounting (6),0,0
LampOil,0,0
PictureFrameC,0,0
Canvas,0,0
wallsEdge (26),0,0
bookC (46),0,0
Point light,0,0
audioSourceRainOnWindow,0,0
paintingC,0,0
bookB (24),0,0
Particle System,0,0
wallsEdge (18),0,0
bookC (45),0,0
Point light,0,0
Point light,0,0
bookB (40),0,0
Particle System (4),0,0
bookC (3),0,0
Particle System (1),0,0
bookC (26),0,0
bookB (9),0,0
bookB (12),0,0
bookB (21),0,0
GameManagerFake,0,0
Particle System,0,0
wallsEdge,0,0
QuestA2,0,0
Bookcase,0,0
Particle System,0,0
Point light,0,0
bookB (29),0,0
paintingB,0,0
Particle System,0,0
bookB (26),0,0
bookC (16),0,0
wallsEdge (8),0,0
Particle System,0,0
bookC (18),0,0
candleStick (2),0,0
bookB (48),0,0
bookC (54),0,0
bookC (9),0,0
wallsEdge (22),0,0
Particle System,0,0
Point light (1),0,0
Particle System (6),0,0
Point light,0,0
bookB (16),0,0
bookC (37),0,0
wallsEdge (21),0,0
bookC (38),0,0
Particle System,0,0
bookB (22),0,0
