Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
Bookcase(Clone),3.719971,2,3.6,0,-2,0,0.7071068,0,-0.7071068
CarpetD(Clone),0,0,0.5,0.01,-0.5,0,1,0,-4.37E-08
RedBooksRow(Clone),0,0,3.45,1.36,-1.574,0,0.7071068,0,-0.7071068
RedBooksRow(Clone),0,0,3.45,1.36,-1.974,0,0.7071068,0,-0.7071068
RedBooksRow(Clone),0,0,3.45,1.36,-2.374,0,0.7071068,0,-0.7071068
GreenBooksStack(Clone),0,0,3.43,1.49,-1.155,0,-0.927184,0,-0.3746065
BlueBooksRow(Clone),0,0,3.45,1.02,-1.685,0,0.7071068,0,-0.7071068
bookC (5),0,0,3.45,1.0272,-2.1746,-0.06162843,0.7044161,0.06162843,-0.7044161
bookC (4),0,0,3.45,1.02,-1.885,0,0.7071068,0,-0.7071068
bookC (3),0,0,3.45,1.02,-1.935,0,0.7071068,0,-0.7071068
bookC (2),0,0,3.45,1.02,-1.985,0,0.7071068,0,-0.7071068
bookC (1),0,0,3.45,1.02,-2.035,0,0.7071068,0,-0.7071068
BlackBooksRowB(Clone),0,0,3.45,1.02,-2.085,0,0.7071068,0,-0.7071068
bookC (5),0,0,3.45,1.0272,-2.5746,-0.06162843,0.7044161,0.06162843,-0.7044161
bookC (4),0,0,3.45,1.02,-2.285,0,0.7071068,0,-0.7071068
bookC (3),0,0,3.45,1.02,-2.335,0,0.7071068,0,-0.7071068
bookC (2),0,0,3.45,1.02,-2.385,0,0.7071068,0,-0.7071068
bookC (1),0,0,3.45,1.02,-2.435,0,0.7071068,0,-0.7071068
BlackBooksRowB(Clone),0,0,3.45,1.02,-2.485,0,0.7071068,0,-0.7071068
bookC (4),0,0,3.43,1.1,-2.705,-0.6123723,-0.6123723,0.3535537,0.3535536
bookC (3),0,0,3.43,1.05,-2.705,-0.6123723,-0.6123723,0.3535537,0.3535536
bookC (2),0,0,3.43,1.25,-2.705,-0.6123723,-0.6123723,0.3535537,0.3535536
bookC (1),0,0,3.43,1.2,-2.705,-0.6123723,-0.6123723,0.3535537,0.3535536
BlackBooksStack(Clone),0,0,3.43,1.15,-2.705,0,-0.9659259,0,-0.2588188
BlueBooksRow(Clone),0,0,3.45,0.68,-1.574,0,0.7071068,0,-0.7071068
bookC (7),0,0,3.45,0.68,-2.524,0,0.7071068,0,-0.7071068
bookC (6),0,0,3.45,0.68,-2.474,0,0.7071068,0,-0.7071068
bookC (5),0,0,3.45,0.68,-2.424,0,0.7071068,0,-0.7071068
bookC (4),0,0,3.45,0.68,-2.174,0,0.7071068,0,-0.7071068
bookC (3),0,0,3.45,0.68,-2.224,0,0.7071068,0,-0.7071068
bookC (2),0,0,3.45,0.68,-2.274,0,0.7071068,0,-0.7071068
bookC (1),0,0,3.45,0.68,-2.324,0,0.7071068,0,-0.7071068
BlackBooksRow(Clone),0,0,3.45,0.68,-2.374,0,0.7071068,0,-0.7071068
bookC (7),0,0,3.45,0.68,-2.924,0,0.7071068,0,-0.7071068
bookC (6),0,0,3.45,0.68,-2.874,0,0.7071068,0,-0.7071068
bookC (5),0,0,3.45,0.68,-2.824,0,0.7071068,0,-0.7071068
bookC (4),0,0,3.45,0.68,-2.574,0,0.7071068,0,-0.7071068
bookC (3),0,0,3.45,0.68,-2.624,0,0.7071068,0,-0.7071068
bookC (2),0,0,3.45,0.68,-2.674,0,0.7071068,0,-0.7071068
bookC (1),0,0,3.45,0.68,-2.724,0,0.7071068,0,-0.7071068
BlackBooksRow(Clone),0,0,3.45,0.68,-2.774,0,0.7071068,0,-0.7071068
RedBooksStack(Clone),0,0,3.43,0.81,-1.155,0,-0.927184,0,-0.3746065
GreenBooksRow(Clone),0,0,3.45,0.34,-1.285,0,0.7071068,0,-0.7071068
RedBooksRow(Clone),0,0,3.45,0.34,-1.685,0,0.7071068,0,-0.7071068
GreenBooksRow(Clone),0,0,3.45,0.34,-2.485,0,0.7071068,0,-0.7071068
RedBooksStack(Clone),0,0,3.45,0.47,-2.665,0,1,0,8.94E-08
RedBooksRow(Clone),0,0,3.45,0.05,-1.285,0,0.7071068,0,-0.7071068
BlueBooksRow(Clone),0,0,3.45,0.05,-1.685,0,0.7071068,0,-0.7071068
bookC (7),0,0,3.45,0.05,-2.235,0,0.7071068,0,-0.7071068
bookC (6),0,0,3.45,0.05,-2.185,0,0.7071068,0,-0.7071068
bookC (5),0,0,3.45,0.05,-2.135,0,0.7071068,0,-0.7071068
bookC (4),0,0,3.45,0.05,-1.885,0,0.7071068,0,-0.7071068
bookC (3),0,0,3.45,0.05,-1.935,0,0.7071068,0,-0.7071068
bookC (2),0,0,3.45,0.05,-1.985,0,0.7071068,0,-0.7071068
bookC (1),0,0,3.45,0.05,-2.035,0,0.7071068,0,-0.7071068
BlackBooksRow(Clone),0,0,3.45,0.05,-2.085,0,0.7071068,0,-0.7071068
RedBooksStack(Clone),0,0,3.45,0.18,-2.725,0,-0.924546,0,0.3810706
Point 3,0,0,0.5000001,0.75,-2.04,-0.5000001,0.5,-0.5000001,-0.5
Point 2,0,0,0.5,0.75,-1.63,-0.5000001,0.5,-0.5000001,-0.5
Point 1,0,0,0.4999999,0.75,-1.22,-0.5000001,0.5,-0.5000001,-0.5
tableDinner(Clone),1.620056,2,0.5,0,-1.63,0,0.7071068,0,-0.7071068
tableClothB(Clone),0,0,0.5,1.135,-1.63,0,0.7071068,0,-0.7071068
bookSingle(Clone),0,0,0.1859999,0.8099998,-2.320001,-0.5000001,0.5000001,-0.4999999,0.4999999
paper(Clone),0,0,0.1859998,0.75,-1.63,0,0.2334453,0,0.9723699
plateDinner,0,0,0.1859998,0.75,-0.8799995,0,-0.7071069,0,-0.7071067
CG2(Clone),0,0,0.1859998,0.75,-0.8799995,0,-0.7071069,0,-0.7071067
plateDinner(Clone),0,0,0.1859998,0.75,-0.8799995,0,-0.7071069,0,-0.7071067
plateDinner,0,0,0.8500003,0.75,-2.380001,0,0.7071068,0,-0.7071068
CG2(Clone),0,0,0.8500003,0.75,-2.380001,0,0.7071068,0,-0.7071068
