Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
armoire,10.63998,5,3,0,3.65,0,1,0,-1.629207E-07
bookC (64),0,0,-3.531,0.048,3.552,0,1,0,-1.629207E-07
bookSingle,0,0,1.407,0.746,-3.57,-0.3085325,0.3085324,-0.6362451,0.636245
paper (5),0,0,-4.085,1.01,-1.95,0,0.2403586,0,-0.9706842
book D (38),0,0,-3.547,0.653,3.535,0,1,0,-1.629207E-07
bookC (36),0,0,-0.6198,0.05,3.527,0,1,0,-1.629207E-07
bookC (55),0,0,-3.781,1.363,3.525,0,1,0,-1.629207E-07
LampOil,0,0,1.465,0.721,1.789,0,0,0,1
PictureFrameC,0,0,-2.777,1.553,-3.826,-0.1285432,0.1721626,0.02266564,0.9763826
bookC (46),0,0,0.874,0.34,3.536,0,1,0,-1.629207E-07
plateDinner (5),0,0,2.79,0.8174,3.65,0,1,0,-1.629207E-07
bookCoversB (2),0,0,-0.666,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
paintingC,1.360016,1,3.975,1.3,2,0,0.7071068,0,0.7071067
bookC (45),0,0,0.973,0.34,3.536,0,1,0,-1.629207E-07
bookC (3),0,0,0.923,0.05,3.535,0,1,0,-1.629207E-07
book D (15),0,0,-2.492,1.357,3.525,0,1,0,-1.629207E-07
bookC (26),0,0,-0.122,0.05,3.527,0,1,0,-1.629207E-07
bookC (82),0,0,-3.14,0.048,3.525,0,1,0,-1.629207E-07
book D (27),0,0,-2.765079,0.7080159,3.52844,-0.7070431,0.7070696,-0.01191591,-0.0008094276
bookC (70),0,0,-3.381,0.048,3.525,0,1,0,-1.629207E-07
book D,0,0,-0.3840001,0.682,3.521,0,1,0,-1.629207E-07
Bookcase_QuestB1,39.96003,20,0.1,0,3.685,0,1,0,-1.629207E-07
plateDinner (4),0,0,2.79,0.7408,3.65,0,1,0,-1.629207E-07
paintingB,0,0,3.975,1.3,-3,0,0.7071068,0,0.7071067
book D (11),0,0,-2.692,1.357,3.529,0,1,0,-1.629207E-07
book D (8),0,0,-3.23,1.357,3.535,0,1,0,-1.629207E-07
bookC (81),0,0,-2.74,0.048,3.535,0,1,0,-1.629207E-07
bookC (16),0,0,-0.1730001,0.05,3.527,0,1,0,-1.629207E-07
bookC (18),0,0,-0.3220001,0.05,3.516,0,1,0,-1.629207E-07
book D (5),0,0,-2.84,1.357,3.514,0,1,0,-1.629207E-07
bookC (54),0,0,0.4759999,0.34,3.533,0,1,0,-1.629207E-07
bookC (9),0,0,0.3769999,0.05,3.522,0,1,0,-1.629207E-07
book D (16),0,0,-2.442,1.357,3.542,0,1,0,-1.629207E-07
book D (33),0,0,-3.012,0.863,3.493,-0.7070504,0.7070705,0.00789333,-0.00828604
bookC (80),0,0,-2.94,0.048,3.552,0,1,0,-1.629207E-07
bookC (37),0,0,-0.5700001,0.05,3.535,0,1,0,-1.629207E-07
book D (13),0,0,-2.642,1.357,3.525,0,1,0,-1.629207E-07
bookC (38),0,0,0.979,1.0444,3.527,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
bookC (54),0,0,-3.821,1.363,3.535,0,1,0,-1.629207E-07
bookC (55),0,0,0.525,0.34,3.527,0,1,0,-1.629207E-07
bookC (13),0,0,0.4752999,0.05,3.5314,0,1,0,-1.629207E-07
book D,0,0,-0.2350001,0.682,3.527,0,1,0,-1.629207E-07
bookC (61),0,0,-3.821,0.048,3.535,0,1,0,-1.629207E-07
bookC (11),0,0,0.3268999,0.05,3.527,0,1,0,-1.629207E-07
book D,0,0,-0.09000004,0.682,3.527,0,1,0,-1.629207E-07
book D (10),0,0,-2.592,1.357,3.542,0,1,0,-1.629207E-07
bookC (96),0,0,-2.4,0.048,3.541,0,1,0,-1.629207E-07
bookC (78),0,0,-3.04,0.048,3.545,0,1,0,-1.629207E-07
bookC (53),0,0,-3.731,1.363,3.525,0,1,0,-1.629207E-07
bookCoversB (3),0,0,-2.476,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (74),0,0,-2.84,0.048,3.535,0,1,0,-1.629207E-07
fireplace,4.239981,2,-2.5,0,-3.75,0,0,0,1
bookC (48),0,0,0.724,0.34,3.527,0,1,0,-1.629207E-07
bookC (33),0,0,-0.8178,0.05,3.527,0,1,0,-1.629207E-07
tableClothB_QuestD3,13.64001,12,-1.692,1.135,0.13,0,0,0,1
